"TOA5","CR1000","CR1000","23835","CR1000.Std.16","CPU:GOES Swiss Camp 09.CR1","26033","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_snow_Avg(1)","tc_snow_Avg(2)","tc_snow_Avg(3)","tc_snow_Avg(4)","tc_snow_Avg(5)","tc_snow_Avg(6)","tc_snow_Avg(7)","tc_snow_Avg(8)","tc_snow_Avg(9)","tc_snow_Avg(10)","tc_air_Avg(1)","tc_air_Avg(2)","t_air_Avg(1)","t_air_Avg(2)","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","sw_in_Max","sw_in_Std","net_rad_Std","tc_air_Max(1)","tc_air_Max(2)","tc_air_Min(1)","tc_air_Min(2)","U_Max(1)","U_Max(2)","U_Std(1)","U_Std(2)","TRef_Avg","uv_Avg","L_in_Avg","T_surf1_Avg","T_surf2_Avg","Battery"
"2016-04-12 22:00:00",11,1,2016,103,22,1.181,0.404,0.298,"NAN","NAN","NAN",-3.2,-6.286,-7.368,"NAN",-5.866,-9.87,-10.66,-2.031,-6.043,-4.702,-3.629,103.3,8.95,0,2.33,55.26,55.31,499.1,0,1.098,1.317,0.049,0.036,-1.528,-5.576,-2.493,-6.453,0,3.417,0,0.48,-4.263,"NAN","NAN","NAN","NAN",13.16
"2016-04-12 23:00:00",12,1,2016,103,23,0.999,0.031,0.308,"NAN","NAN","NAN",-3.584,-6.528,-7.552,"NAN",-6.079,-10.03,-10.79,-1.651,-5.413,-4.011,-2.943,106,8.96,0,2.132,116.9,122.2,499.1,0,1.098,1.08,0.039,0.031,-0.593,-4.285,-2.475,-6.327,0,4.449,0,1.081,-4.625,"NAN","NAN","NAN",2.33,12.98
"2016-04-13 00:00:00",13,1,2016,104,0,0.913,0,0.313,"NAN","NAN","NAN",-3.391,-6.427,-7.477,"NAN",-5.98,-9.96,-10.72,-0.45,-4.199,-2.937,-2.008,109.5,8.95,0,4.957,147.4,160.2,498.8,"NAN",1.101,0.937,0.01,0.019,-0.288,-4.053,-0.749,-4.53,0,6.357,0,0.532,-3.978,"NAN","NAN","NAN",3.502,12.9
"2016-04-13 01:00:00",14,1,2016,104,1,0.956,0,0.335,"NAN","NAN","NAN",-3.149,-6.403,-7.514,"NAN",-6.011,-10.03,-10.8,0.014,-3.951,-2.532,-1.624,109.9,8.95,0,5.97,149.2,160.8,498.6,"NAN",1.1,1.001,0.047,0.037,0.297,-3.691,-0.44,-4.178,0,7.154,0,0.504,-3.643,"NAN","NAN","NAN","NAN",12.86
"2016-04-13 02:00:00",15,1,2016,104,2,0.998,0,0.366,"NAN","NAN","NAN",-2.834,-6.33,-7.495,"NAN",-5.957,-10.06,-10.84,"NAN",-4.055,-2.557,-1.615,109.8,9,0,6.797,149.8,161.5,498.5,"NAN",1.099,1.012,0.007,0.016,0.337,-3.883,-0.435,-4.606,0,8.16,0,0.562,-3.45,"NAN","NAN","NAN","NAN",12.84
"2016-04-13 03:00:00",16,1,2016,104,3,0.966,0,0.36,"NAN","NAN","NAN",-2.676,-6.193,-7.353,"NAN",-5.713,-9.93,-10.74,-1.926,-6.076,-4.543,-3.659,107.3,9.07,0,5.173,194.6,205.6,498.5,0,1.037,0.995,0.016,0.035,-0.361,-4.531,-4.667,-8.73,0,7.539,0,1.278,-4.065,"NAN","NAN","NAN","NAN",12.79
"2016-04-13 04:00:00",17,1,2016,104,4,0.075,0.002,0.034,"NAN","NAN","NAN",-6.183,-6.759,-7.259,"NAN",-6.021,-9.25,-9.89,-7.647,-7.972,-7.873,-7.466,104.1,74.6,0,3.455,262.8,275.8,499,0,1.104,0.937,0.209,0.079,-4.613,-6.743,-9.73,-10.72,0,5.553,0,1.027,-5.581,"NAN","NAN","NAN",-7.436,12.82
"2016-04-13 05:00:00",18,1,2016,104,5,0.01,0,0.064,"NAN","NAN","NAN",-6.528,-6.931,-7.397,"NAN",-6.232,-9.33,-9.93,-8.25,-8.31,-8.23,-7.987,103.9,91.9,0,2.263,248,259.9,499.3,0,1.106,0.01,0,0.034,-8.14,-8.16,-8.33,-8.39,0,4.064,0,0.738,-7.329,"NAN","NAN",2.547,-8.32,12.82
"2016-04-13 06:00:00",19,1,2016,104,6,0.009,0,0.085,"NAN","NAN","NAN",-6.556,-6.963,-7.423,"NAN",-6.277,-9.36,-9.94,-8.25,-8.3,-8.23,-7.983,103.8,93.1,0,2.13,201.3,214.3,499.4,0,1.09,0.01,0.002,0.024,-8.18,-8.23,-8.31,-8.36,0,3.26,0,0.353,-7.857,"NAN","NAN",0.818,-8.32,12.82
"2016-04-13 07:00:00",20,1,2016,104,7,0.01,0.001,-0.033,"NAN","NAN","NAN",-6.564,-6.976,-7.434,"NAN",-6.302,-9.37,-9.93,-8.13,-8.18,-8.14,-7.88,103.9,93.7,0,2.841,209.4,221.7,500,0,0.959,0.014,0.001,0.111,-7.867,-7.879,-8.3,-8.34,0,4.142,0,0.507,-7.979,"NAN","NAN",0.147,-8.05,12.82
"2016-04-13 08:00:00",21,1,2016,104,8,0.027,0.047,0.009,"NAN","NAN","NAN",-6.557,-6.969,-7.428,"NAN",-6.287,-9.36,-9.93,-8.49,-8.55,-8.46,-8.18,103.5,93.3,0,1.898,200.8,134.3,500.2,0,1.099,0.061,0.014,0.1,-8.01,-8.11,-8.67,-8.71,0,3.345,0,0.558,-7.91,"NAN","NAN",-0.809,-8.4,12.81
"2016-04-13 09:00:00",22,1,2016,104,9,0.123,0.309,0.107,"NAN","NAN","NAN",-6.573,-6.985,-7.451,"NAN",-6.316,-9.38,-9.93,-8.17,-8.23,-8.15,-7.859,103.7,93.7,0,1.436,99.6,117.3,500.1,0,1.094,0.194,0.042,0.018,-7.943,-8,-8.53,-8.56,0,2.548,0,0.539,-8.04,"NAN","NAN",-1.124,-8.1,12.81
"2016-04-13 10:00:00",23,1,2016,104,10,0.377,0.987,0.087,"NAN","NAN","NAN",-6.562,-6.972,-7.432,"NAN",-6.308,-9.38,-9.91,-8.01,-8.05,-7.938,-7.667,103.5,93.8,0,2.295,163.7,178.4,500,0,1.072,0.53,0.088,0.031,-7.752,-7.805,-8.16,-8.21,0,3.28,0,0.405,-7.662,"NAN","NAN",-0.787,-7.676,12.83
"2016-04-13 11:00:00",24,1,2016,104,11,0.685,1.815,0.207,"NAN","NAN","NAN",-6.554,-6.971,-7.436,"NAN",-6.33,-9.38,-9.9,-7.416,-7.528,-7.328,-7.011,103.5,94,0,1.399,96.2,97.4,500.1,0,0.863,0.886,0.103,0.148,-6.445,-6.615,-7.885,-7.996,0,2.842,0,0.75,-6.984,"NAN","NAN",0.353,-6.671,12.86
"2016-04-13 12:00:00",25,1,2016,104,12,0.979,2.627,0.635,"NAN","NAN","NAN",-6.557,-6.974,-7.441,"NAN",-6.342,-9.39,-9.9,-6.342,-6.418,-6.142,-5.826,104.3,94.9,0,3.016,126.3,141.8,499.8,0,1.091,1.229,0.108,0.128,-5.913,-5.949,-6.889,-7.007,0,4.488,0,0.828,-5.942,"NAN","NAN",2.134,-5.674,12.89
"2016-04-13 13:00:00",26,1,2016,104,13,1.399,3.811,0.792,"NAN","NAN","NAN",-6.543,-6.965,-7.433,"NAN",-6.325,-9.39,-9.89,-5.735,-5.809,-5.29,-5.048,103.5,94.8,0,2.988,141.5,156.3,499.7,"NAN",1.088,1.718,0.127,0.115,-5.309,-5.492,-6.041,-6.099,0,4.194,0,0.341,-4.621,"NAN","NAN",4.66,-4.511,12.94
"2016-04-13 14:00:00",27,1,2016,104,14,1.888,5.118,0.868,"NAN","NAN","NAN",-6.523,-6.946,-7.419,"NAN",-6.316,-9.35,-9.85,-5.117,-5.306,-4.516,-4.328,98.5,92.7,0,2.799,143.3,158.1,499.6,"NAN",1.088,3.347,0.531,0.196,-4.333,-4.502,-5.506,-5.708,0,3.887,0,0.378,-3.353,"NAN","NAN",7.861,-3.498,13
"2016-04-13 15:00:00",28,1,2016,104,15,2.499,6.735,0.7,"NAN","NAN","NAN",-5.858,-6.334,-6.87,"NAN",-5.845,-8.72,-9.21,-3.826,-3.966,-3.832,-3.485,93.9,84.8,0,2.288,151.1,165.3,499.2,0,1.091,3.272,0.33,0.204,-0.932,-1.659,-4.715,-4.798,0,3.502,0,0.508,-1.272,"NAN","NAN","NAN",-0.948,13.18
"2016-04-13 16:00:00",29,1,2016,104,16,3.447,5.996,0.526,"NAN","NAN","NAN",-6.72,-7.48,-8.06,"NAN",-7.419,-9.98,-10.44,-2.591,-5.026,-3.164,-2.699,89.7,74.6,0,2.088,117.9,133.1,498.5,0,1.092,4.274,0.462,0.184,3.474,0.648,-8.35,-11.47,0,2.888,0,0.535,-1.254,"NAN","NAN","NAN",1.933,14.29
"2016-04-13 17:00:00",30,1,2016,104,17,3.416,5.546,0.443,"NAN","NAN","NAN",-10.67,-10.69,-10.91,"NAN",-10.67,-12.81,-13.13,-5.649,-7.834,-3.454,-3.024,88.9,77.97,0,3.368,118.4,132,497.7,"NAN",1.093,3.601,0.085,0.111,-3.758,-6.261,-6.776,-8.82,0,4.286,0,0.371,-2.917,"NAN","NAN","NAN",-2.865,13.35
"2016-04-13 18:00:00",31,1,2016,104,18,3.488,5.956,0.928,"NAN","NAN","NAN",-1.346,-3.252,-4.129,"NAN",-3.069,-6.211,-6.791,3.007,-1.083,-3.83,-3.273,89.1,75.05,0,3.764,119.7,134.1,497.1,"NAN",1.095,3.612,0.088,0.201,5.941,1.468,-3.719,-6.234,0,5.116,0,0.452,1.212,"NAN","NAN","NAN",7.753,13.29
"2016-04-13 19:00:00",32,1,2016,104,19,3.192,5.479,1.038,"NAN","NAN","NAN",0.795,-0.988,-1.906,"NAN",-1.008,-3.891,-4.467,5.717,1.474,-3.858,-3.612,89.2,77.58,0,3.469,106,121.7,496.4,1.147,1.096,3.469,0.189,0.083,6.121,1.851,4.295,0.353,0,4.606,0,0.389,2.895,"NAN","NAN","NAN",10.71,13.2
"2016-04-13 20:00:00",33,1,2016,104,20,1.799,3.968,0.54,"NAN","NAN","NAN",-4.316,-5.036,-5.645,"NAN",-4.687,-7.478,-7.997,-2.148,-3.537,-4.956,-4.331,91.4,81.3,0,3.192,94.7,111.5,496.1,1.073,1.1,2.794,0.582,0.292,4.256,0.36,-5.395,-5.401,0,3.946,0,0.282,-0.439,"NAN","NAN","NAN",2.012,13.27
"2016-04-13 21:00:00",34,1,2016,104,21,0.834,2.312,0.384,"NAN","NAN","NAN",-6.471,-6.896,-7.363,"NAN",-6.194,-9.24,-9.74,-5.647,-5.581,-5.231,-4.758,91.5,83.8,0,3.882,90.5,108.3,495.5,1.147,1.101,1.246,0.246,0.071,-5.336,-5.311,-5.889,-5.844,0,4.998,0,0.532,-2.79,"NAN","NAN",15.8,-3.582,14.68
"2016-04-13 22:00:00",35,1,2016,104,22,0.396,1.095,0.359,"NAN","NAN","NAN",-6.469,-6.875,-7.339,"NAN",-6.145,-9.28,-9.77,-6.058,-5.976,-5.863,-5.457,92.9,85.6,0,4.537,95.8,114.5,494.7,1.149,1.104,0.672,0.141,0.052,-5.812,-5.748,-6.436,-6.317,0,5.272,0,0.415,-4.599,"NAN","NAN",6.639,-5.172,13.6
"2016-04-13 23:00:00",36,1,2016,104,23,0.168,0.455,0.264,"NAN","NAN","NAN",-6.513,-6.911,-7.38,"NAN",-6.228,-9.32,-9.77,-5.687,-5.587,-5.676,-5.322,90.9,83.8,0,5.554,100.6,117.6,494,1.147,1.103,0.289,0.07,0.053,-4.976,-4.882,-6.418,-6.307,0,6.651,0,0.415,-5.756,"NAN","NAN",3.042,-5.359,13.5
"2016-04-14 00:00:00",37,1,2016,105,0,0.035,0.077,0.21,"NAN","NAN","NAN",-6.518,-6.93,-7.401,"NAN",-6.271,-9.35,-9.78,-4.862,-4.748,-4.842,-4.466,90,83,0,5.341,100.4,117.1,493.5,1.143,1.098,0.071,0.02,0.063,-4.379,-4.242,-5.255,-5.205,0,6.618,0,0.528,-5.499,"NAN","NAN",3.116,-4.654,13.2
"2016-04-14 01:00:00",38,1,2016,105,1,0.007,0.001,0.387,"NAN","NAN","NAN",-6.495,-6.898,-7.368,"NAN",-6.206,-9.32,-9.75,-5.227,-5.075,-5.209,-4.832,88.5,81.5,0,6.148,102.9,120,493,1.141,1.092,0.01,0.002,0.042,-4.622,-4.481,-5.774,-5.644,0,7.553,0,0.442,-5.551,"NAN","NAN",1.787,-5.033,13.04
"2016-04-14 02:00:00",39,1,2016,105,2,0.006,0,0.255,"NAN","NAN","NAN",-6.52,-6.925,-7.396,"NAN",-6.269,-9.34,-9.75,-4.976,-4.85,-5.066,-4.672,91.2,83.9,0,6.535,108.3,124.9,492.6,1.144,1.087,0.007,0.001,0.129,-4.111,-4.023,-6.337,-6.22,0,7.807,0,0.676,-6.03,"NAN","NAN",0.819,-4.887,12.95
"2016-04-14 03:00:00",40,1,2016,105,3,0.007,0,0.06,"NAN","NAN","NAN",-6.552,-6.97,-7.441,"NAN",-6.341,-9.36,-9.75,-3.408,-3.336,-3.46,-3.132,92.9,85.3,0,7.81,120.5,134.5,492.2,1.143,1.083,0.01,0.001,0.029,-2.852,-2.776,-4.217,-4.141,0,9.21,0,0.465,-4.584,"NAN","NAN",3.799,-3.368,12.89
"2016-04-14 04:00:00",41,1,2016,105,4,0.007,0,0.056,"NAN","NAN","NAN",-6.522,-6.933,-7.403,"NAN",-6.279,-9.32,-9.71,-2.694,-2.621,-2.732,-2.42,92.4,85.4,0,7.638,120.5,135,491.9,1.137,1.082,0.01,0.002,0.041,-2.365,-2.289,-3.029,-2.966,0,8.75,0,0.423,-3.279,"NAN","NAN",6.45,-2.617,12.85
"2016-04-14 05:00:00",42,1,2016,105,5,0.007,0,0.148,"NAN","NAN","NAN",-6.487,-6.892,-7.361,"NAN",-6.213,-9.28,-9.68,-2.703,-2.611,-2.741,-2.399,91.9,84.6,0,6.977,118,133.3,491.6,1.133,1.082,0.01,0.001,0.078,-2.517,-2.405,-2.878,-2.795,0,8.17,0,0.44,-2.979,"NAN","NAN",7.049,-2.586,12.83
"2016-04-14 06:00:00",43,1,2016,105,6,0.007,0,0.014,"NAN","NAN","NAN",-6.503,-6.916,-7.383,"NAN",-6.253,-9.29,-9.67,-2.219,-2.147,-2.281,-1.97,93.1,86,0,6.487,121,136.4,491.4,1.129,1.081,0.01,0.001,0.029,-1.639,-1.575,-2.694,-2.622,0,7.487,0,0.446,-2.712,"NAN","NAN",8.39,-2.141,12.81
"2016-04-14 07:00:00",44,1,2016,105,7,0.011,0.002,0.037,"NAN","NAN","NAN",-6.491,-6.904,-7.372,"NAN",-6.241,-9.28,-9.65,-1.558,-1.482,-1.609,-1.324,95.8,90.4,0,7.187,142.1,155.9,491.3,1.126,1.081,0.017,0.002,0.014,-1.282,-1.194,-1.86,-1.807,0,11.55,0,1.254,-1.981,"NAN","NAN",12.03,-1.454,12.81
"2016-04-14 08:00:00",45,1,2016,105,8,0.034,0.059,0.034,"NAN","NAN","NAN",-6.463,-6.876,-7.342,"NAN",-6.197,-9.25,-9.62,-1.867,-1.855,-1.947,-1.698,108.9,102.2,0,8.78,151.7,165.7,491,1.127,1.083,0.071,0.017,0,-1.735,-1.741,-2.016,-2.033,0,11.05,0,0.767,-1.718,"NAN","NAN",14.19,-1.833,12.8
"2016-04-14 09:00:00",46,1,2016,105,9,0.135,0.337,0.047,"NAN","NAN","NAN",-6.44,-6.856,-7.323,"NAN",-6.18,-9.22,-9.59,-1.753,-1.76,-1.849,-1.611,110,102.1,0,9.9,135,149.1,490.2,1.121,1.08,0.224,0.04,0.016,-1.654,-1.675,-1.885,-1.89,0,11.74,0,0.642,-1.65,"NAN","NAN",15.24,-1.647,12.84
"2016-04-14 10:00:00",47,1,2016,105,10,0.336,0.886,0.08,"NAN","NAN","NAN",-6.397,-6.82,-7.288,"NAN",-6.157,-9.18,-9.53,-1.431,-1.414,-1.554,-1.306,109.3,101.1,0,10.45,132.2,145.5,489.5,1.126,1.074,0.513,0.06,0.018,-1.073,-1.077,-1.729,-1.724,0,12.26,0,0.753,-1.387,"NAN","NAN",17.95,-1.189,12.95
"2016-04-14 11:00:00",48,1,2016,105,11,0.654,1.7,0.13,"NAN","NAN","NAN",-5.866,-6.307,-6.819,"NAN",-5.72,-8.66,-9,-0.183,-0.256,-0.923,-0.624,109.7,100.9,0,9,138.2,151.4,489.3,1.108,1.08,1.208,0.256,0.042,2.094,1.671,-1.112,-1.112,0,11.23,0,0.951,-0.43,"NAN","NAN","NAN",0.554,13.18
"2016-04-14 12:00:00",49,1,2016,105,12,1.589,2.508,0.445,"NAN","NAN","NAN",-3.535,-3.892,-4.46,"NAN",-3.755,-6.378,-6.702,4.693,2.805,-0.35,-0.049,110.3,101.2,0,7.162,133.7,149.3,489.4,1.124,1.078,1.867,0.255,0.122,6.691,4.202,0.752,0.009,0,8.81,0,0.557,1.857,"NAN","NAN","NAN",5.921,13.4
"2016-04-14 13:00:00",50,1,2016,105,13,1.933,3.128,0.508,"NAN","NAN","NAN",-3.158,-3.627,-4.244,"NAN",-3.465,-6.177,-6.488,5.564,3.418,-0.036,0.328,110.9,100.8,0,6.892,133.1,151.9,489.3,1.113,0.855,2.247,0.117,0.066,6.242,4.027,4.722,2.706,0,8.12,0,0.427,2.2,"NAN","NAN","NAN",6.463,13.67
"2016-04-14 14:00:00",51,1,2016,105,14,2.087,3.445,0.297,"NAN","NAN","NAN",-4.468,-4.942,-5.509,"NAN",-4.665,-7.437,-7.73,3.814,1.923,-0.001,0.34,111.1,100.5,0,6.423,146.1,165.7,489.4,1.034,0.631,2.376,0.146,0.073,4.743,2.739,3.21,1.333,0,7.435,0,0.447,1.595,"NAN","NAN","NAN",5.358,14.2
"2016-04-14 15:00:00",52,1,2016,105,15,2.289,3.517,0.246,"NAN","NAN","NAN",-4.603,-5.177,-5.736,"NAN",-4.843,-7.668,-7.966,3.253,1.296,-0.154,0.146,111.1,101.2,0,6.326,155.8,173.9,489.3,1.091,0.796,2.742,0.191,0.082,3.436,1.426,3.056,1.157,0,7.945,0,0.658,1.559,"NAN","NAN","NAN",5.325,14.13
"2016-04-14 16:00:00",53,1,2016,105,16,2.019,2.932,0.132,"NAN","NAN","NAN",-5.819,-6.361,-6.827,"NAN",-6.044,-8.82,-9.08,1.616,-0.324,-0.494,-0.194,111.2,102.5,0,6.597,161.9,181.2,489.5,1.083,0.976,2.223,0.118,0.095,3.135,1.114,0.609,-1.277,0,8.37,0,0.804,0.803,"NAN","NAN","NAN",3.735,13.73
"2016-04-14 17:00:00",54,1,2016,105,17,1.978,2.728,0.135,"NAN","NAN","NAN",-6.427,-6.992,-7.407,"NAN",-6.693,-9.46,-9.69,0.832,-1.112,-0.776,-0.501,110.8,103.2,0,6.304,159,181,489.5,1.079,1.018,2.155,0.084,0.07,0.96,-1.013,0.689,-1.21,0,7.696,0,0.557,0.413,"NAN","NAN","NAN",2.82,14.06
"2016-04-14 18:00:00",55,1,2016,105,18,1.936,2.585,0.11,"NAN","NAN","NAN",-6.418,-7.051,-7.463,"NAN",-6.734,-9.53,-9.76,0.96,-0.994,-0.662,-0.364,110.9,102.3,0,6.729,158.8,180.2,489.7,1.079,0.976,2.148,0.099,0.062,1.117,-0.848,0.834,-1.112,0,8.57,0,0.649,0.367,"NAN","NAN","NAN",2.694,14.3
"2016-04-14 19:00:00",56,1,2016,105,19,1.577,1.99,0.053,"NAN","NAN","NAN",-6.562,-7.177,-7.568,"NAN",-6.852,-9.64,-9.85,0.925,-0.944,-0.538,-0.236,111.3,102.5,0,6.886,165.3,186.6,490.1,1.074,1.017,1.884,0.158,0.044,1.185,-0.737,0.721,-1.121,0,8.68,0,0.628,0.3,"NAN","NAN","NAN",2.453,14.04
"2016-04-14 20:00:00",57,1,2016,105,20,1.242,1.421,0.137,"NAN","NAN","NAN",-6.769,-7.374,-7.743,"NAN",-7.036,-9.83,-10.03,0.642,-1.18,-0.61,-0.315,111.4,102.6,0,5.272,167.2,186.3,490.4,1.066,1.015,1.558,0.11,0.084,0.843,-1.021,0.339,-1.432,0,6.906,0,0.624,0.054,"NAN","NAN","NAN",2.136,13.91
"2016-04-14 21:00:00",58,1,2016,105,21,0.964,1.026,-0.038,"NAN","NAN","NAN",-7.111,-7.632,-7.962,"NAN",-7.251,-10.07,-10.26,-1.905,-3.673,-2.782,-2.526,109.3,101.3,0,2.18,263,238.9,490.8,"NAN",1.016,1.144,0.1,0.137,0.525,-1.3,-2.942,-4.683,0,6.527,0,1.422,-0.751,"NAN","NAN","NAN",-0.734,13.72
"2016-04-14 22:00:00",59,1,2016,105,22,0.671,0.627,-0.004,"NAN","NAN","NAN",-7.343,-7.803,-8.11,"NAN",-7.355,-10.2,-10.39,-3.222,-4.709,-3.692,-3.423,108.6,100,0,0.824,259,247.1,491.1,1.067,0.996,0.896,0.179,0.061,-2.831,-3.787,-3.857,-4.998,0,1.934,0,0.492,-2.355,"NAN","NAN","NAN",-2.496,13.52
"2016-04-14 23:00:00",60,1,2016,105,23,0.123,0.258,0.062,"NAN","NAN","NAN",-6.577,-7.003,-7.455,"NAN",-6.293,-9.32,-9.58,-3.76,-3.782,-3.665,-3.408,108.9,99.8,0,1.735,23.55,246.9,491,1.068,0.961,0.221,0.057,0.017,-3.613,-3.613,-3.877,-3.9,0,2.541,0,0.398,-2.892,"NAN","NAN",20.63,-3.608,13.29
