 ID  jd   hour    s(in)    s(out)   l(in)   net   net_thr all_in l_thr(out) 
106.  140.  410.  126.1   113.3   190.6   -39.4   -35.7   347.2   221.0
106.  140.  420.  128.0   115.4   189.7   -40.0   -36.6   347.2   219.2
106.  140.  430.  131.9   118.8   190.0   -38.5   -35.7   357.0   225.1
106.  140.  440.  130.4   116.7   189.9   -36.9   -35.1   352.6   222.3
106.  140.  450.  120.3   107.4   189.8   -36.1   -35.2   333.1   212.8
106.  140.  500.  145.4   128.7   192.4   -30.8   -29.9   358.4   213.0
106.  140.  510.  173.3   150.8   200.6   -20.0   -19.3   386.8   213.4
106.  140.  520.  188.7   162.8   205.8   -14.6   -14.3   398.0   209.4
106.  140.  530.  150.8   129.4   202.8   -21.1   -20.8   370.3   219.5
106.  140.  540.  135.3   116.3   199.5   -23.9   -23.9   350.3   215.0
106.  140.  550.  175.5   150.0   206.2   -13.2   -12.4   389.4   213.9
106.  140.  600.  133.6   116.0   196.9   -27.3   -26.2   356.9   223.2
106.  140.  610.  185.4   161.4   194.1   -24.0   -21.6   390.4   205.0
106.  140.  620.  225.8   194.3   199.3   -17.3   -14.8   415.6   189.9
106.  140.  630.  276.2   232.4   218.9     3.2     4.1   466.8   190.6
106.  140.  640.  221.1   184.4   232.2     5.1     4.9   434.7   213.6
106.  140.  650.  156.2   131.4   222.5    -9.6    -9.6   378.1   221.9
106.  140.  700.  213.4   179.2   215.0    -6.6    -4.7   414.6   201.2
106.  140.  710.  213.1   180.2   207.1   -15.8   -14.3   407.0   193.9
106.  140.  720.  309.2   257.0   226.1     9.6    11.1   496.9   187.7
106.  140.  730.  249.2   207.5   221.0    -3.5    -2.0   433.2   184.0
106.  140.  740.  250.2   208.8   216.9    -7.5    -5.0   433.2   183.0
106.  140.  750.  280.4   233.1   215.8    -3.7    -1.7   450.7   170.3
106.  140.  800.  284.9   236.3   214.0    -4.1     -.6   456.2   171.3
106.  140.  810.  270.6   225.8   196.8   -19.9   -16.0   436.5   165.9
106.  140.  820.  329.4   273.4   198.4   -10.1    -6.2   495.6   166.3
106.  140.  830.  401.5   328.4   220.5    15.3    18.6   588.5   187.0
106.  140.  840.  319.4   263.8   212.0    -5.4    -2.3   510.5   191.1
106.  140.  850.  354.4   291.9   205.2    -5.1      .5   548.7   194.4
106.  140.  900.  310.1   256.0   194.5   -19.5   -13.8   490.3   180.2
106.  140.  910.  388.1   317.6   197.8    -4.3     2.7   564.2   176.1
106.  140.  920.  373.1   305.8   197.3    -9.0    -1.6   535.8   162.7
106.  140.  930.  393.2   321.0   195.0    -7.4     1.0   563.2   170.0
106.  140.  940.  401.2   327.4   194.6    -7.9     1.7   567.6   166.4
106.  140.  950.  408.0   331.9   194.7    -6.6     1.9   571.9   163.9
106.  140. 1000.  420.9   340.4   194.5    -4.7     3.6   580.0   159.1
106.  140. 1010.  432.1   348.6   193.4    -4.4     4.2   585.2   153.1
106.  140. 1020.  442.4   356.4   193.6    -2.9     5.6   590.1   147.7
106.  140. 1030.  455.2   366.1   196.0      .2     7.4   597.5   142.3
106.  140. 1040.  457.1   367.6   198.7     1.4     7.7   599.5   142.5
106.  140. 1050.  473.9   379.1   203.4     6.2    12.1   612.0   138.2
106.  140. 1100.  479.1   383.2   203.1     6.2    12.7   617.9   138.8
106.  140. 1110.  482.9   385.6   199.1     3.4    11.9   622.7   139.8
106.  140. 1120.  490.3   391.8   198.2     2.7    10.7   623.4   133.1
106.  140. 1130.  509.5   405.3   198.0     6.4    13.5   635.8   126.3
106.  140. 1140.  505.4   401.5   200.2     9.1    16.6   635.0   129.6
106.  140. 1150.  489.4   388.9   199.9     6.9    14.0   621.4   132.0
106.  140. 1200.  531.6   420.2   196.0    12.1    20.9   649.3   117.7
106.  140. 1210.  527.4   416.8   193.5    10.3    18.3   645.1   117.8
106.  140. 1220.  523.2   413.6   192.1    10.7    18.5   641.6   118.4
106.  140. 1230.  523.6   414.0   191.4    10.7    17.9   641.8   118.1
106.  140. 1240.  541.3   427.3   191.7    14.7    22.6   675.7   134.4
106.  140. 1250.  546.4   431.0   191.0    15.8    24.1   693.2   146.9
106.  140. 1300.  550.9   434.1   191.2    17.8    25.8   699.2   148.2
106.  140. 1310.  554.8   436.9   191.7    19.8    26.5   701.2   146.4
106.  140. 1320.  557.4   438.9   192.2    21.6    27.8   704.6   147.2
106.  140. 1330.  559.5   440.3   192.4    23.3    29.0   708.9   149.4
106.  140. 1340.  562.0   441.9   192.7    25.1    30.0   713.3   151.3
106.  140. 1350.  564.0   443.3   192.9    26.6    31.0   714.4   150.4
106.  140. 1400.  565.1   444.2   192.6    27.6    31.3   716.0   150.9
106.  140. 1410.  566.1   444.9   191.8    27.7    31.1   717.7   151.6
106.  140. 1420.  566.5   444.9   191.1    27.6    31.0   715.0   148.5
106.  140. 1430.  566.6   445.4   190.4    28.3    31.2   712.9   146.3
106.  140. 1440.  566.4   445.4   190.2    28.5    31.4   713.1   146.7
106.  140. 1450.  565.6   444.7   190.1    29.0    31.9   713.4   147.8
106.  140. 1500.  564.2   443.8   189.9    28.6    31.9   712.9   148.7
106.  140. 1510.  562.4   442.3   189.7    28.0    31.7   712.5   150.2
106.  140. 1520.  560.0   440.4   189.1    26.9    31.2   707.5   147.5
106.  140. 1530.  557.5   438.2   188.8    25.8    30.8   699.6   142.2
106.  140. 1540.  554.6   435.3   188.3    24.5    30.2   692.2   137.6
106.  140. 1550.  551.3   432.2   188.0    23.2    29.6   687.0   135.8
106.  140. 1600.  547.3   428.7   187.8    21.9    28.7   675.3   128.0
106.  140. 1610.  542.7   424.5   187.6    20.4    28.0   659.3   116.6
106.  140. 1620.  538.1   420.3   187.2    19.1    27.6   651.6   113.5
106.  140. 1630.  533.3   415.7   187.1    17.6    26.2   646.7   113.4
106.  140. 1640.  528.4   411.2   186.9    16.1    24.7   642.4   114.1
106.  140. 1650.  523.4   407.6   186.3    13.8    23.3   640.2   116.8
106.  140. 1700.  517.8   402.7   185.7    10.9    21.9   634.9   117.1
106.  140. 1710.  511.7   397.0   185.2     8.1    20.2   631.3   119.6
106.  140. 1720.  504.7   389.6   185.1     5.5    18.3   624.8   120.1
106.  140. 1730.  497.3   383.2   184.7     3.6    16.5   619.8   122.5
106.  140. 1740.  489.0   376.8   184.4     1.5    14.5   615.6   126.6
106.  140. 1750.  479.8   370.3   184.0     -.3    12.7   608.5   128.7
106.  140. 1800.  470.0   363.7   183.4    -2.1    10.4   603.1   133.2
106.  140. 1810.  460.6   357.1   182.9    -3.9     7.9   596.1   135.5
106.  140. 1820.  450.3   350.0   182.5    -6.6     5.9   591.1   140.8
106.  140. 1830.  440.2   342.7   182.0    -6.2     3.7   584.3   144.1
106.  140. 1840.  430.3   335.2   181.4    -4.0     3.5   579.5   149.3
106.  140. 1850.  419.8   327.5   181.2    -2.0     1.3   572.7   152.9
106.  140. 1900.  408.9   319.3   181.2     -.8    -1.4   549.0   140.1
106.  140. 1910.  398.2   311.0   180.8     -.1    -5.6   540.4   142.2
106.  140. 1920.  388.2   303.1   180.1      .0    -8.6   532.7   144.5
106.  140. 1930.  378.1   295.4   179.7    -1.1   -10.6   525.9   147.8
106.  140. 1940.  367.5   287.5   179.5    -3.1   -13.4   518.0   150.5
106.  140. 1950.  356.5   279.4   178.7    -5.1   -15.9   511.6   155.1
106.  140. 2000.  346.0   271.4   178.1    -6.9   -18.1   504.0   158.0
106.  140. 2010.  335.8   263.8   177.5    -9.0   -19.8   496.0   160.1
106.  140. 2020.  325.8   256.5   177.0   -10.7   -20.0   462.5   136.6
106.  140. 2030.  315.6   249.0   176.6   -12.7   -20.0   443.0   127.4
106.  140. 2040.  305.5   241.5   176.7   -14.2   -20.5   437.2   131.7
106.  140. 2050.  295.3   233.7   176.6   -15.2   -20.5   431.4   136.1
106.  140. 2100.  285.2   225.9   176.3   -16.4   -20.2   425.7   140.5
106.  140. 2110.  275.4   218.4   176.0   -17.2   -20.5   420.4   145.0
106.  140. 2120.  265.6   210.8   175.7   -17.6   -20.0   415.2   149.6
106.  140. 2130.  255.9   203.8   175.5   -18.2   -19.1   410.0   154.1
106.  140. 2140.  246.4   196.4   174.9   -18.9   -20.2   404.4   158.0
106.  140. 2150.  237.3   189.3   174.3   -18.3   -20.9   399.5   162.3
106.  140. 2200.  228.4   182.5   174.4   -17.7   -21.8   395.2   166.8
106.  140. 2210.  219.9   175.3   174.5   -17.1   -23.1   390.4   170.4
106.  140. 2220.  211.9   169.3   174.3   -18.3   -26.3   385.4   173.5
106.  140. 2230.  204.0   163.6   174.3   -20.8   -30.4   380.2   176.2
106.  140. 2240.  196.2   158.3   174.2   -20.9   -34.9   374.6   178.4
106.  140. 2250.  188.5   153.4   173.9   -19.4   -39.1   369.3   180.8
106.  140. 2300.  181.1   148.4   173.5   -22.7   -41.3   364.4   183.2
106.  140. 2310.  173.8   143.4   173.2   -26.6   -42.7   359.5   185.7
106.  140. 2320.  166.8   137.9   173.1   -30.9   -44.7   354.7   187.9
106.  140. 2330.  159.9   132.4   172.7   -34.7   -46.1   350.8   190.9
106.  140. 2340.  153.5   127.9   172.5   -38.0   -48.1   346.6   193.1
106.  140. 2350.  147.6   123.1   172.4   -40.9   -47.9   340.9   193.3
106.  141.    0.  142.1   119.1   171.7   -43.8   -48.5   337.3   195.2
106.  141.   10.  136.8   115.2   171.3   -44.9   -48.6   330.7   194.0
106.  141.   20.  131.1   111.0   168.9   -46.1   -48.3   328.5   197.4
106.  141.   30.  126.9   107.1   169.1   -46.3   -47.8   299.4   172.5
106.  141.   40.  123.7   105.3   170.1   -46.9   -47.7   287.6   164.0
106.  141.   50.  120.5   103.2   170.8   -47.6   -47.8   282.8   162.3
106.  141.  100.  117.1   100.8   169.3   -48.6   -48.2   280.8   163.7
106.  141.  110.  113.9    98.4   168.6   -48.8   -47.8   277.1   163.2
106.  141.  120.  111.7    97.1   168.9   -48.4   -47.2   276.9   165.2
106.  141.  130.  109.5    95.4   168.2   -48.4   -46.7   274.1   164.6
106.  141.  140.  107.6    94.0   168.9   -47.7   -45.7   275.2   167.6
106.  141.  150.  106.6    93.6   169.5   -47.4   -45.0   275.5   168.9
106.  141.  200.  105.4    92.9   168.6   -47.9   -40.8   272.6   167.2
106.  141.  210.  104.3    92.0   166.9   -47.7  -105.7   224.0   119.7
106.  141.  220.  105.0    92.5   168.9   -46.5  -131.4   205.1   100.1
106.  141.  230.  106.5    94.0   169.3   -46.7  -122.2   207.5   101.0
106.  141.  240.  107.3    94.8   169.5   -46.5  -121.5   207.6   100.3
106.  141.  250.  108.0    95.1   169.3   -45.8  -122.2   208.0    99.9
106.  141.  300.  108.9    95.6   169.2   -45.2   -96.7   229.0   120.1
106.  141.  310.  110.4    97.3   169.4   -44.6   -47.9   270.9   160.5
106.  141.  320.  112.1    99.1   169.5   -44.4   -40.4   278.0   165.9
106.  141.  330.  114.3   100.9   169.2   -45.7   -39.8   278.2   163.8
106.  141.  340.  117.1   103.3   169.5   -46.0   -39.5   281.6   164.4
106.  141.  350.  120.2   105.9   169.6   -45.0   -38.7   288.7   168.6
106.  141.  400.  123.9   109.5   170.1   -42.5   -37.6   296.1   172.2
106.  141.  410.  128.8   113.6   170.8   -40.1   -36.4   311.4   182.6
106.  141.  420.  142.5   124.4   173.8   -34.9   -31.9   339.8   197.3
106.  141.  430.  151.1   130.6   175.3   -31.1   -28.8   345.4   194.3
106.  141.  440.  131.5   113.1   174.9   -31.9   -30.9   330.9   199.5
106.  141.  450.  117.5   100.8   173.9   -32.3   -31.6   291.2   173.7
106.  141.  500.  102.3    89.9   169.9   -38.3   -37.5   267.4   165.1
106.  141.  510.  131.3   115.0   172.7   -32.2   -31.1   291.4   160.1
106.  141.  520.  159.5   138.5   174.0   -28.4   -27.0   349.5   189.9
106.  141.  530.  156.1   135.6   172.6   -30.1   -28.7   344.8   188.7
106.  141.  540.  192.6   165.7   174.4   -24.0   -21.5   369.4   176.8
106.  141.  550.  198.7   170.2   173.6   -25.0   -21.9   370.8   172.1
106.  141.  600.  201.5   172.2   172.9   -25.4   -21.9   372.9   171.4
106.  141.  610.  213.2   181.5   172.2   -24.5   -20.0   378.7   165.5
106.  141.  620.  218.1   185.2   171.3   -26.0   -20.4   378.8   160.7
106.  141.  630.  211.4   179.6   170.3   -29.2   -22.8   375.4   164.0
106.  141.  640.  228.5   193.2   170.7   -26.2   -19.6   388.2   159.7
106.  141.  650.  236.6   198.8   169.9   -25.0   -19.3   390.3   153.7
106.  141.  700.  247.3   206.7   169.6   -23.5   -17.8   395.6   148.3
106.  141.  710.  256.7   214.0   170.3   -22.5   -17.3   398.9   142.2
106.  141.  720.  237.2   199.1   170.5   -28.9   -23.7   384.9   147.7
106.  141.  730.  279.9   231.9   174.7   -22.8   -18.0   413.7   133.8
106.  141.  740.  275.2   228.0   176.9   -19.8   -16.3   411.3   136.1
106.  141.  750.  302.3   248.8   176.9   -15.1    -9.6   440.7   138.4
106.  141.  800.  311.2   255.8   175.5   -14.9    -8.4   472.7   161.5
106.  141.  810.  324.8   266.9   175.0   -14.7    -7.5   483.3   158.5
106.  141.  820.  336.5   276.5   175.2   -15.0    -8.7   487.2   150.6
106.  141.  830.  347.5   284.8   176.5   -12.6    -6.1   494.8   147.3
106.  141.  840.  348.3   284.3   173.8   -13.0    -4.8   497.4   149.2
106.  141.  850.  359.1   292.4   176.4   -11.7    -3.0   502.8   143.7
106.  141.  900.  359.8   292.5   177.9   -11.2    -2.1   510.1   150.3
106.  141.  910.  321.2   262.1   181.8   -16.5   -10.0   489.2   168.0
106.  141.  920.  306.3   246.2   216.2    13.7    15.8   512.8   206.5
106.  141.  930.  330.3   264.6   231.0    25.7    26.0   532.2   201.9
106.  141.  940.  317.2   255.8   238.7    25.6    24.0   524.6   207.4
106.  141.  950.  321.7   259.4   240.8    27.1    26.5   530.9   209.2
106.  141. 1000.  310.1   250.9   243.7    25.7    24.5   526.0   215.9
106.  141. 1010.  319.1   259.1   247.7    27.5    25.5   536.1   217.0
106.  141. 1020.  334.0   271.2   247.5    28.1    26.3   546.2   212.3
106.  141. 1030.  342.7   277.7   246.8    28.1    25.9   549.7   207.0
106.  141. 1040.  344.6   279.5   249.6    28.3    26.1   554.2   209.6
106.  141. 1050.  338.7   275.7   250.5    26.5    25.2   553.6   214.9
106.  141. 1100.  347.5   284.0   251.1    25.6    24.9   558.2   210.7
106.  141. 1110.  365.8   298.4   250.2    27.4    26.3   568.3   202.4
106.  141. 1120.  374.2   305.0   250.4    28.4    27.3   571.0   196.8
106.  141. 1130.  382.0   311.5   252.3    28.2    27.8   577.2   195.2
106.  141. 1140.  383.9   314.5   254.0    26.5    26.7   581.5   197.6
106.  141. 1150.  403.1   328.6   253.9    28.2    29.4   596.2   193.0
106.  141. 1200.  426.1   344.5   252.9    30.0    32.0   613.9   187.8
106.  141. 1210.  458.2   366.5   249.0    32.4    35.0   632.7   174.4
106.  141. 1220.  462.1   368.8   246.4    29.8    32.6   657.3   195.3
106.  141. 1230.  461.5   367.6   238.5    23.0    26.3   682.0   220.5
106.  141. 1240.  493.4   390.8   235.6    26.6    30.3   697.4   204.1
106.  141. 1250.  499.9   396.8   238.8    26.2    30.2   702.6   202.7
106.  141. 1300.  535.5   424.4   242.8    31.1    35.6   737.2   201.6
106.  141. 1310.  550.8   432.4   241.2    33.1    36.6   754.2   203.4
106.  141. 1320.  479.4   380.1   243.8    20.7    22.9   699.9   220.5
106.  141. 1330.  556.4   436.5   241.5    29.1    32.0   733.5   177.1
106.  141. 1340.  526.0   411.6   239.6    18.4    23.1   721.8   195.8
106.  141. 1350.  536.6   420.8   250.8    34.5    37.5   738.4   201.8
106.  141. 1400.  512.7   398.2   234.6    29.2    30.1   741.0   228.3
106.  141. 1410.  569.1   437.1   207.6    31.3    33.0   743.3   174.2
106.  141. 1420.  578.8   444.2   192.6    22.6    29.0   757.6   178.8
106.  141. 1430.  426.0   329.1   185.8    -8.3    -1.9   618.3   192.3
106.  141. 1440.  467.9   362.2   223.0    30.1    29.0   644.6   176.7
106.  141. 1450.  537.6   418.8   243.7    50.2    49.8   719.6   182.0
106.  141. 1500.  421.5   336.5   250.5    23.7    22.3   621.3   199.9
106.  141. 1510.  458.8   367.7   252.9    33.8    31.0   636.4   177.6
106.  141. 1520.  466.9   377.4   252.8    33.5    30.9   642.9   176.0
106.  141. 1530.  486.2   392.5   252.7    36.9    33.1   651.2   165.0
106.  141. 1540.  500.5   400.8   246.3    38.6    33.7   658.1   157.6
106.  141. 1550.  548.1   436.1   232.5    41.9    36.6   678.6   130.5
106.  141. 1600.  477.6   381.2   232.4    29.0    23.7   632.1   154.5
106.  141. 1610.  521.5   415.9   229.2    36.5    29.8   666.4   144.9
106.  141. 1620.  570.7   452.5   230.8    46.7    39.6   694.8   124.1
106.  141. 1630.  470.1   374.5   232.8    27.4    20.1   625.8   155.7
106.  141. 1640.  480.0   382.6   232.0    31.7    23.8   639.7   159.7
106.  141. 1650.  481.1   382.2   233.6    34.5    27.6   633.5   152.4
106.  141. 1700.  416.4   332.6   226.8    18.5    12.7   589.0   172.6
106.  141. 1710.  518.1   410.2   218.7    33.2    26.1   648.6   130.4
106.  141. 1720.  443.7   352.7   215.6    20.4    13.4   599.7   156.0
106.  141. 1730.  381.9   304.7   215.2     8.6     1.7   549.8   167.9
106.  141. 1740.  401.1   319.3   228.2    21.9    14.7   584.2   183.1
106.  141. 1750.  372.5   296.7   230.6    18.6    12.7   569.4   196.9
106.  141. 1800.  383.7   305.2   225.1    15.9    10.0   575.4   191.8
106.  141. 1810.  377.4   299.5   211.6     8.4     1.8   561.3   183.9
106.  141. 1820.  406.0   320.7   196.2     6.5    -2.5   550.1   144.1
106.  141. 1830.  397.8   314.1   179.0    -5.7   -17.5   530.5   132.7
106.  141. 1840.  440.4   345.4   174.4     4.2    -6.5   560.5   120.2
106.  141. 1850.  427.3   335.1   172.4     1.7    -9.6   548.5   121.2
106.  141. 1900.  416.9   327.8   171.9      .1   -11.3   540.9   124.0
106.  141. 1910.  405.0   318.7   171.2    -1.7   -13.3   534.2   129.2
106.  141. 1920.  395.0   310.7   170.6    -3.2   -15.3   526.5   131.5
106.  141. 1930.  384.9   302.9   170.6    -5.1   -16.7   520.5   135.5
106.  141. 1940.  373.9   294.6   169.9    -7.4   -18.4   512.7   138.8
106.  141. 1950.  363.2   286.5   169.4    -9.5   -19.7   500.2   137.0
106.  141. 2000.  353.4   279.0   168.5   -11.0   -20.6   493.8   140.4
106.  141. 2010.  344.4   271.9   168.7   -12.2   -21.4   458.6   114.2
106.  141. 2020.  336.5   265.6   169.1   -13.0   -21.0   449.2   112.7
106.  141. 2030.  331.3   261.3   169.8   -12.7   -19.0   446.5   115.2
106.  141. 2040.  323.1   254.4   170.3   -12.3   -18.7   446.7   123.6
106.  141. 2050.  313.4   245.7   170.4   -12.6   -18.4   436.8   123.4
106.  141. 2100.  301.6   235.7   169.6   -14.4   -18.9   429.5   127.9
106.  141. 2110.  287.8   224.8   167.8   -17.7   -21.2   420.1   132.4
106.  141. 2120.  277.1   216.4   167.7   -18.7   -21.3   413.4   136.3
106.  141. 2130.  266.4   208.6   167.9   -19.7   -20.5   408.2   141.8
106.  141. 2140.  256.4   200.8   167.6   -20.5   -21.8   403.4   147.0
106.  141. 2150.  248.9   195.2   168.4   -19.4   -21.8   399.6   150.7
106.  141. 2200.  206.2   163.7   168.1   -28.5   -32.1   374.3   168.1
106.  141. 2210.  239.5   187.3   170.4   -14.6   -20.6   396.4   156.8
106.  141. 2220.  229.7   179.1   168.9   -17.1   -25.0   389.7   160.0
106.  141. 2230.  220.9   172.0   169.0   -20.2   -28.9   382.2   161.3
106.  141. 2240.  211.8   160.2   168.8   -16.6   -27.9   376.2   164.4
106.  141. 2250.  204.6   153.1   168.2   -13.0   -30.4   373.2   168.6
106.  141. 2300.  185.7   145.5   166.2   -25.0   -40.4   358.9   173.2
106.  141. 2310.  187.9   147.7   165.9   -26.2   -41.3   358.2   170.3
106.  141. 2320.  178.9   140.7   165.4   -29.3   -42.7   353.6   174.7
106.  141. 2330.  175.4   138.1   165.3   -31.7   -42.7   349.7   174.3
106.  141. 2340.  153.0   121.1   163.2   -37.6   -46.3   336.1   183.2
106.  141. 2350.  150.5   118.3   164.5   -37.2   -44.0   334.4   183.9
106.  142.    0.  145.8   114.7   165.0   -38.7   -43.4   332.9   187.2
106.  142.   10.  152.5   120.3   166.1   -39.0   -43.0   335.4   183.0
106.  142.   20.  144.0   113.6   165.9   -40.6   -43.9   330.4   186.4
106.  142.   30.  137.1   107.8   165.4   -41.1   -43.5   320.1   182.9
106.  142.   40.  145.1   113.3   166.2   -40.9   -42.6   332.1   187.0
106.  142.   50.  137.1   107.6   163.7   -46.0   -46.3   323.3   186.2
106.  142.  100.  129.9   101.7   163.7   -46.8   -46.5   301.3   171.4
106.  142.  110.  122.3    95.3   163.7   -46.0   -45.9   284.2   161.9
106.  142.  120.   88.8    70.2   165.0   -44.2   -45.0   255.2   166.4
106.  142.  130.   70.9    56.1   175.5   -34.1   -35.0   250.5   179.6
106.  142.  140.   66.8    53.3   182.3   -28.4   -29.4   253.3   186.5
106.  142.  150.   51.1    41.9   173.0   -39.6   -39.9   238.4   187.4
106.  142.  200.   59.1    48.0   174.8   -36.6   -37.5   244.9   185.8
106.  142.  210.   58.3    47.7   179.6   -33.5   -34.3   246.6   188.4
106.  142.  220.   57.3    46.8   174.3   -39.3   -41.1   241.5   184.2
106.  142.  230.   82.8    65.3   190.9   -21.9   -27.2   262.9   180.1
