  196.000   3.60 132.10    .49
  196.125   3.84 114.30  -1.28
  196.250   4.67 107.20  -2.88
  196.375   5.35 127.30  -2.72
  196.500   6.41 122.50  -1.17
  196.625   6.46 106.30   -.47
  196.750   3.99 103.50    .81
  196.875   3.83  95.80   1.28
  197.000   3.23 104.20   -.14
  197.125   3.55 128.20  -1.91
  197.250   5.88 118.20  -2.76
  197.375   5.64 130.40  -2.25
  197.500   7.10 133.90   -.32
  197.625   7.40 136.50   1.57
  197.750   5.98 148.90   2.01
  197.875   6.43 139.20   1.62
  198.000   4.87 138.20   1.20
  198.125   3.49 144.60  -1.03
  198.250   4.10 132.70   -.37
  198.375   4.45 123.40   -.69
  198.500   4.91 132.10    .60
  198.625   5.43 138.90   2.22
  198.750   6.21 143.10   2.31
  198.875   7.32 150.00   1.93
  199.000   7.80 157.00   1.79
  199.125   7.66 152.70   2.59
  199.250   7.72 164.00   2.25
  199.375   8.84 152.80   1.84
  199.500   9.01 149.10   1.61
  199.625   7.98 139.70   1.87
  199.750   6.70 147.70   1.76
  199.875   5.38 147.40   1.23
  200.000   3.90 151.80    .70
  200.125   3.14 152.70    .23
  200.250   2.85 157.40    .15
  200.375   2.06 170.00    .18
  200.500   2.38 167.60    .25
  200.625   3.32 154.90    .01
  200.750   3.08 164.10    .57
  200.875   2.95 149.70    .04
  201.000   3.32 158.90   -.26
  201.125   2.59 168.60   -.45
  201.250   2.02 164.90   -.41
  201.375   2.14 133.40   -.09
  201.500   1.87 119.40   1.37
  201.625   2.42 146.80   1.86
  201.750   2.77 141.30   1.54
  201.875   2.37 135.80   1.59
  202.000   2.79 135.20    .03
  202.125   3.22 134.40  -2.26
  202.250   3.51  98.90  -3.15
  202.375   4.85 126.40  -2.55
  202.500   5.10 131.60   -.69
  202.625   4.44 141.30   1.11
  202.750   3.44 128.80   1.74
  202.875   3.57 133.90   1.74
  203.000   5.13 115.40    .70
  203.125   6.40 110.10   -.96
  203.250   7.75 109.50  -3.02
  203.375   9.19 109.80  -4.30
  203.500   8.84 109.20  -2.45
  203.625   7.44 109.10    .04
  203.750   6.24 112.60   1.17
  203.875   5.49 113.90   1.52
  204.000   4.05 110.30    .25
  204.125   4.90 100.70  -2.27
  204.250   6.83 113.10  -4.24
  204.375   7.52 114.30  -4.69
  204.500   7.15 126.50  -2.94
  204.625   6.58 129.80   -.47
  204.750   4.98 134.20   1.15
  204.875   3.69 141.60   1.36
  205.000   2.91 123.60    .10
  205.125   4.35 113.20   -.58
  205.250   5.54 122.00  -1.89
  205.375   6.07 113.10  -3.17
  205.500   6.26 128.20  -2.71
  205.625   5.26 138.00  -1.32
  205.750   3.71 147.00   -.13
  205.875   2.75 142.70    .15
  206.000   2.06 138.20   -.28
  206.125   1.41 121.90  -1.16
  206.250   2.01 124.00   -.96
  206.375   3.34 132.90  -1.31
  206.500   3.80 127.40  -1.02
  206.625   2.80 200.10    .63
  206.750   2.47 161.10    .19
  206.875   3.50 178.90   -.87
  207.000   4.55 173.40  -1.29
  207.125   3.78 181.20  -2.03
  207.250   3.27 199.40  -1.98
  207.375   3.20 178.80  -1.94
  207.500   3.60 177.70  -1.20
  207.625   3.19 184.70   -.31
  207.750   3.13 158.20    .61
  207.875   3.69 138.20   -.49
  208.000   3.99 147.70   -.51
  208.125   4.95 177.30   -.68
  208.250   6.74 165.50  -1.11
  208.375   5.20 230.50  -2.98
  208.500   1.02 118.90  -2.50
  208.625   6.50 214.20  -3.06
  208.750   7.87 216.90  -4.75
  208.875   4.80 189.10  -4.53
  209.000   2.52 112.80  -6.20
  209.125   2.05 100.60 -11.36
  209.250   2.29  82.30 -14.33
  209.375    .59 340.20 -10.38
  209.500   1.32 230.70  -6.54
  209.625   3.39 192.40  -5.32
  209.750   3.19 197.90  -4.98
  209.875   4.90 188.20  -5.97
  210.000   3.79 129.30  -9.48
  210.125   5.24  99.40 -13.50
  210.250   7.01 108.30 -14.22
  210.375   7.61 104.50 -13.74
  210.500   7.82 118.00 -11.74
  210.625   6.96 121.60  -8.98
  210.750   5.77 134.00  -6.51
  210.875   2.88 131.50  -4.75
  211.000   3.58 122.60  -7.78
  211.125   6.25 120.40 -10.71
  211.250   7.59 133.20 -10.91
  211.375   8.16 129.50 -10.51
  211.500   7.68 137.70  -8.88
  211.625   6.45 146.70  -5.74
  211.750   5.63 168.80  -3.93
  211.875   7.37 165.20  -3.98
  212.000   7.63 173.60  -3.99
  212.125   6.26 147.00  -3.87
  212.250   9.62 137.00  -4.02
  212.375  11.56 156.50  -2.50
  212.500   7.80 181.30  -1.08
  212.625   5.83 184.80   -.51
  212.750   7.25 179.50   -.12
  212.875   9.75 190.60  -1.31
  213.000   9.22 205.00  -3.22
  213.125   3.81 200.30  -4.11
  213.250    .96 232.50  -4.77
  213.375   2.20 227.90  -5.05
  213.500   2.03 213.90  -3.49
  213.625   3.18 170.70  -1.71
