  166.3331049.7    .135   9.980   103.0  247.9  242.8  192.8  .78  .79    2.1
  166.347 928.1    .122   9.700   103.0  202.8  197.6  156.2  .77  .79    1.9
  166.3611120.8    .122  10.040   103.0  210.2  206.1  162.2  .77  .79    1.9
  166.375 997.6    .116  10.040   103.0  198.0  194.2  153.4  .77  .79    1.8
  166.3891189.8    .122  10.040   103.0  189.7  183.8  146.1  .77  .79    1.8
  166.4031129.2    .121  10.250   103.0  265.6  258.1  204.6  .77  .79    1.9
  166.4171152.0    .108  10.350   103.0  278.0  271.0  215.2  .77  .79    1.6
  166.4311268.4    .095  10.590   103.0  326.7  318.2  251.9  .77  .79    1.4
  166.4441452.1    .100  10.800   103.0  401.8  390.0  307.3  .76  .79    1.6
  166.4581751.4    .101  10.940   103.0  430.4  420.6  330.2  .77  .78    1.6
  166.4722080.2    .101  10.660   103.0  371.4  363.6  287.7  .77  .79    1.5
  166.4862066.3    .112  10.940   103.0  528.2  514.8  400.9  .76  .78    1.7
  166.5001998.1    .113  10.690   103.0  433.0  423.1  331.1  .76  .78    1.8
  166.5142025.2    .117  10.970   103.0  614.3  598.0  462.1  .75  .77    1.8
  166.5282383.9    .111  10.900   103.0  585.3  568.8  439.0  .75  .77    1.7
  166.5422126.9    .109  11.000   103.0  542.6  528.8  410.9  .76  .78    1.7
  166.5561825.2    .119  11.210   103.0  664.4  646.8  500.9  .75  .77    1.9
  166.5692198.6    .110  11.000   103.0  574.4  557.5  428.8  .75  .77    1.7
  166.5832409.9    .113  11.000   103.0  578.8  567.0  447.1  .77  .79    1.8
  166.5972184.1    .094  10.900   103.0  469.2  460.2  363.9  .78  .79    1.5
  166.6114428.5    .101  10.960   103.0  490.0  481.7  386.6  .79  .80    1.6
  166.6253453.5    .085  10.690   103.0  442.7  434.6  353.2  .80  .81    1.4
  166.6392363.3    .088  11.030   103.0  608.1  594.8  471.0  .77  .79    1.4
  166.6532353.1    .087  10.900   103.0  526.0  517.2  413.8  .79  .80    1.4
  166.6672985.8    .097  10.520   103.0  522.9  513.2  412.1  .79  .80    1.5
  166.6812457.3    .102  10.310   103.0  503.7  494.4  386.6  .77  .78    1.6
  166.6942780.7    .100  10.070   103.0  456.8  448.8  365.6  .80  .81    1.6
  166.7082307.4    .096  10.210   103.0  477.3  469.3  374.4  .78  .80    1.5
  166.7222198.6    .100  10.280   103.0  507.3  497.5  402.2  .79  .81    1.5
  166.7362798.3    .108   9.930   103.0  405.2  397.7  324.0  .80  .81    1.7
  166.7503350.1    .101   9.930   103.0  381.4  373.6  306.5  .80  .82    1.6
  166.7642769.0    .109   9.730   103.0  422.0  413.2  335.9  .80  .81    1.8
  166.7783105.6    .111   9.900   103.0  415.0  406.1  328.5  .79  .81    1.7
  166.7923086.4    .101   9.800   103.0  329.1  321.9  263.0  .80  .82    1.6
  166.8062912.1    .092  10.070   103.0  357.2  349.4  284.5  .80  .81    1.5
  166.8192559.7    .084  10.070   103.0  284.2  278.6  228.8  .80  .82    1.4
  166.8332537.8    .091  10.210   103.0  282.0  276.3  226.7  .80  .82    1.4
  166.8472287.3    .094  10.280   103.0  254.2  249.1  203.5  .80  .82    1.5
  166.8612711.1    .095  10.180   103.0  195.8  192.0  158.8  .81  .83    1.5
  166.8752728.4    .107  10.180   103.0  199.6  195.3  159.8  .80  .82    1.6
  166.8892383.9    .099  10.320   103.0  204.9  200.1  161.1  .79  .80    1.6
  166.9031875.7    .081  10.450   103.0  231.2  217.1  174.9  .76  .81    1.4
  166.9171508.4    .092  10.250   103.0  281.5  265.7  214.9  .76  .81    1.5
  166.9311380.9    .088   9.770   103.0  249.5  228.8  188.6  .76  .82    1.4
  166.9441060.4    .077   9.970   103.0  234.9  213.7  175.0  .74  .82    1.2
  166.9581137.7    .083   9.830   103.0  205.7  185.7  153.2  .74  .82    1.2
  166.972 899.6    .086   9.700   103.0  178.4   52.7  133.2  .75 2.53    1.3
  166.9861134.9    .105   9.700   103.0  153.5   50.0  114.6  .75 2.29    1.6
  167.9861065.8    .111   9.560   103.0  131.0  118.0   97.8  .75  .83    1.7
  167.0141028.6    .100   9.320   103.0  106.7   96.7   79.8  .75  .82    1.5
  167.028 997.6    .093   9.050   103.0   69.2   63.3   53.0  .77  .84    1.4
  167.0421049.7    .088   8.700   103.0   54.9   52.2   42.1  .77  .81    1.4
  167.0561186.9    .108   9.220   103.0   57.0   55.2   44.9  .79  .81    1.7
  167.0691216.6    .114   9.080   103.0   45.8   45.2   35.1  .77  .78    1.8
  167.0831318.9    .111   9.290   103.0   34.5   38.5   33.3  .96  .86    1.7
  167.097******    .112 -40.360   103.0   29.8   38.3   32.5 1.09  .85    1.7
  167.111  -1.7    .116    .134   134.3   24.6   30.3   26.1 1.06  .86  -56.8
  167.118  -1.9    .113    .124   136.6   24.7   31.7   27.4 1.11  .87  -56.5
  167.125  -2.0    .110    .128   134.2   24.7   32.7   28.5 1.15  .87  -56.1
  167.132  -1.9    .111    .127   136.3   25.3   33.2   29.0 1.15  .87  -53.0
  167.139  -2.2    .101    .118   135.2   25.9   34.1   29.7 1.15  .87  -51.2
  167.146  -2.2    .099    .114   131.4   26.3   33.4   28.5 1.08  .85  -51.5
  167.153  -2.0   4.339   4.840   132.3   27.9   35.5   30.2 1.08  .85  -50.8
  167.160  -2.0   7.460   7.910   136.9   35.9   37.1   31.5  .88  .85  -50.8
  167.167  -2.0   7.720   9.110   133.7   34.5   35.7   30.2  .87  .85  -52.3
  167.174  -2.1   8.380   9.580   136.9   32.7   33.8   28.5  .87  .84  -54.4
  167.181  -2.1   8.490   9.310   134.9   32.1   33.1   27.9  .87  .84  -55.7
  167.188  -2.2   4.958   5.720   132.3   36.5   37.1   31.8  .87  .86  -57.2
  167.194  -2.1   5.085   5.640   134.0   39.0   39.4   33.7  .86  .86  -57.0
  167.201  -2.0   4.888   5.320   134.6   45.8   45.9   38.8  .85  .85  -54.6
  167.208  -2.2   4.838   5.400   133.1   54.5   54.2   45.8  .84  .84  -52.7
  167.215  -2.2   4.717   5.240   142.2   59.4   58.7   49.3  .83  .84  -51.1
  167.222  -2.2   4.731   5.360   136.3   65.6   64.6   53.8  .82  .83  -50.2
  167.229  -2.0   4.788   5.320   140.7   80.4   79.1   64.9  .81  .82  -43.4
  167.236  -1.9   4.652   5.200   140.7   99.9   98.8   79.4  .80  .80  -33.0
  167.243  -1.7   4.953   5.600   135.1  111.6  110.1   87.7  .79  .80  -23.5
  167.250  -1.4   5.119   5.960   138.8  129.4  127.9  100.8  .78  .79  -17.6
  167.257  -1.4   4.913   5.480   138.5  140.5  138.5  108.7  .77  .78  -15.1
  167.264  -1.3   5.138   5.840   135.5  154.8  152.4  119.6  .77  .78  -10.6
  167.271  -1.2   5.170   5.960   134.9  131.7  130.0  103.2  .78  .79  -14.7
  167.278  -1.3   5.471   6.320   139.1  110.0  109.1   87.3  .79  .80  -11.8
  167.285  -1.5   5.014   5.840   137.0   83.4   83.2   66.9  .80  .80  -13.6
  167.292  -1.6   4.832   5.440   138.9   83.5   83.5   67.2  .80  .80  -22.3
  167.299  -1.5   4.927   5.400   142.5  128.6  128.0  102.4  .80  .80  -28.9
  167.306  -1.4   4.879   5.400   142.4  187.4  184.9  147.4  .79  .80  -18.4
  167.313  -1.6   5.135   5.680   143.9  125.0  124.1   99.8  .80  .80  -34.9
  167.319  -1.5   4.824   5.360   139.4  174.3  172.4  137.8  .79  .80  -24.3
  167.326  -1.4   4.852   5.640   140.4  203.8  201.3  161.3  .79  .80  -21.3
  167.333  -1.4   4.828   5.720   138.2  221.6  219.3  175.5  .79  .80  -19.2
  167.340  -1.1   5.024   5.720   138.2  247.8  245.5  195.4  .79  .80  -13.2
  167.347  -1.0   5.080   5.640   137.0  265.6  263.2  209.1  .79  .79   -9.3
  167.354   -.8   5.056   5.560   143.3  290.8  288.8  228.0  .78  .79   -1.6
  167.361   -.8   5.164   6.080   141.2  288.4  287.0  225.8  .78  .79   -3.5
  167.368   -.7   4.896   5.680   140.3  305.0  303.8  238.2  .78  .78    -.8
  167.375   -.4   4.894   5.840   138.6  332.7  331.4  259.1  .78  .78    6.4
  167.382   -.5   5.001   5.960   140.3  343.3  341.0  265.8  .77  .78   11.5
  167.389   -.1   5.059   6.160   146.1  385.0  382.1  296.8  .77  .78   11.7
  167.396   -.2   4.815   5.440   139.7  400.4  398.9  309.5  .77  .78   28.8
  167.403   -.3   4.872   5.640   142.5  333.3  331.2  258.2  .77  .78    6.7
  167.410    .0   4.837   5.680   138.9  429.5  426.4  331.0  .77  .78   30.7
  167.417    .1   5.176   6.080   140.9  426.7  424.3  328.4  .77  .77   32.4
  167.424    .1   5.136   5.840   132.1  392.6  389.1  301.3  .77  .77   19.9
  167.431    .4   5.252   6.120   139.2  465.5  459.6  354.1  .76  .77   36.0
  167.438    .6   5.182   6.040   138.9  479.7  492.5  378.8  .79  .77   45.7
  167.444    .4   5.272   6.200   144.3  455.7  428.1  345.6  .76  .81   35.0
  167.451    .4   4.887   5.800   140.7  428.5  422.0  324.0  .76  .77   31.2
  167.458    .6   5.115   5.680   141.8  456.3  448.7  343.6  .75  .77   37.1
  167.465    .7   5.146   5.880   139.8  548.0  537.7  410.7  .75  .76   60.2
  167.472   1.0   5.051   5.800   140.3  600.4  587.2  447.9  .75  .76   73.7
  167.479    .8   4.777   5.520   138.7  571.9  563.4  429.2  .75  .76   74.0
  167.486    .9   4.672   5.560   148.0  525.8  513.7  390.8  .74  .76   58.0
  167.493   1.2   4.677   5.680   140.3  635.4  618.6  468.3  .74  .76   86.4
  167.500   1.1   4.685   5.400   149.0  666.3  648.0  490.5  .74  .76   99.2
  167.507   1.1   4.589   5.360   144.1  585.5  568.8  432.9  .74  .76   78.4
  167.514   1.1   4.293   4.840   153.5  580.7  564.3  430.7  .74  .76   81.6
  167.521   1.2   4.386   5.040   143.6  598.7  581.1  445.0  .74  .77   87.3
  167.528   1.1   4.582   5.040   138.8  588.6  574.5  442.1  .75  .77   88.2
  167.535   1.2   4.797   5.560   143.7  575.7  562.9  434.6  .75  .77   87.0
  167.542   1.2   4.683   5.560   143.4  579.0  564.9  435.5  .75  .77   88.7
  167.549   1.4   4.582   5.000   145.6  714.1  694.7  530.6  .74  .76  122.0
  167.556   1.4   4.428   4.920   139.0  691.0  672.6  515.2  .75  .77  112.8
  167.563   1.3   4.428   4.880   144.1  557.6  547.9  425.2  .76  .78   77.2
  167.569   1.4   4.108   4.720   139.1  540.1  528.5  409.9  .76  .78   74.2
  167.576   1.4   3.949   4.800   134.6  570.5  555.8  428.9  .75  .77   82.3
  167.583   1.4   4.177   4.840   139.1  557.6  542.2  418.9  .75  .77   79.8
  167.590   1.5   4.209   4.760   148.0  583.2  568.6  442.1  .76  .78   84.1
