"ID","year","JD","hourminute","dewpoint_T","Ambient_T","Battery"
103,2000,141,1040,-7.72,-4.178,12.11
103,2000,141,1050,-7.7,-4.038,12.11
103,2000,141,1100,-7.74,-4.186,12.11
103,2000,141,1110,-7.55,-4.241,12.1
103,2000,141,1120,-7.49,-4.051,12.11
103,2000,141,1130,-7.38,-3.934,12.1
103,2000,141,1140,-7.3,-3.922,12.1
103,2000,141,1150,-7.06,-3.808,12.1
103,2000,141,1200,-7.13,-3.858,12.1
103,2000,141,1210,-6.993,-3.98,12.1
103,2000,141,1220,-6.593,-4.223,12.1
103,2000,141,1230,-6.205,-4.366,12.09
103,2000,141,1240,-5.979,-4.331,12.09
103,2000,141,1250,-5.939,-4.173,12.09
103,2000,141,1300,-6.013,-4.035,12.09
103,2000,141,1310,-6.227,-3.9,12.09
103,2000,141,1320,-6.164,-3.632,12.09
103,2000,141,1330,-6.1,-3.411,12.09
103,2000,141,1340,-5.833,-3.382,12.09
103,2000,141,1350,-5.634,-3.283,12.08
103,2000,141,1400,-5.511,-3.157,12.08
103,2000,141,1410,-5.356,-2.941,12.08
103,2000,141,1420,-5.293,-2.775,12.11
103,2000,141,1430,-5.149,-2.917,12.15
103,2000,141,1440,-4.967,-2.732,12.15
103,2000,141,1450,3.367,-2.469,12.14
103,2000,141,1500,-1.47,-2.264,12.14

103,2000,141,1510,-1.12,-2.061,12.12
103,2000,141,1520,-4.406,-2.047,12.16
103,2000,141,1530,-4.395,-1.872,12.17
103,2000,141,1540,-4.465,-2.001,12.13
103,2000,141,1550,-4.571,-2.181,12.11
103,2000,141,1600,-4.671,-2.173,12.11
103,2000,141,1610,2.343,-2.1,12.09
103,2000,141,1620,-4.822,-2.096,12.11
103,2000,141,1630,-4.77,-2.06,12.12
103,2000,141,1640,-4.675,-2.104,12.12
103,2000,141,1650,-4.625,-2.038,12.13
103,2000,141,1700,-4.606,-1.93,12.13
103,2000,141,1710,-4.528,-1.922,12.13
103,2000,141,1720,-4.608,-1.773,12.14
103,2000,141,1730,-4.584,-1.795,12.14
103,2000,141,1740,-4.407,-1.707,12.15
103,2000,141,1750,-4.209,-1.353,12.18
103,2000,141,1800,-4.162,-1.216,12.22
