"JD" "VW1" "VW1_max" "TA1"
193.15 8.09 100.94 2.46
193.18 8.12 108.28 2.62
193.21 7.00 93.11 2.19
194 7.74 93.89 2.30
194.03 8.13 98.11 1.94
194.06 8.51 92.56 1.09
194.09 9.55 91.22 .51
194.12 9.12 91.94 1.61
194.15 7.47 94.56 1.89
194.18 5.64 92.50 1.73
194.21 4.42 97.39 1.84
195 3.70 87.56 .73
195.03 4.40 82.22 -.96
195.06 5.15 83.67 -2.23
195.09 5.48 85.56 -1.66
195.12 5.59 89.56 .14
195.15 4.64 92.61 1.00
195.18 4.18 87.22 .97
195.21 4.08 84.94 .53
196 4.68 84.06 -.56
196.03 5.47 85.61 -2.23
196.06 6.39 88.83 -2.59
196.09 5.95 90.56 -.94
196.12 5.11 107.89 .99
196.15 5.30 120.33 1.34
196.18 5.54 125.33 1.42
196.21 5.92 122.50 1.48
197 5.83 117.11 1.46
197.03 6.88 119.50 1.45
197.06 7.78 117.67 1.28
197.09 7.99 120.72 1.53
197.12 8.25 122.28 1.74
197.15 8.26 124.94 1.87
197.18 8.41 123.22 1.89
197.21 8.59 122.33 2.19
198 7.92 110.44 1.94
198.03 7.69 103.50 1.05
198.06 7.57 113.56 .63
198.09 8.55 116.89 .09
198.12 8.84 123.61 .93
198.15 8.41 120.00 1.83
198.18 7.69 118.00 2.43
198.21 7.77 115.44 2.57
199 8.12 105.50 2.38
199.03 9.18 108.00 2.01
199.06 9.93 113.83 1.20
199.09 10.67 119.61 1.01
199.12 10.14 119.61 1.79
199.15 9.33 117.83 2.21
199.18 9.24 119.94 2.59
199.21 10.38 123.44 2.74
200 10.90 120.33 2.71
200.03 11.59 118.72 2.46
200.06 12.07 121.94 1.68
200.09 12.09 121.83 1.69
200.12 12.45 120.22 2.49
200.15 11.50 124.11 2.34
200.18 10.38 122.89 2.21
200.21 8.59 129.72 2.07
201 7.93 128.56 1.74
201.03 7.29 120.78 1.61
201.06 6.16 113.06 1.77
201.09 6.16 108.44 1.61
201.12 7.58 113.72 1.83
201.15 8.20 114.33 1.97
201.18 7.80 117.33 1.99
201.21 6.55 102.22 1.75
202 5.79 84.44 .93
202.03 5.88 88.72 -.39
202.06 6.97 91.89 -1.22
202.09 7.34 118.06 -1.16
202.12 6.98 125.06 .28
202.15 6.40 126.39 1.06
202.18 5.94 126.17 1.32
202.21 4.62 111.94 .95
203 4.56 99.22 .31
203.03 5.30 96.28 -1.18
203.06 5.69 96.56 -1.83
203.09 5.99 91.22 -1.46
203.12 6.49 105.50 .16
203.15 5.40 120.06 .84
203.18 3.56 111.67 1.23
203.21 4.11 130.61 .92
204 3.58 96.39 -.62
204.03 4.74 86.33 -2.43
204.06 6.16 88.67 -2.99
204.09 6.57 89.83 -2.02
204.12 6.45 91.00 .57
204.15 5.74 89.39 1.42
204.18 4.80 92.61 1.54
204.21 5.24 87.06 1.34
205 6.55 86.89 .71
205.03 7.80 88.89 -.82
205.06 9.13 97.44 -1.37
205.09 11.53 101.56 -1.56
205.12 11.30 106.61 .11
205.15 11.80 107.00 1.78
205.18 13.25 114.28 2.21
205.21 13.32 118.28 2.21
206 13.10 120.78 1.97
206.03 13.18 123.28 .88
206.06 13.46 124.67 -.37
206.09 12.49 124.11 -.86
206.12 11.27 128.17 .33
206.15 10.02 131.56 1.34
206.18 8.99 134.83 1.69
206.21 7.28 132.50 1.53
207 7.68 125.06 1.09
207.03 7.88 120.00 -.09
207.06 7.89 116.61 -1.24
207.09 6.59 106.44 -1.85
207.12 5.96 111.61 -.39
207.15 5.16 129.56 .87
207.18 5.03 127.11 1.22
207.21 5.53 135.11 .90
208 5.89 132.72 .59
208.03 5.56 141.89 .21
208.06 6.85 145.06 -.22
208.09 7.52 150.17 -.19
208.12 7.96 151.00 -.08
208.15 9.59 153.94 .00
208.18 9.51 151.94 -.12
208.21 9.40 175.67 -.38
209 5.93 179.94 -1.11
209.03 5.63 181.39 -2.14
209.06 5.36 182.67 -2.59
209.09 4.53 179.72 -2.83
209.12 3.92 159.33 -2.27
209.15 2.78 127.56 -1.45
209.18 2.46 55.17 .24
209.21 3.48 62.67 .57
210 5.03 112.50 -.53
210.03 7.16 101.33 -2.55
210.06 8.63 121.61 -3.08
210.09 10.12 126.83 -1.35
210.12 10.49 121.94 -1.32
210.15 7.36 148.39 -.12
210.18 7.36 142.67 .61
210.21 9.62 136.22 1.08
211 8.79 147.83 -.61
211.03 9.49 138.61 -1.08
211.06 9.62 139.00 -2.32
211.09 11.02 139.39 -2.02
211.12 11.25 138.72 -.43
211.15 11.70 135.89 1.37
211.18 11.99 133.89 2.07
211.21 11.31 131.89 2.38
212 11.00 137.28 2.18
212.03 11.54 137.06 1.69
212.06 13.79 131.83 1.64
212.09 11.92 135.94 1.77
212.12 12.17 131.67 1.96
212.15 11.24 136.67 1.96
212.18 9.20 150.17 1.29
212.21 6.85 141.89 .99
213 6.53 139.94 .87
213.03 6.20 139.94 .66
213.06 5.73 142.67 .38
213.09 5.43 138.00 .38
213.12 6.37 136.56 .79
213.15 6.87 130.67 1.34
213.18 6.99 132.83 1.58
213.21 6.84 131.83 1.48
214 7.74 129.89 1.21
214.03 8.38 127.72 1.38
214.06 8.74 132.83 1.66
214.09 7.97 140.89 1.49
214.12 8.23 144.61 1.42
214.15 7.45 142.22 1.26
214.18 7.52 134.78 1.38
214.21 6.87 140.61 1.36
215 6.16 134.28 1.06
215.03 5.89 136.94 1.02
215.06 5.45 138.61 .88
215.09 5.74 132.61 .74
215.12 4.81 134.83 .73
215.15 2.06 127.94 .86
215.18 2.66 194.94 .27
215.21 3.30 205.00 -.51
216 3.26 162.89 -1.08
216.03 2.69 162.39 -1.56
216.06 2.69 162.89 -2.38
216.09 2.69 162.50 -3.24
216.12 2.71 162.56 -3.18
216.15 2.69 174.06 -3.36
216.18 3.01 166.56 -2.91
216.21 3.08 153.50 -3.20
217 3.33 132.67 -3.67
217.03 3.71 132.83 -4.01
217.06 5.22 110.33 -4.82
217.09 6.20 130.11 -4.07
217.12 6.96 111.67 -3.87
217.15 8.07 107.56 -3.28
217.18 7.82 99.00 -2.64
217.21 8.95 103.61 -2.86
218 9.31 99.89 -3.99
218.03 10.05 90.39 -5.68
218.06 10.91 90.78 -6.17
218.09 9.39 94.33 -4.41
