  Jul.Day  S1(up) S1(up) S(dw) net_rad lnet lout lin
  166.708   591.0   591.0   549.6   -9.3  -50.7 -274.3  223.6
  166.750   491.4   491.4   459.2   -5.6  -37.8 -272.9  235.0
  166.792   541.0   541.0   505.2   -5.1  -40.9 -273.3  232.5
  166.833   466.6   466.6   436.0   -3.9  -34.5 -273.7  239.2
  166.875   389.2   389.2   364.6   -6.8  -31.4 -273.2  241.7
  166.917   305.0   305.0   287.4  -10.2  -27.8 -273.5  245.8
  166.958   250.4   250.4   238.6   -5.3  -17.1 -273.2  256.1
  167.000   245.8   245.8   236.6   -7.5  -16.7 -272.1  255.4
  167.042   146.0   146.0   141.6   -3.4   -7.8 -274.6  266.8
  167.083    93.4    93.4    88.8     .1   -4.5 -274.2  269.8
  167.125    88.0    88.0    84.6    1.0   -2.4 -276.0  273.6
  167.167    80.4    80.4    78.6   -2.3   -4.1 -275.0  270.9
  167.208   113.2   113.2   107.2    3.3   -2.7 -274.5  271.8
  167.250   116.0   116.0   110.4    1.6   -4.0 -278.2  274.2
  167.292   120.0   120.0   113.0    1.7   -5.3 -279.0  273.8
  167.333   156.0   156.0   146.2    2.6   -7.2 -280.1  273.0
  167.375   184.8   184.8   173.0     .9  -10.9 -281.9  271.0
  167.417   246.4   246.4   230.0     .8  -15.6 -281.6  266.0
  167.458   390.6   390.6   359.4  -47.3  -78.5 -282.2  203.6
  167.500   502.4   502.4   454.0 -166.0 -214.4 -279.2   64.8
  167.542   559.6   559.6   504.8 -173.4 -228.2 -276.5   48.3
  167.583   607.2   607.2   548.2 -114.9 -173.9 -277.0  103.2
  167.625   640.8   640.8   579.4  -43.2 -104.6 -276.4  171.8
  167.667   658.0   658.0   592.8   -8.4  -73.6 -275.8  202.2
  167.708   657.0   657.0   592.8   -4.4  -68.6 -276.4  207.8
  167.750   638.8   638.8   577.4   -7.3  -68.7 -276.7  208.0
  167.792   605.8   605.8   549.8  -10.4  -66.4 -276.9  210.4
  167.833   557.4   557.4   508.2  -14.8  -64.0 -276.9  212.9
  167.875   498.6   498.6   457.0  -20.2  -61.8 -275.9  214.1
  167.917   434.0   434.0   400.6  -25.3  -58.7 -273.4  214.7
  167.958   368.0   368.0   342.4  -29.5  -55.1 -269.7  214.6
  168.000   304.8   304.8   286.0  -33.3  -52.1 -264.8  212.7
  168.042   110.4   110.4   237.8  -34.3   93.1 -261.2  354.4
  168.083   186.6   186.6   199.4  -44.3  -31.5 -257.6  226.0
  168.125    27.0    27.0   170.6 -173.9  -30.3 -254.0  223.8
  168.167    25.8    25.8   154.4  -33.6   95.0 -250.7  345.7
  168.208   150.2   150.2   154.8  -36.7  -32.1 -249.3  217.3
  168.250   180.6   180.6   165.0  -35.0  -50.6 -247.7  197.1
  168.292   216.6   216.6   197.0  -31.4  -51.0 -247.4  196.4
  168.333   249.4   249.4   226.8  -27.4  -50.0 -247.3  197.2
  168.375   313.0   313.0   288.2  -21.2  -46.0 -248.3  202.3
  168.417   376.8   376.8   350.4  -15.3  -41.7 -250.7  209.0
  168.458   368.2   368.2   338.8    1.1  -28.3 -255.2  226.8
  168.500   329.0   329.0   304.4   -7.9  -32.5 -261.8  229.3
  168.542   480.0   480.0   445.2  -11.6  -46.4 -269.5  223.1
  168.583   537.6   537.6   494.2  -36.0  -79.4 -273.4  194.0
  168.625   595.4   595.4   547.8  -10.8  -58.4 -276.3  217.9
  168.667   589.6   589.6   542.0    -.4  -48.0 -275.6  227.5
  168.708   617.2   617.2   564.6    5.9  -46.7 -275.1  228.4
  168.750   526.4   526.4   486.2    2.6  -37.6 -275.2  237.6
  168.792   477.8   477.8   445.4    1.9  -30.5 -275.3  244.8
  168.833   414.6   414.6   387.2     .0  -27.4 -275.1  247.7
  168.875   361.8   361.8   338.0     .9  -22.9 -275.5  252.6
  168.917   307.8   307.8   288.8     .3  -18.7 -275.9  257.1
  168.958   254.0   254.0   238.2     .3  -15.5 -275.9  260.4
  169.000   199.0   199.0   186.8   -1.1  -13.3 -275.0  261.7
  169.042   160.8   160.8   151.4   -3.2  -12.6 -274.3  261.7
  169.083   121.6   121.6   114.6   -3.3  -10.3 -273.6  263.3
  169.125   106.8   106.8   105.2   -9.0  -10.6 -272.4  261.9
  169.167   100.8   100.8    96.8   -4.2   -8.2 -271.8  263.6
  169.208   100.8   100.8    95.2   -2.0   -7.6 -271.6  264.0
  169.250   105.2   105.2    98.8   -1.1   -7.5 -271.6  264.1
  169.292   121.6   121.6   114.2   -1.2   -8.6 -272.1  263.5
  169.333   150.8   150.8   141.4    -.3   -9.7 -269.8  260.2
  169.375   202.8   202.8   190.0    1.1  -11.7 -264.0  252.4
  169.417   341.0   341.0   320.0  -18.2  -39.2 -260.5  221.3
  169.458   439.6   439.6   402.4  -20.7  -57.9 -257.3  199.4
  169.500   503.2   503.2   455.0  -19.4  -67.6 -258.1  190.4
  169.542   577.6   577.6   522.2  -18.0  -73.4 -261.2  187.8
  169.583   617.2   617.2   558.2  -17.9  -76.9 -264.1  187.3
  169.625   596.6   596.6   540.0  -18.6  -75.2 -267.3  192.1
  169.667   537.0   537.0   487.8   -8.4  -57.6 -268.6  211.0
