"JD","day","hour","s_in","s_out","temp","hum","wind1","wind2","w_dir1","w_dir2","press","press","sheight1","sheight2","t_max","wind_max"
180.333333333333,180,800,1.872,1.004,-12.8,81.7,6.239,6.468,134.8,216.3,438.6,438.6,1.558,14.11,-9.61,7.31
180.375,180,900,2.334,2.434,-11.16,79.5,6.345,6.57,141.6,208.8,437.5,437.5,1.553,14.09,-7.9,7.72
180.416666666667,180,1000,2.743,3.911,-9.82,77,5.86,6.064,141.1,209.7,436.1,436.1,1.549,14.04,-6.329,7.21
180.458333333333,180,1100,3.071,5.372,-8.11,74.5,5.56,5.75,143.1,207,434.9,434.9,1.543,13.45,-4.292,6.664
180.5,180,1200,3.297,7.5,-6.778,73.9,5.051,5.215,144.6,205.7,433.5,433.5,1.54,13.37,-2.581,6.546
180.541666666667,180,1300,3.4,7.98,-5.396,72.6,4.784,4.955,148.8,200.8,432.4,432.4,1.535,13.34,-0.968,6.422
180.583333333333,180,1400,3.397,8.75,-4.611,71.5,5.055,5.222,148.1,201.4,431.7,431.7,1.533,13.34,0.086,6.311
180.625,180,1500,3.282,8.28,-3.981,70.7,4.507,4.678,150.9,198.7,430.7,430.7,1.531,13.53,0.469,5.397
180.666666666667,180,1600,3.076,6.94,-3.607,71.3,3.995,4.155,146.5,205.3,430.3,430.3,1.53,13.68,0.53,4.998
180.708333333333,180,1700,2.741,4.91,-3.707,74.3,4.252,4.432,139,211.2,430.2,430.2,1.53,14.6,0.747,5.194
180.75,180,1800,2.335,2.36,-3.835,75.4,3.898,4.074,156.3,193.8,430.8,430.8,1.531,13.83,0.64,5.743
180.791666666667,180,1900,1.925,0.058,-4.387,78.5,3.427,3.6,164.7,185,431.4,431.4,1.532,13.68,0.061,4.057
180.833333333333,180,2000,1.464,-2.103,-5.337,83.9,2.832,3.003,170.3,179.2,432,432,1.535,14.34,-0.986,3.868
180.875,180,2100,1.025,-3.879,-6.749,87.6,2.577,2.763,161.2,189.4,432.4,432.4,1.539,13.84,-2.316,3.241
180.916666666667,180,2200,0.648,-5.58,-8.11,88.8,3.41,3.618,160.9,189.3,434,434,1.542,14.78,-3.432,4.044
180.958333333333,180,2300,0.358,-6.785,-9.68,89.1,3.862,4.075,160,189.7,435.7,435.7,1.547,13.91,-5.229,4.619
181,181,0,0.16,-6.732,-10.87,88.4,4.329,4.538,151.3,199,437.3,437.3,1.551,13.55,-6.57,5.37
181.041666666667,181,100,0.072,-6.447,-12.88,88.4,3.609,3.813,140.3,208.3,438.7,438.7,1.557,13.42,-8.6,4.711
181.083333333333,181,200,0.064,-5.586,-14.33,87.4,4.415,4.605,145.3,204.7,440.3,440.3,1.563,13.32,-10.17,6.285
181.125,181,300,0.113,-5.87,-14.21,87.6,5.074,5.289,158.3,192,441.4,441.4,1.562,13.29,-10.31,6.579
181.166666666667,181,400,0.258,-5.567,-14.37,88.8,4.874,5.084,155.1,195.2,441.8,441.8,1.562,13.4,-10.55,5.684
181.208333333333,181,500,0.535,-3.515,-13.61,86.5,4.455,4.649,150,201.2,442.1,442.1,1.561,15.09,-10.22,5.9
181.25,181,600,0.96,-1.094,-12.72,83.4,4.433,4.63,147.3,202.5,442.6,442.6,1.559,14.92,-9.47,5.704
181.291666666667,181,700,1.295,0.892,-11.59,82.2,4.408,4.576,149.9,200.3,442.7,442.7,1.555,15.17,-8.17,5.671
181.333333333333,181,800,1.465,1.56,-10.66,81.4,4.216,4.354,149.4,200.7,442.3,442.3,1.552,14.97,-7.16,5.279
181.375,181,900,2.233,3.605,-9.3,80.7,4.506,4.653,141.5,207.1,442,442,1.549,14.28,-6.068,5.691
181.416666666667,181,1000,2.818,4.743,-7.41,79.1,4.729,4.869,149,201.1,441.2,441.2,1.543,13.52,-4.069,5.841
181.458333333333,181,1100,2.97,5.544,-6.42,79.1,4.817,4.983,159.2,190.5,439.9,439.9,1.54,13.4,-2.49,6.2
181.5,181,1200,2.943,5.522,-4.974,80.1,4.265,4.409,170.5,179.9,439.8,439.8,1.536,13.35,-0.95,5.514
181.541666666667,181,1300,3.737,9.42,-3.629,78.3,4.036,4.14,183.4,166.7,439.3,439.3,1.532,13.38,0.211,5.109
181.583333333333,181,1400,2.88,6.13,-3.619,79.5,3.583,3.671,180.1,170,438.3,438.3,1.532,13.26,0.886,5.076
181.625,181,1500,3.019,7.48,-3.143,79.3,2.866,2.941,173.5,176.6,438.7,438.7,1.532,13.32,0.515,4.005
181.666666666667,181,1600,3,7.63,-3.029,78.9,3.528,3.669,164.2,185.3,438.2,438.2,1.531,13.31,1.016,4.58
181.708333333333,181,1700,2.36,6.244,-3.256,81.3,4.023,4.187,161.9,188.7,438.3,438.3,1.531,14.5,1.289,5.299
181.75,181,1800,1.758,4.569,-3.298,84.3,3.717,3.863,161.8,187.8,439.3,439.3,1.531,14.61,1.5,4.978
181.791666666667,181,1900,1.479,3.725,-3.195,82.3,2.979,3.101,165.2,184.3,440,440,1.531,13.98,1.467,3.717
181.833333333333,181,2000,1.5,3.261,-3.141,83,2.742,2.861,162.9,186.7,440,440,1.532,13.64,1.302,3.319
181.875,181,2100,1.059,-2.41,-3.708,85.3,2.285,2.437,162.2,189,439.4,439.4,1.534,13.66,0.735,3.064
181.916666666667,181,2200,0.6,-4.72,-5.09,89.6,1.99,2.214,139.2,210.1,440.1,440.1,1.539,13.91,-0.291,2.535
181.958333333333,181,2300,0.207,-5.631,-6.424,90.6,2.285,2.519,144.7,205.2,441.5,441.5,1.543,13.63,-1.304,2.653
182,182,0,0.068,-5.383,-8.12,92.5,2.333,2.551,136.6,213.8,443.3,443.3,1.548,13.42,-2.919,2.796
182.041666666667,182,100,0.058,-4.93,-8.75,90.8,3.05,3.248,147.2,202.7,444.4,444.4,1.55,13.33,-4.072,3.979
182.083333333333,182,200,0.054,-4.9,-9.88,88.8,3.11,3.32,138.6,210.5,444.6,444.6,1.554,13.28,-5.256,3.731
182.125,182,300,0.069,-4.675,-11.27,87.8,3.8,4,132.4,217.9,445.2,445.2,1.558,13.25,-6.76,4.704
182.166666666667,182,400,0.192,-2.604,-11.79,86.9,4.498,4.687,131.3,220.5,445.8,445.8,1.56,13.27,-7.55,5.201
182.208333333333,182,500,0.505,0.347,-10.55,85.4,4.47,4.636,134,215.8,445.8,445.8,1.557,14.07,-6.848,5.292
182.25,182,600,0.623,0.5,-10,85.4,4.422,4.588,135,215.3,445.1,445.1,1.555,14.07,-5.918,5.181
182.291666666667,182,700,1.069,1.349,-9.39,83.9,4.711,4.889,132.9,218.4,444.7,444.7,1.554,14.19,-5.558,5.88
182.333333333333,182,800,1.722,2.658,-8.79,80.9,5.012,5.197,133.7,216.9,444,444,1.553,14.2,-5.287,5.893
182.375,182,900,2.024,3.44,-7.75,80.7,4.211,4.358,138.4,211.4,443.5,443.5,1.551,14.01,-4.208,5.606
182.416666666667,182,1000,2.046,4.334,-6.515,80.8,3.439,3.553,144.2,205.5,442.6,442.6,1.547,13.58,-2.656,4.338
182.458333333333,182,1100,2.837,6.802,-4.94,77.3,4.025,4.161,147.5,202.1,441.7,441.7,1.542,13.42,-1.021,5.031
182.5,182,1200,3.095,9.01,-3.642,76,3.437,3.572,150.5,199.4,440.3,440.3,1.538,13.3,0.751,4.482
182.541666666667,182,1300,3.191,9.63,-2.738,75.3,2.726,2.827,152.1,198.4,439.3,439.3,1.535,13.26,1.837,3.613
182.583333333333,182,1400,3.163,10.68,-2.019,75.4,2.106,2.206,150.6,199.7,438.4,438.4,1.534,13.23,2.467,2.953
182.625,182,1500,3.044,10.66,-1.486,75.1,1.64,1.753,136.2,213.7,437.4,437.4,1.536,13.23,2.423,2.372
182.666666666667,182,1600,2.838,9.56,-2.094,77.2,2.289,2.445,126,224.7,436.9,436.9,1.535,13.22,2.268,2.783
182.708333333333,182,1700,2.561,7.42,-2.332,77.8,2.575,2.744,124.3,226.3,437.3,437.3,1.534,13.38,2.057,3.234
182.75,182,1800,2.208,4.79,-2.709,78.4,2.805,2.995,128.2,222.1,437.5,437.5,1.535,13.78,1.911,3.404
182.791666666667,182,1900,1.818,1.871,-3.231,82,2.541,2.73,124.2,225.1,437.9,437.9,1.537,14.25,1.258,3.012
182.833333333333,182,2000,1.397,-0.614,-3.846,83.5,2.886,3.09,134.4,216.3,438,438,1.538,13.77,0.713,3.652
182.875,182,2100,0.984,-2.738,-4.465,83.2,2.677,2.89,138,211.4,438.4,438.4,1.54,14.93,0.165,3.156
182.916666666667,182,2200,0.614,-4.568,-5.388,84.5,2.686,2.897,134.7,215.7,438.7,438.7,1.542,14.21,-0.682,3.208
182.958333333333,182,2300,0.324,-5.944,-6.364,85.2,2.973,3.191,132.7,217.5,439.6,439.6,1.545,13.71,-1.762,3.633
183,183,0,0.14,-5.967,-7.76,85.4,4.145,4.375,130.3,220.2,440.5,440.5,1.549,13.54,-3.111,5.37
183.041666666667,183,100,0.065,-5.93,-9.06,83.7,5.134,5.384,130.2,220.5,441.3,441.3,1.553,13.42,-4.376,6.115
183.083333333333,183,200,0.06,-5.321,-9.99,81.8,5.505,5.774,129.8,221,442,442,1.556,13.32,-5.47,6.422
183.125,183,300,0.094,-5.386,-10.86,80.9,5.831,6.111,132.5,216.8,442.4,442.4,1.559,13.3,-6.487,6.736
183.166666666667,183,400,0.225,-5.105,-11.31,80.3,5.891,6.169,132.4,217.4,442.5,442.5,1.56,13.34,-7.15,7
183.208333333333,183,500,0.477,-3.026,-11.45,80.6,6.134,6.407,131.6,218.5,442.5,442.5,1.562,14.03,-7.62,7.08
183.25,183,600,0.835,-0.799,-11.19,79.4,6.173,6.434,133.9,216.7,442.3,442.3,1.561,14.03,-7.52,7.32
183.291666666667,183,700,1.263,0.87,-10.39,77.5,6.085,6.355,133.5,216.5,442,442,1.559,14.4,-6.76,7.26
183.333333333333,183,800,1.715,2.692,-8.74,75.8,5.45,5.668,141.1,210.6,441.2,441.2,1.555,14.01,-5.296,6.311
183.375,183,900,2.157,4.834,-7.24,74.5,5.927,6.156,150.4,200.3,440.2,440.2,1.55,13.66,-3.589,7.32
183.416666666667,183,1000,2.557,6.728,-6.091,75,5.71,5.931,155.5,196.2,439.1,439.1,1.547,13.72,-2.148,6.827
183.458333333333,183,1100,2.864,8.2,-4.785,76.3,5.462,5.669,158.2,190.6,437.9,437.9,1.543,13.37,-0.497,6.644
183.5,183,1200,3.08,10.65,-3.479,75.6,4.764,4.941,169.8,180.3,437,437,1.539,13.31,1.024,6.083
183.541666666667,183,1300,3.191,11.2,-2.466,74.1,3.702,3.858,173.6,176.3,436.2,436.2,1.537,13.28,2.19,4.822
183.583333333333,183,1400,3.134,10.99,-2.187,75.6,3.387,3.555,170.6,179.3,435.6,435.6,1.537,13.25,2.633,4.593
183.625,183,1500,2.9,9.84,-1.971,76.5,2.889,3.073,162.2,186.9,434.9,434.9,1.538,13.23,2.662,3.384
183.666666666667,183,1600,2.838,9.82,-1.895,78.4,2.964,3.141,160.1,189.7,435.3,435.3,1.542,13.36,2.278,3.567
183.708333333333,183,1700,2.535,7.56,-2.198,80.9,3.283,3.47,164.5,185.8,435,435,1.542,14.17,2.322,3.829
183.75,183,1800,2.011,3.761,-2.495,83.4,2.944,3.13,166.8,184,435.5,435.5,1.542,13.57,2.206,3.489
183.791666666667,183,1900,1.849,2.166,-2.796,84.4,2.552,2.744,159.8,190.2,436.2,436.2,1.541,14.07,1.606,3.143
183.833333333333,183,2000,1.434,-0.334,-3.528,85.9,2.662,2.859,149.9,199.3,436.2,436.2,1.542,14.36,1.009,3.26
183.875,183,2100,0.917,-2.861,-4.428,87.6,2.653,2.875,150.3,200,436.3,436.3,1.544,14.7,0.35,3.221
183.916666666667,183,2200,0.531,-4.725,-5.563,88.1,2.498,2.765,144.6,204.5,437.8,437.8,1.548,13.89,-0.637,3.247
183.958333333333,183,2300,0.264,-5.946,-6.011,88.6,2.551,2.766,148.7,200.9,438.5,438.5,1.549,13.71,-1.32,3.391
184,184,0,0.127,-6.196,-6.704,89.5,3.047,3.276,148.1,202,439.5,439.5,1.551,13.53,-2.09,4.234
184.041666666667,184,100,0.062,-6.027,-7.74,90.6,3.481,3.714,142.8,208.2,440.1,440.1,1.553,13.42,-2.919,4.175
184.083333333333,184,200,0.06,-5.656,-8.39,91.2,3.689,3.911,142.5,208.3,440.7,440.7,1.556,13.33,-3.88,4.325
184.125,184,300,0.09,-6.12,-9.36,91.2,4.072,4.275,144.2,206.7,441.1,441.1,1.558,13.3,-4.841,4.711
184.166666666667,184,400,0.219,-5.974,-9.99,90.8,4.004,4.216,142.8,207.2,441.1,441.1,1.561,13.34,-5.615,5.005
184.208333333333,184,500,0.468,-3.877,-9.3,87.3,4.129,4.324,147.1,203.4,441.3,441.3,1.56,13.84,-5.46,5.331
184.25,184,600,0.83,-1.61,-9.19,86.4,3.98,4.185,140.8,209.2,441,441,1.56,15.05,-5.478,4.665
184.291666666667,184,700,1.235,0.026,-8.52,85.6,4.198,4.382,142.8,208.8,440.8,440.8,1.559,14.67,-4.81,4.991
184.333333333333,184,800,1.666,1.783,-7.41,85.1,4.686,4.873,143.1,207.5,440.1,440.1,1.555,14.17,-3.741,5.416
184.375,184,900,2.107,3.99,-6.003,84,4.117,4.267,143.9,207.1,438.8,438.8,1.551,13.91,-2.4,5.089
184.416666666667,184,1000,2.511,6.079,-4.755,82.7,4.184,4.32,149.5,201.9,437.4,437.4,1.548,13.44,-0.83,5.442
184.458333333333,184,1100,2.824,7.98,-3.918,82.9,4.476,4.639,151.9,199,436.3,436.3,1.545,13.32,0.481,5.86
184.5,184,1200,3.007,10.25,-3.03,82.7,4.091,4.254,157.1,193.3,435.3,435.3,1.542,13.28,1.606,4.933
184.541666666667,184,1300,3.072,11.34,-2.378,82.3,3.321,3.468,163.4,187.1,434.7,434.7,1.541,13.33,2.43,4.345
184.583333333333,184,1400,3.095,12.29,-2.115,82.7,3.19,3.355,164.3,185.9,433.7,433.7,1.543,13.25,2.781,4.123
184.625,184,1500,2.947,11.15,-1.99,82.9,2.91,3.069,162.6,186.8,433.1,433.1,1.546,13.23,2.538,3.685
184.666666666667,184,1600,2.904,10.74,-1.814,82.3,2.763,2.924,157.3,192,432.8,432.8,1.547,13.31,2.249,3.495
184.708333333333,184,1700,2.613,8.16,-1.845,82.5,2.562,2.74,156.6,192.6,432.4,432.4,1.55,13.38,2.262,2.999
184.75,184,1800,2.001,4.012,-2.489,85.1,2.799,2.992,155.2,194.3,432.7,432.7,1.553,13.49,2.247,3.698
184.791666666667,184,1900,1.637,2.352,-2.78,85.8,2.552,2.741,156,194.2,433.4,433.4,1.555,14.35,1.876,3.051
184.833333333333,184,2000,1.082,-0.585,-3.687,88.5,2.99,3.199,157.8,191,433.5,433.5,1.557,13.6,1.33,3.652
184.875,184,2100,0.687,-2.797,-4.527,90.4,2.815,3.014,159.1,190.6,434.1,434.1,1.56,14.24,0.442,3.757
184.916666666667,184,2200,0.446,-3.459,-5.018,92,3.073,3.275,159.4,190.8,435.1,435.1,1.561,14.24,0.024,3.992
184.958333333333,184,2300,0.196,-4.511,-5.247,92.5,3.921,4.14,158.5,191,435.6,435.6,1.562,13.75,-0.125,4.946
185,185,0,0.078,-4.687,-5.886,94.2,3.433,3.636,156.3,193.5,435.9,435.9,1.563,13.53,-0.787,4.07
185.041666666667,185,100,0.054,-4.553,-5.867,93.6,3.693,3.91,154.6,196.1,436.4,436.4,1.563,13.38,-0.984,4.789
185.083333333333,185,200,0.047,-4.241,-6.033,93.6,4.012,4.205,155.8,194.9,436.3,436.3,1.564,13.31,-1.117,5.174
185.125,185,300,0.059,-4.2,-6.333,93.4,4.459,4.675,157.1,193.2,436.3,436.3,1.565,13.27,-1.415,5.619
185.166666666667,185,400,0.099,-5.053,-6.859,93.4,4.405,4.625,154.8,195.3,436.4,436.4,1.567,13.27,-1.97,5.442
185.208333333333,185,500,0.4,-3.336,-6.496,90.7,4.315,4.535,150,200.8,436.5,436.6,1.567,13.37,-2.31,5.233
185.25,185,600,0.718,-1.243,-5.849,88.2,4.769,4.975,152.1,198.5,436,436,1.565,13.9,-1.756,5.782
185.291666666667,185,700,1.103,0.731,-5.286,86.4,4.94,5.147,153,196.5,435.5,435.5,1.564,14.32,-1.091,6.122
185.333333333333,185,800,1.347,1.623,-4.803,85.9,5.325,5.541,159.2,190.8,434.7,434.7,1.563,14.92,-0.467,6.377
185.375,185,900,1.761,3.896,-3.823,85,4.757,4.946,157,193.7,434.2,434.2,1.56,14.05,0.378,5.514
185.416666666667,185,1000,2.409,7.66,-2.745,83.6,4.438,4.616,161.5,190.1,433,433,1.558,13.44,1.341,5.762
185.458333333333,185,1100,2.703,9.63,-2.265,83.3,3.826,3.993,160.5,189.1,432.2,432.2,1.557,13.36,2.071,4.939
185.5,185,1200,2.879,10.56,-1.81,82.3,2.945,3.101,164,186.5,431.6,431.6,1.559,13.29,2.585,3.874
185.541666666667,185,1300,2.947,9.98,-1.597,82.8,2.642,2.815,158.4,190,430.8,430.8,1.565,13.26,2.704,3.11
185.583333333333,185,1400,2.924,10.03,-1.479,82.6,2.487,2.654,154.2,196.2,430.3,430.3,1.581,13.24,2.632,3.103
185.625,185,1500,3.069,11.74,-1.439,82.7,2.754,2.922,152.7,197.5,429.9,429.9,1.588,13.25,2.714,3.358
185.666666666667,185,1600,2.549,8.98,-1.79,84.9,2.607,2.786,146.1,203.2,429.6,429.6,1.589,13.33,2.766,3.391
185.708333333333,185,1700,1.995,5.87,-2.024,85.8,2.58,2.757,137.2,212.4,430,430,1.593,13.34,2.592,3.182
185.75,185,1800,1.819,4.029,-2.223,86,2.657,2.855,137.6,211.8,430.5,430.5,1.597,13.48,2.484,3.548
185.791666666667,185,1900,1.864,2.965,-2.11,84.2,2.527,2.704,142.5,207.1,430.8,430.8,1.6,14.66,2.236,3.293
185.833333333333,185,2000,1.056,-0.377,-2.848,87.5,2.501,2.682,146.6,203.6,430.5,430.5,1.603,13.59,2.123,3.463
185.875,185,2100,0.549,0.746,-3.168,90,3.045,3.221,149.5,201.2,431.7,431.7,1.604,13.69,2.255,3.998
185.916666666667,185,2200,0.336,0.306,-3.221,91.1,2.698,2.872,144.6,205.8,432.2,432.2,1.605,14.57,2.013,3.365
185.958333333333,185,2300,0.197,-0.788,-3.578,91.6,2.753,2.902,145.7,204,432.6,432.6,1.607,13.82,1.701,3.613
186,186,0,0.118,-0.897,-3.807,92.6,3.128,3.299,147.5,203.5,432.7,432.7,1.61,13.56,1.429,4.286
