,site,year,filename,profile_lower_y,profile_upper_y,bottom_of_sonic_1,ground_under_sonic1,bottom_of_sonic_2,ground_under_sonic2,Wz1,ground_under_wind_1,Wz2,ground_under_wind_2,THz1,ground_under_TH_1,THz2,ground_under_TH_2,bottom_of_wind_sensor,top_of_wind_sensor_body,image_scale,SH1,SH2,month,day
0,SUM,2009,SUM 2009 05 19 16 36 08 via D Houtz.JPG,3163,2354,2556,3755,2109,3837,0.857132075,3889,1.654160377,3957,0.742150943,3713,1.409389937,3724,3229,2911,1148.01444,1.04441195,1.505207547,5,19
0,CP1,2014,CP1 2014 04 30 16 24 52 via D Houtz.JPG,2843,1979,2608,4163,1052,4331,2.217231111,4341,3.375706667,4326,1.838048889,4161,2.821706667,4178,2755,2530,812.2743682,1.914377778,4.036813333,4,30
0,NAU,2005,NAU 2005 05 25 12 31 02 via D Houtz.JPG,2641,1854,2046,2926,1396,2964,0.834901408,2840,2.180887324,2835,0.850507042,2957,2.465690141,2943,2556,2414,512.6353791,1.716619718,3.058704225,5,25
0,SWC,1995,SWC 1995 J Box-2.jpg,3240,1985,2241,3442,1432,3528,0.57490566,3414,1.999103774,3418,0.551386792,3526,2.073580189,3514,3170,2958,765.3429603,1.569231132,2.738641509,J ,ox
0,DY2,2007,DY2 2007 04 25d.jpg,1074,740,771,1901,586,1859,2.190587156,1859,2.909770642,1847,2.292238532,1860,3.19693578,1861,1104,995,393.5018051,2.871651376,3.235055046,4,25
0,NAU,2006,NAU 2006 04 26 08 00 34 via D Houtz.JPG,1944,1469,1634,2845,1162,2874,2.640560748,2869,3.85728972,2879,2.692336449,2878,4.025560748,2885,1501,1394,386.2815884,3.135018692,4.432,4,26
0,GIT,2019,GIT 2019 05 19 17 16 25 via D Houtz.JPG,3328,2469,3461,3727,1917,3508,0.649257919,3673,1.734696833,3699,0.907457014,3737,2.015457014,3774,3385,3164,797.833935,0.333402715,1.994149321,5,19
0,SUM,2013,SUM 2013 05 29 16 58 06 via D Houtz.JPG,2126,1602,1716,3072,1348,3035,1.565839378,3039,2.276279793,3002,1.551487047,3030,2.366699482,3049,2146,1953,696.7509025,1.946176166,2.421238342,5,29
0,DY2,1996,DY2 1996 05 28a J Box.jpg,1520,1104,2031,2031,1226,2026,1.251868217,2024,2.218147287,2018,1.305550388,2027,2.220294574,2030,1106,977,465.7039711,0,1.717829457,5,28
0,SWC,1995,SWC 1995 .jpg,2188,1739,1921,3034,1774,2960,1.268100917,2914,1.804311927,2922,1.336715596,3008,1.8005,2962,1724,1506,787.0036101,1.414224771,1.506981651,.j,g
0,NSE,2005,NSE 2005 05 26 05 29 53 via D Houtz.JPG,2119,1744,1832,2946,1522,2923,2.756010101,3007,3.782868687,3011,2.568545455,2971,3.60659596,2981,2119,2020,357.400722,3.116949495,3.919969697,5,26
0,NGP,2005,NGP 2005 05 26e pre J Box.JPG,2135,1630,1426,2223,1149,2292,0.528165803,2392,1.377823834,2408,0.262647668,2240,1.023321244,2210,2207,2014,696.7509025,1.143880829,1.640471503,5,26
0,PET,2004,PET 2004 05 08 08 19 21 via D Houtz.JPG,1563,1022,1711,2401,1750,2428,1.685791411,2394,2.486202454,2349,1.634809816,2388,2.608558282,2387,1561,1398,588.4476534,1.172576687,1.152184049,5,8
0,JAR,2004,JAR 2004 05 23 08 03 48 via D Houtz.JPG,1179,2130,827,2113,2118,2118,-0.290979037,2155,-0.27291382,2153,-0.355282609,2147,-0.21076087,2137,816,2104,-4649.819495,-0.276569876,0,5,23
0,PET,2011,PET 2011 06 01 16 28 20 via D Houtz.JPG,2548,1882,2622,2694,2863,2932,0.559682051,2657,1.420512821,2656,0.568205128,2913,1.663420513,2890,1839,1644,703.9711191,0.102276923,0.098015385,6,1
0,SW1,2006,SW1 2006 05 09 12 51 29 via D Houtz.JPG,2108,270,2937,2937,2937,2937,2.76355814,2895,8.403406977,2865,3.117860465,2965,9.025046512,2952,2118,2032,310.4693141,0,0,5,9
0,GIT,1999,GIT 1999 04 29 pre Nicolas Cullen.jpg,1274,979,1316,1316,897,1366,0.244832258,1375,0.807767742,1343,0,1311,0,1311,1045,890,559.566787,0,0.838148387,4,29
0,JAR,2005,JAR 2005 05 12 16 21 58 via D Houtz.JPG,1185,872,986,1170,901,1161,0.295466667,1182,1.036771429,1166,0.33767619,1199,1.105361905,1184,882,777,379.0613718,0.485409524,0.685904762,5,12
0,JAR,2003,JAR 2003 04a J Box.jpg.jpg,425,303,353,613,303,631,1.517729167,639,2.221770833,634,1.4715625,643,2.054416667,630,419,371,173.2851986,1.500416667,1.892833333,4, J
0,JAR,2016,JAR 2016 05 08 00 06 54 via D Houtz.JPG,3784,2558,4008,4275,2603,4130,0.488220044,4107,1.18343573,4083,0.357263617,4045,1.146019608,4067,3741,3282,1657.039711,0.161130719,0.921522876,5,8
0,JAR,2011,JAR 2011 05 06 09 05 53 via D Houtz.JPG,1997,1997,1997,1997,1997,1997,,1997,,1997,,1997,,1997,1997,1997,0,,,5,6
0,EGP,2016,EGP 2016 05 24 19 55 06 via D Houtz.JPG,2995,1911,2861,3651,1539,3618,0.762739286,3636,2.136857143,3695,0.596539286,3367,1.476014286,3334,3128,2848,1010.830325,0.781535714,2.056725,5,24
0,TUN,1996,TUN 1996 J Box-2.jpg,2290,1332,1603,3284,1389,3313,1.49415678,3317,2.558728814,3292,1.469508475,3335,2.604504237,3314,2284,2048,851.9855596,1.973038136,2.258254237,J ,ox
0,JR2,2003,JR2 2003 04 27b K Steffen.jpg,625,248,1527,1527,294,1560,2.650061856,1502,4.020783505,1554,2.964185567,1539,3.775195876,1526,235,138,350.1805054,0,3.615278351,4,27
0,DY2,2016,DY2 2016 05 19 22 01 37 via D Houtz.JPG,2758,2166,2421,3496,2125,3499,1.261630252,3602,2.037928571,3600,1.061445378,3496,1.639886555,3469,2745,2507,859.2057762,1.251155462,1.599151261,5,19
0,CP1,2006,CP1 2006 05 08 08 38 37 via D Houtz.JPG,1431,1022,1219,2206,495,2166,2.48998913,2188,3.284858696,2070,2.637521739,2191,3.938217391,2198,1451,1359,332.1299639,2.971728261,5.031163043,5,8
0,CP1,2002,CP1 2002 b J Box.JPG,568,435,523,727,263,756,1.929107143,729,3.1855,726,1.988464286,744,3.234964286,734,562,534,101.0830325,2.018142857,4.877178571,b , B
0,NAU,2003,NAU 2003 06 01 11 20 23 via D Houtz.JPG,1685,1639,1745,2029,1231,2052,1.239210526,1970,0,2063,1.290236842,2041,0,2058,1564,1450,411.5523466,0.690070175,1.994885965,6,1
0,CP1,2002,CP1 2002 05 24a J Box.jpg,428,300,373,609,156,614,1.98228125,624,3.03834375,592,1.56678125,600,2.77,607,427,395,115.5234657,2.042875,3.9645625,5,24
0,CP1,2010,CP1 2010 05 09 19 41 56 via D Houtz.JPG,2964,2101,2595,3582,1073,3820,1.370694836,3834,2.524211268,3809,1.085892019,3568,2.157478873,3579,2992,2779,768.9530686,1.28356338,3.572389671,5,9
0,NAE,2011,NAE 2011 06 02 11 13 23 via D Houtz.JPG,2170,1632,2283,2905,1625,2892,1.86975,2875,3.135726563,2901,1.785351563,2879,2.64015625,2819,2139,2011,462.0938628,1.346046875,2.741867188,6,2
0,JR3,2002,JR3 2002 JBox.JPG,288,202,461,461,230,446,2.162730769,459,3.174846154,459,1.896384615,448,2.706076923,440,186,160,93.86281588,0,2.301230769,JB,x.
0,NEM,2011,NEM 2011 06 02 04 12 49 via D Houtz.JPG,2155,1544,2160,2160,1804,2349,0.179235294,2025,0.879882353,1959,0,2184,1.03875,2285,1510,1306,736.4620939,0,0.74002451,6,2
0,NAE,2008,NAE 2008 05 02 13 07 06 via D Houtz.JPG,1754,1310,2687,2687,1303,2633,3.06619802,2729,4.316811881,2729,0,2680,3.699732673,2595,1255,1154,364.6209386,0,3.647623762,5,2
0,JAR,2005,JAR 2005 08 10 15 19 18 via J Box.jpg,1019,862,943,1204,925,1298,1.8836,1275,2.759927273,1296,1.505872727,1303,2.357018182,1322,806,751,198.5559567,1.314490909,1.878563636,8,10
0,TUN,2008,TUN 2008 05 01 21 12 28 via D Houtz.JPG,1572,1268,1511,2815,1424,2719,3.184316239,2770,4.005846154,2772,2.77,2698,3.449478632,2692,1532,1415,422.3826715,3.087247863,3.065940171,5,1
0,CP2,1998,CP2 1998 J Box.jpg,2001,792,937,2003,981,2039,0,2002,0,2002,1.879539267,1942,1.875188482,1930,807,616,689.5306859,1.545979058,1.534376963,J ,ox
0,SWC,2009,SWC 2009 04 24 05 46 22 via D Houtz.JPG,2996,2291,2368,3865,2308,3729,1.277774194,4028,2.127762097,4042,1.028697581,3666,1.844060484,3699,3121,2873,895.3068592,1.672052419,1.587165323,4,24
0,SDL,2008,SDL 2008 05 03 17 15 00 via D Houtz.JPG,2205,1637,1753,2724,1702,2795,1.413655172,2852,2.705048276,2869,1.302855172,2740,2.336351724,2727,2249,2104,523.465704,1.854944828,2.088006897,5,3
0,JAR,2020,JAR 2020 08 07a J Box.jpg,2979,795,2972,2971,965,2883,0,2923,2.376639405,2918,2.431215613,2972,0,2972,863,594,971.1191336,-0.00102974,1.975040892,8,7
0,SDM,2009,SDM 2009 05 15 15 46 14 via D Houtz.JPG,3706,2956,3724,3724,3008,3690,0.12458952,3814,1.180576419,3812,0.279419214,3650,1.121305677,3641,3066,2837,826.7148014,0,0.824951965,5,15
0,DY2,2011,DY2 2011 05 29 15 13 18 via D Houtz.JPG,1914,1550,1749,2940,1551,2993,2.502551724,3035,3.255227586,3031,2.175882759,2953,2.871248276,2978,1861,1716,523.465704,2.27522069,2.754717241,5,29
0,SDM,1997,SDM 1997 J Box c.jpg,1966,1669,2043,2589,1711,2597,2.286788889,2600,3.259366667,2612,2.129822222,2596,3.053155556,2610,1946,1856,324.9097473,1.680466667,2.726911111,J ,ox
