"JD" "wind mean" "wind max" "t air"
280.03 3.364 4.432 -16.047
280.06 4.11 4.372 -19.374
280.09 2.749 4.221 -14.374
280.12 0.623 1.86 -13.003
280.15 1.064 2.11 -12.175
280.18 3.841 6.148 -14.758
280.21 8.24 11.74 -19.176
281 12.36 15.55 -21.624
281.03 14.85 15.56 -19.326
281.06 15.46 16.99 -16.536
281.09 17.32 19.27 -12.656
281.12 19.15 20.28 -6.448
281.15 16.94 19.74 -1.465
281.18 8.91 14.28 -1.566
281.21 9.83 11.64 -2.858
282 11.87 13.02 -4.766
282.03 12.8 13.83 -6.555
282.06 12.72 13.44 -5.095
282.09 12.61 13.21 -4.931
282.12 10.84 12.16 -4.711
282.15 8.5 9.8 -4.849
282.18 7.21 8.54 -6.737
282.21 7.05 7.71 -6.191
283 6.399 7.41 -6.813
283.03 6.458 7.37 -7.522
283.06 6.983 7.63 -7.396
283.09 6.513 7.42 -9.335
283.12 7.21 8 -8.768
283.15 5.797 7.5 -7.596
283.18 5.08 5.426 -7.546
283.21 6.117 6.657 -10.073
284 6.921 7.35 -10.163
284.03 6.724 7.14 -9.913
284.06 6.056 6.9 -9.913
284.09 5.322 6.478 -13.445
284.12 6.151 7.28 -13.984
284.15 7.69 8.34 -12.194
284.18 8.34 8.93 -14.374
284.21 7.55 8.73 -15.845
285 7.3 8.21 -14.529
285.03 8.42 8.68 -14.2
285.06 7.37 8.3 -14.472
285.09 7.32 8.34 -13.767
285.12 8.64 9.25 -14.431
285.15 9.25 9.85 -13.843
285.18 9.17 9.59 -13.307
285.21 9.35 10.09 -14.2
286 9.57 11.01 -14.431
286.03 11.02 11.99 -14.217
286.06 10.68 11.55 -12.592
286.09 10.14 11.03 -14.043
286.12 9.75 10.63 -14.968
286.15 9.01 9.92 -14.894
286.18 8.52 9.76 -15.752
286.21 7.25 8.21 -16.605
287 7.64 8.65 -19.552
287.03 9.42 10.22 -21.384
287.06 10.93 12.11 -23.566
287.09 11.81 12.18 -24.671
287.12 11.94 12.47 -24.939
287.15 11.93 12.59 -25.349
287.18 10.64 11.35 -23.948
287.21 11 11.41 -25.791
288 11.03 11.73 -26.32
288.03 10.2 10.62 -25.605
288.06 8.78 9.31 -23.134
288.09 6.738 7.8 -19.901
288.12 3.223 5.22 -19.725
288.15 1.76 2.519 -20.933
288.18 1.688 2.625 -24.981
288.21 3.734 5.264 -27.17
289 5.088 5.842 -25.524
289.03 6.002 7.87 -24.779
289.06 8.88 9.8 -26.91
289.09 11 13.32 -26.804
289.12 15.07 15.88 -24.952
289.15 14.56 15.73 -21.015
289.18 15.83 16.87 -17.022
289.21 14.93 16.15 -13.831
290 14.08 15.26 -10.683
290.03 13.93 14.62 -8.503
290.06 13.61 14.69 -5.521
290.09 13.57 14.66 -3.805
290.12 14.13 14.85 -2.822
290.15 10.93 14.54 -2.998
290.18 10.8 12.36 -3.293
290.21 11.29 12.59 -4.038
291 10.5 12.56 -5.121
291.03 11.68 13.48 -5.039
291.06 12.66 14.29 -5.229
291.09 13.23 14.2 -4.737
291.12 11.16 11.67 -5.714
291.15 11.22 12.15 -6.059
291.18 10.74 11.47 -6.426
291.21 12.42 14.36 -6.164
292 14.25 15.65 -4.711
292.03 16.67 18.06 -4.766
292.06 16.55 18.62 -3.899
292.09 17.71 19.44 -3.956
292.12 17.12 19.9 -4.49
292.15 13.9 18.19 -5.205
292.18 9.84 12.47 -6.942
292.21 6.348 7.65 -5.821
293 5.387 7.76 -6.086
293.03 6.557 8.48 -4.904
293.06 8.37 10.15 -4.684
293.09 9.2 10.55 -4.267
293.12 7.18 9.71 -6.788
293.15 5.087 6.451 -8.14
293.18 4.621 5.319 -8.958
293.21 3.915 4.497 -10.457
294 5.343 6.408 -10.118
294.03 4.283 5.022 -6.736
294.06 4.912 5.384 -5.847
294.09 6.06 6.829 -5.581
294.12 5.941 6.814 -4.406
294.15 5.559 6.644 -3.843
294.18 4.151 5.88 -3.928
294.21 5.015 5.858 -5.475
295 4.059 5.252 -5.205
295.03 2.513 4.383 -5.041
295.06 2.894 4.62 -9.1
295.09 4.556 5.219 -9.358
295.12 4.835 5.337 -9.218
295.15 4.622 5.743 -5.231
295.18 3.105 5.44 -5.821
295.21 2.688 5.155 -8.407
296 2.346 3.084 -9.867
296.03 2.623 4.412 -9.568
296.06 7.67 8.83 -10.658
296.09 8.81 9.58 -11.055
296.12 5.56 7.28 -11.469
296.15 4.557 5.501 -11.642
296.18 2.716 3.331 -11.812
296.21 2.833 4.055 -12.857
297 2.85 3.876 -13.163
297.03 3.31 3.655 -14.043
297.06 2.408 3.324 -13.204
297.09 1.121 2.406 -19.447
297.12 1.331 1.801 -17.324
297.15 1.197 1.352 -15.343
297.18 0.769 1.123 -16.079
297.21 1.333 1.613 -16.621
298 1.382 1.597 -16.263
298.03 1.756 1.889 -16.923
298.06 2.002 2.254 -17.858
298.09 2.367 2.845 -19.029
298.12 2.686 3.049 -18.848
298.15 2.868 3.491 -21.861
298.18 4.339 5.079 -21.198
298.21 5.618 6.381 -21.759
299 6.057 7.09 -24.551
299.03 7.52 8.07 -29.074
299.06 7.48 8.08 -29.603
299.09 7.88 8.22 -28.261
299.12 8.09 10.49 -29.77
299.15 9.63 10.4 -28.84
299.18 7.81 9.78 -30.112
299.21 6.233 7.02 -29.603
300 7.4 8.41 -29.213
300.03 7.09 7.44 -29.191
300.06 7.33 7.77 -27.299
300.09 5.701 6.773 -23.147
300.12 3.909 5.286 -21.852
300.15 3.229 6.035 -23.16
300.18 7.62 9.09 -24.158
300.21 5.196 7.31 -26.117
301 3.868 5.178 -28.756
301.03 3.992 6.199 -23.177
301.06 5.665 6.347 -20.781
301.09 6.106 8.22 -18.142
301.12 9.38 10.83 -17.889
301.15 8.33 10.36 -18.172
301.18 6.852 7.52 -17.955
301.21 7.21 7.88 -18.292
302 7.91 9.16 -18.69
302.03 4.204 6.061 -19.958
302.06 2.284 3.599 -20.836
302.09 1.245 2.952 -20.085
302.12 2.823 3.928 -20.493
302.15 4.461 5.993 -24.812
302.18 6.718 8.31 -26.404
302.21 7.09 9.13 -18.392
303 9.31 10.18 -14.764
303.03 8.78 9.43 -12.843
303.06 8.8 9.39 -11.645
303.09 7.96 8.51 -10.369
303.12 6.842 8.75 -9.288
303.15 5.012 7.2 -7.942
303.18 7.74 10.27 -8.114
303.21 7.65 10.08 -7.345
304 11.38 13 -6.056
304.03 10.51 12.25 -5.443
304.06 8.38 9.99 -5.579
304.09 7.5 9.77 -5.525
304.12 9.61 12.28 -5.659
304.15 12.45 15.64 -6.914
304.18 12.53 14.64 -10.968
304.21 11.27 13.39 -12.278
305 6.106 10.28 -18.111
305.03 3.592 4.17 -13.387
305.06 6.33 8.62 -13.666
305.09 9.03 10.47 -14.374
305.12 9.14 10.22 -14.781
305.15 6.442 7.68 -15.046
305.18 6.011 8.03 -15.9
305.21 5.702 6.759 -18.096
306 5.356 6.931 -23.99
306.03 6.264 7.13 -20.414
306.06 7.17 8.16 -20.54
306.09 7.05 7.82 -23.626
306.12 6.34 7.07 -22.305
306.15 6.208 7.03 -23.357
306.18 5.776 6.938 -19.62
306.21 5.549 6.886 -20.038
307 8.96 10.12 -22.978
307.03 11.44 13.09 -27.915
307.06 11.86 13.07 -26.244
307.09 13.62 14.98 -27.996
307.12 13.79 14.97 -25.079
307.15 12.1 13.8 -24.02
307.18 10.51 11.58 -23.103
307.21 11.03 11.86 -19.107
308 9.91 10.77 -13.454
308.03 10.68 11.78 -10.211
308.06 9.2 10.39 -9.8
308.09 7.15 7.66 -9.405
308.12 8.59 11.01 -8.791
308.15 9.33 10.01 -7.942
308.18 9.91 11.36 -6.81
308.21 11.52 13.07 -4.595
309 10.35 12.4 -5.009
309.03 8.52 9.6 -6.057
309.06 6.927 7.76 -6.267
309.09 4.797 6.064 -8.31
309.12 5.103 5.991 -8.839
309.15 3.109 3.72 -9.982
309.18 2.661 3.507 -9.982
309.21 2.079 2.871 -10.525
310 3.672 4.871 -11.318
310.03 1.972 3.75 -14.832
310.06 1.248 2.3 -16.674
310.09 3.293 3.896 -15.714
310.12 3.818 4.282 -15.9
310.15 3.189 3.795 -15.271
