year,title,authors,journal,URL/DOI,GC-Net parameters used,publication without GC-Net core scientists
2012,The Remote Sensing and Measurement of Melting Processes on Greenland and Antarctica,"Steiner, Nicholas",PhD thesis,,,
2013,Greenland Ice Sheet Mass Balance Reconstruction. Part II: Surface Mass Balance (1840–2010),"Box, J.E.",Journal of Climate,https://doi.org/10.1175/JCLI-D-12-00518.1,air temperature,
2013,Re-evaluation of MODIS MCD43 Greenland albedo accuracy and trends,"Stroeve, Julienne ; Box, Jason E. ; Wang, Zhuosen ; Schaaf, Crystal ; Barrett, Andrew",Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2013.07.023,albedo,
2013,"Recent warming at Summit, Greenland: Global context","Daniel McGrath,1 William Colgan,1,2 Nicolas Bayou,1 Atsuhiro Muto,3 and Konrad Steffen",GRL,https://doi.org/10.1002/grl.50456,air temperature,
2015,"Reconstructing thermal properties of firn at Summit, Greenland, from a temperature profile time series","Giese, A. L. and Hawley, R. L.:",J. Glac.,https://doi.org/10.3189/2015JoG14J204,,1
2017,Evaluation of Greenland near surface air temperature datasets,J. E. Jack Reeves Eyre and Xubin Zeng,Cryosphere,https://doi.org/10.5194/tc-11-1591-2017,,1
2017,"Greenland, Canadian and Icelandic land-ice albedo grids (2000–2016)","Box, J.E., Van As, D. and Steffen, K.",GEUS Bulletin,https://doi.org/10.34194/geusb.v38.4414,albedo,
2018,"Spatial Distribution of Melt Season Cloud Radiative Effects Over Greenland: Evaluating Satellite Observations, Reanalyses, and Model Simulations Against In Situ Measurements","Wenshan Wang, Charles S. Zender, Dirk van As, Nathaniel B. Miller",Journal of Geophysical Research: Atmospheres,https://doi.org/10.1029/2018JD028919,radiation,
2018,"Intercomparison of Surface Temperatures from AIRS, MERRA, and MERRA-2, with NOAA and GC-Net Weather Stations at Summit, Greenland",,J. Appl. Met,https://doi.org/10.1175/JAMC-D-17-0216.1,,1
2018,Drivers of Firn Density on the Greenland Ice Sheet Revealed by Weather Station Observations and Modeling,"B. Vandecrux, R. S. Fausto, P. L. Langen, D. van As, M. MacFerrin, W. T. Colgan, T. Ingeman-Nielsen, K. Steffen, N. S. Jensen, M. T. Møller, J. E. Box",Journal of Geophysical Research: Earth Surface,https://doi.org/10.1029/2017JF004597,,
2020?,,Vandecrux B et al. ,PhD thesis,,,
2020,Relating regional and point measurements of accumulation in southwest Greenland,"Heilig, Achim search by orcid ; Eisen, Olaf search by orcid ; Schneebeli, Martin search by orcid ; MacFerrin, Michael search by orcid ; Stevens, C. Max search by orcid ; Vandecrux, Baptiste search by orcid ; Steffen, Konrad",The Cryosphere,https://doi.org/10.5194/tc-14-385-2020,,
2020,"A Retrospective, Iterative, Geometry-Based (RIGB) tilt-correction method for radiation observed by automatic weather stations on snow-covered surfaces: application to Greenland","Wang, Wenshan ; Zender, Charles S. ; van As, Dirk ; Smeets, Paul C. J. P. ; van den Broeke, Michiel R.",The Cryosphere,https://doi.org/10.5194/tc-10-727-2016,radiation,
2020,Firn cold content evolution at nine sites on the Greenland ice sheet between 1998 and 2017,Vandecrux B et al. ,J. Glac.,https://doi.org/ 10.1017/jog.2020.30 ,,
2020,The firn meltwater Retention Model Intercomparison Project (RetMIP): evaluation of nine firn models at four weather station sites on the Greenland ice sheet,Vandecrux B et al. ,The Cryosphere,https://doi.org/10.5194/tc-14-1-2020,,
2021,Comparing Greenland Ice Sheet Melt Variability From Different Satellite Passive Microwave Remote Sensing Products Over a Common 5-year Record,"John S. Kimball1*, www.frontiersin.orgJinyang Du1, www.frontiersin.orgToby W. Meierbachtol2, www.frontiersin.orgYoungwook Kim1,3 and www.frontiersin.orgJesse V. Johnson4",Front. Earth Sci.,https://doi.org/10.3389/feart.2021.654220,air temperature,1
2022,"Greenland Ice Sheet Rainfall, Heat and Albedo Feedback Impacts From the Mid-August 2021 Atmospheric River","Jason E. Box, Adrien Wehrlé, Dirk van As, Robert S. Fausto, Kristian K. Kjeldsen, Armin Dachauer, Andreas P. Ahlstrøm, Ghislain Picard",GRL,https://doi.org/10.1029/2021GL097356,"albedo, precipitation, microclimatology",
