day_of_year,hour,r1,r2,r3,NR
172,700,1.149,1.222,.942,-2.522
172,800,1.282,1.36,1.059,-1.57
172,900,1.835,1.933,1.502,-.711
172,1000,1.83,1.905,1.479,1.131
172,1100,3.139,3.252,2.508,.481
172,1200,3.968,4.094,3.154,2.283
172,1300,6.709,6.791,5.124,3.253
172,1400,6.235,6.217,4.646,2.186
172,1500,7.13,7.08,5.207,4.567
172,1600,6.729,6.667,4.877,5.025
172,1700,4.384,4.464,3.401,3.702
172,1800,5.581,5.596,4.209,6.693
172,1900,4.997,4.936,3.668,4.349
172,2000,5.467,5.395,4.015,5.6
172,2100,5.395,5.313,3.968,6.124
172,2200,3.788,3.718,2.801,2.772
172,2300,2.358,2.293,1.761,-.691
173,0,1.814,.979,1.359,-.92
173,100,1.075,1.039,.795,-3.046
173,200,.492,.522,.434,-4.066
173,300,.242,.446,.384,-3.243
173,400,.195,.263,.217,-1.837
173,500,.188,.202,.159,-1.31
173,600,.3,.318,.247,-.992
173,700,.666,.706,.544,-.065
173,800,.697,.728,.564,-1.683
173,900,.742,.778,.614,-2.701
173,1000,2.067,2.157,1.641,.093
173,1100,2.599,2.684,2.058,-1.214
173,1200,5.15,5.268,3.967,-.74
173,1300,5.913,5.957,4.461,.78
173,1400,6.498,6.454,4.796,2.65
173,1500,6.181,6.157,4.553,3.645
173,1600,7.06,7.01,5.136,5.544
173,1700,6.917,6.81,4.97,6.153
173,1800,6.451,6.342,4.632,5.973
173,1900,5.81,5.686,4.177,5.231
173,2000,5.005,4.904,3.635,4.288
173,2100,4.111,4.032,3.039,2.572
173,2200,3.026,2.972,2.295,1.184
173,2300,1.091,1.114,.879,.124
174,0,.625,.65,.516,.583
174,100,.3,.316,.253,.289
174,200,.137,.145,.118,.016
174,300,.094,.101,.082,-.056
174,400,.105,.112,.089,-.32
174,500,.127,.135,.108,-.176
174,600,.247,.261,.206,-.209
174,700,.47,.493,.393,.175
174,800,.916,.957,.796,.444
174,900,1.199,1.251,1.066,.404
174,1000,2.187,2.262,1.95,.511
174,1100,2.89,2.975,2.579,.617
174,1200,3.541,3.643,3.158,.723
174,1300,4.589,4.708,4.06,.898
174,1400,5.268,5.384,4.631,1.066
174,1500,6.084,6.177,5.288,.752
174,1600,6.152,6.246,5.358,.998
174,1700,5.443,5.555,4.708,1.896
174,1800,4.363,4.481,3.76,1.88
174,1900,3.669,3.778,3.154,1.587
174,2000,2.941,3.033,2.528,1.338
174,2100,2.214,2.288,1.904,.956
174,2200,1.485,1.542,1.29,.672
174,2300,1.108,1.155,.959,.392
175,0,.62,.65,.54,.059
175,100,.336,.354,.295,-.031
175,200,.139,.147,.125,-.525
175,300,.094,.1,.086,-.322
175,400,.097,.103,.09,-.138
175,500,.146,.155,.136,-.057
175,600,.25,.263,.23,-.056
175,700,.448,.47,.4,.015
175,800,.874,.91,.768,.269
175,900,1.319,1.37,1.165,.485
175,1000,1.818,1.885,1.607,.592
175,1100,2.825,2.92,2.514,.628
175,1200,4.108,4.207,3.601,.49
175,1300,3.913,3.995,3.322,.419
175,1400,4.269,4.341,3.696,.371
175,1500,4.859,4.936,4.07,.69
175,1600,4.369,4.447,3.647,-.284
175,1700,4.281,4.367,3.586,-.283
175,1800,4.294,4.409,3.718,-.413
175,1900,4.367,4.493,3.806,.102
175,2000,3.84,3.957,3.406,.126
175,2100,3.384,3.48,3.098,-.111
175,2200,3.307,3.379,2.965,.162
175,2300,1.79,1.846,1.62,.049
176,0,.776,.805,.719,-.129
176,100,.582,.607,.541,-.29
176,200,.252,.266,.238,-.4
176,300,.211,.223,.199,-.185
176,400,.189,.201,.178,-.202
176,500,.216,.23,.203,-.171
176,600,.302,.32,.283,-.301
176,700,.592,.623,.549,-.379
176,800,1.358,1.422,1.25,-.14
176,900,1.457,1.516,1.341,-.058
176,1000,1.95,2.02,1.787,-.168
176,1100,3.63,3.737,3.293,.347
176,1200,4.074,4.186,3.678,.102
176,1300,4.378,4.499,3.984,.009
176,1400,6.593,6.635,5.803,-1.579
176,1500,5.891,5.956,5.141,-.95
176,1600,6.596,6.638,5.664,.818
176,1700,5.875,5.968,5.022,1.656
176,1800,5.043,5.155,4.339,1.398
176,1900,3.641,3.717,3.124,1
176,2000,3.639,3.684,3.072,1.336
176,2100,2.936,3.007,2.513,1.457
176,2200,2.254,2.28,1.912,.999
176,2300,1.806,1.789,1.503,-.768
177,0,1.592,.769,1.264,-3.062
177,100,.977,.943,.763,-4.036
177,200,.516,.537,.465,-4.49
177,300,.135,.33,.302,-4.633
177,400,.169,.299,.274,-3.895
177,500,.26,.282,.243,-3.521
177,600,.253,.278,.234,-3.023
177,700,.88,.935,.767,-1.445
177,800,1.466,1.552,1.278,-.459
177,900,2.554,2.707,2.233,-.31
177,1000,2.633,2.777,2.289,-1.517
177,1100,4.257,4.417,3.667,-2.25
177,1200,5.199,5.311,4.344,-3.508
177,1300,5.946,5.984,4.912,-3.69
177,1400,6.061,6.087,4.964,-1.633
177,1500,6.505,6.504,5.208,-.22
177,1600,6.699,6.679,5.269,2.368
177,1700,6.225,6.17,4.778,3.221
177,1800,6.451,6.333,4.822,5.396
177,1900,5.805,5.67,4.33,4.423
177,2000,5.032,4.921,3.783,2.878
177,2100,4.124,4.028,3.136,1.21
177,2200,3,2.922,2.313,.006
177,2300,2.256,2.189,1.757,-1.097
178,0,1.624,.854,1.26,-1.775
178,100,.993,.957,.754,-2.986
178,200,.44,.446,.374,-3.683
178,300,.132,.236,.204,-4.063
178,400,.162,.241,.204,-3.627
178,500,.282,.314,.258,-3.619
178,600,.37,.398,.321,-2.513
178,700,.663,.704,.563,-1.869
178,800,1.124,1.187,.944,-.844
178,900,1.827,1.908,1.52,.069
178,1000,2.59,2.711,2.16,1.043
178,1100,2.962,3.059,2.456,1.799
178,1200,3.459,3.571,2.878,2.177
178,1300,4.517,4.634,3.689,3.176
178,1400,4.998,5.125,4.071,4.05
178,1500,5.698,5.804,4.521,4.599
178,1600,5.192,5.304,4.144,3.93
178,1700,5.288,5.395,4.212,4.412
178,1800,4.365,4.454,3.463,3.74
178,1900,3.592,3.691,2.872,2.87
178,2000,2.708,2.796,2.187,1.802
178,2100,2.36,2.431,1.882,1.886
178,2200,1.687,1.747,1.348,1.27
178,2300,1.079,1.116,.861,.587
179,0,.665,.679,.529,-1.208
179,100,.41,.431,.331,-2.018
179,200,.324,.351,.266,-2.927
179,300,.189,.214,.16,-3.922
179,400,.159,.181,.136,-4.283
179,500,.276,.305,.225,-4.072
179,600,.404,.441,.326,-3.612
179,700,.627,.676,.501,-2.864
179,800,1.176,1.256,.934,-1.401
179,900,1.967,2.086,1.559,.24
179,1000,2.873,3.025,2.264,1.049
179,1100,3.806,3.938,2.975,1.138
179,1200,4.758,4.881,3.653,1.382
179,1300,5.601,5.668,4.241,1.867
179,1400,6.286,6.282,4.673,3.768
179,1500,6.674,6.636,4.865,5.888
179,1600,6.812,6.748,4.867,7.58
179,1700,6.692,6.599,4.727,8.6
179,1800,6.291,6.194,4.416,8.91
179,1900,5.747,5.631,4.015,8.01
179,2000,4.943,4.848,3.467,5.957
179,2100,4.034,3.955,2.85,3.78
179,2200,3.161,3.092,2.245,1.974
179,2300,2.26,2.198,1.605,.191
180,0,1.431,.829,1.009,-1.204
180,100,.803,.791,.562,-2.749
180,200,.359,.369,.274,-3.837
180,300,.129,.162,.125,-4.464
180,400,.136,.17,.131,-4.786
180,500,.23,.253,.193,-4.812
180,600,.64,.693,.503,-3.968
180,700,.924,.994,.706,-2.461
180,800,1.711,1.819,1.32,-.045
180,900,2.086,2.222,1.622,.604
180,1000,3.282,3.452,2.508,2.584
180,1100,3.505,3.646,2.658,2.763
180,1200,5.057,5.182,3.736,2.897
180,1300,5.825,5.873,4.253,2.481
180,1400,6.474,6.434,4.634,3.371
180,1500,6.974,6.905,4.921,6.226
180,1600,6.864,6.823,4.867,7.78
180,1700,6.907,6.802,4.822,8.54
180,1800,5.674,5.661,4.102,6.936
180,1900,5.248,5.181,3.751,6.643
180,2000,3.657,3.665,2.697,3.945
180,2100,2.413,2.463,1.837,3.387
180,2200,1.329,1.379,1.041,2.261
180,2300,.66,.69,.523,1.404
181,0,.456,.48,.363,1.06
181,100,.27,.284,.215,.972
181,200,.097,.104,.08,.718
181,300,.069,.075,.058,.423
181,400,.098,.104,.079,.411
181,500,-.129,-.151,-.161,.11
181,600,.068,.072,.058,.28
181,700,-.008,.001,-.02,.218
181,800,.19,.201,.161,.422
181,900,.345,.362,.285,.623
181,1000,.622,.648,.506,1.008
181,1100,.742,.772,.606,1.122
181,1200,.929,.965,.753,1.346
181,1300,1.077,1.118,.864,1.565
181,1400,1.585,1.643,1.251,2.067
181,1500,2.641,2.722,1.692,3.478
181,1600,2.532,2.608,1.596,3.363
181,1700,2.248,2.318,1.423,3.017
181,1800,1.764,1.819,1.121,2.369
181,1900,1.634,1.697,1.053,2.35
181,2000,1.321,1.371,.855,2.159
181,2100,.973,1.011,.612,1.674
181,2200,.535,.559,.344,1.118
181,2300,.49,.512,.307,1.129
182,0,.19,.2,.122,.683
182,100,.153,.162,.099,.626
182,200,.063,.068,.042,.567
182,300,.044,.048,.029,.513
182,400,.023,.025,.016,.523
182,500,.055,.06,.037,.633
182,600,.098,.103,.065,.787
182,700,.123,.13,.08,.841
182,800,.145,.153,.092,.906
182,900,.209,.219,.134,1.057
182,1000,.428,.445,.287,1.507
182,1100,.888,.929,.609,2.202
182,1200,1.487,1.55,1.021,3.283
182,1300,2.022,2.101,1.398,4.127
182,1400,4.053,4.161,2.679,7.34
182,1500,5.348,5.442,3.511,9.31
182,1600,6.126,6.151,3.929,10.74
182,1700,6.357,6.317,3.989,11.52
182,1800,4.549,4.582,2.951,9.17
182,1900,5.398,5.376,3.413,11.44
182,2000,4.622,4.586,2.941,9.28
182,2100,3.659,3.631,2.363,6.236
182,2200,2.751,2.726,1.799,3.799
182,2300,1.91,1.885,1.263,1.798
183,0,1.241,.789,.826,.501
183,100,.578,.581,.392,-1.498
183,200,.128,.141,.102,-2.783
183,300,.107,.128,.089,-2.99
183,400,.19,.24,.165,-2.675
183,500,.184,.205,.142,-3.094
183,600,.432,.463,.313,-2.574
183,700,.924,.98,.637,-.945
183,800,1.493,1.578,1.046,.778
183,900,2.033,2.147,1.425,1.465
183,1000,3.005,3.151,2.072,1.615
183,1100,3.947,4.07,2.701,1.946
183,1200,4.687,4.773,3.131,3.059
183,1300,5.471,5.5,3.632,4.333
183,1400,6.134,6.089,4.015,5.843
183,1500,6.52,6.45,4.2,7.73
183,1600,6.698,6.621,4.282,9.47
183,1700,6.6,6.509,4.189,10.77
183,1800,6.577,6.495,4.207,12.56
183,1900,6.111,6.031,3.938,12.06
183,2000,5.148,5.088,3.351,9.44
183,2100,2.307,2.322,1.569,3.86
183,2200,1.351,1.39,.94,3.138
183,2300,1.076,1.09,.747,1.664
184,0,.589,.497,.417,-1.766
184,100,.628,.621,.421,-1.95
184,200,.205,.218,.156,-3.305
184,300,.142,.175,.122,-3.398
184,400,.181,.207,.141,-3.137
184,500,.338,.364,.242,-2.182
184,600,.378,.402,.27,-2.168
184,700,.814,.86,.57,-1.245
184,800,1.217,1.283,.855,.277
184,900,1.806,1.901,1.262,.955
184,1000,1.597,1.659,1.114,2.996
184,1100,3.328,3.421,2.266,3.191
184,1200,3.786,3.862,2.555,3.095
184,1300,5.302,5.339,3.546,6.392
184,1400,6.178,6.118,4.046,8.46
184,1500,6.493,6.397,4.191,10.46
184,1600,6.642,6.525,4.236,12.04
184,1700,6.552,6.412,4.153,12.1
184,1800,6.131,5.991,3.891,10.99
184,1900,4.933,4.828,3.184,8.41
184,2000,3.367,3.314,2.221,4.852
184,2100,3.921,3.818,2.582,5.317
184,2200,2.057,2.004,1.393,.916
184,2300,1.919,1.854,1.302,.469
185,0,1.696,1.047,1.144,.049
185,100,.961,.926,.651,-2.238
185,200,.412,.42,.321,-3.883
185,300,.154,.232,.179,-4.155
185,400,.146,.193,.149,-3.999
185,500,.25,.268,.206,-3.921
185,600,.475,.508,.372,-3.21
185,700,1.06,1.115,.781,-1.091
185,800,1.558,1.635,1.164,-.083
185,900,2.137,2.228,1.579,1.229
185,1000,2.545,2.62,1.843,1.668
185,1100,3.892,3.997,2.809,.867
185,1200,4.432,4.464,3.107,4.114
185,1300,4.545,4.569,3.155,5.493
185,1400,3.572,3.611,2.508,5.916
185,1500,3.917,3.97,2.751,6.878
185,1600,4.436,4.49,3.076,7.84
185,1700,3.146,3.195,2.205,5.405
185,1800,3.314,3.35,2.29,5.882
185,1900,3.28,3.296,2.329,4.846
185,2000,2.313,2.348,1.669,3.451
185,2100,2.187,2.224,1.578,3.293
185,2200,1.597,1.629,1.155,2.492
185,2300,.897,.919,.654,1.328
186,0,.59,.606,.44,.548
186,100,.372,.384,.29,.118
186,200,.206,.213,.163,-.065
186,300,.111,.116,.089,-.285
186,400,.103,.108,.084,-.379
186,500,.151,.157,.121,-.372
186,600,.265,.275,.216,-.01
186,700,.585,.604,.48,.272
186,800,.815,.844,.681,.462
186,900,1.263,1.296,1.046,.915
186,1000,1.814,1.853,1.494,1.283
186,1100,2.395,2.442,1.962,1.707
186,1200,3.069,3.12,2.499,2.1
186,1300,4.031,4.088,3.255,3.087
186,1400,5.919,5.866,4.629,2.771
186,1500,5.742,5.72,4.484,2.839
186,1600,6.468,6.365,4.954,.848
186,1700,5.451,5.416,4.244,2.386
186,1800,4.834,4.818,3.78,2.7
186,1900,3.688,3.73,2.935,3.177
186,2000,2.912,2.952,2.322,2.569
186,2100,2.055,2.086,1.642,1.828
186,2200,1.965,1.973,1.566,1.364
186,2300,1.35,1.345,1.083,.609
187,0,.861,.871,.7,.122
187,100,.437,.449,.359,-.312
187,200,.248,.261,.208,-1.354
187,300,.147,.154,.123,-1.235
187,400,.122,.135,.108,-3.6
187,500,.206,.219,.177,-2.758
187,600,.485,.502,.395,-3.782
187,700,.963,1.01,.752,-2.709
187,800,1.941,2.008,1.525,.108
187,900,3.004,3.09,2.345,1.633
187,1000,3.168,3.28,2.475,-.336
187,1100,4.021,4.061,3.116,.272
187,1200,4.889,4.909,3.696,1.037
187,1300,5.639,5.581,4.222,1.775
187,1400,6.15,6.026,4.536,2.638
187,1500,6.347,6.2,4.612,2.83
187,1600,6.535,6.382,4.678,3.652
187,1700,6.226,6.036,4.402,3.14
187,1800,6.141,5.928,4.316,2.902
187,1900,5.554,5.332,3.902,2.26
187,2000,4.699,4.517,3.338,2.495
187,2100,3.473,3.34,2.509,1.74
187,2200,2.585,2.48,1.894,.684
187,2300,1.466,1.41,1.097,-.925
188,0,.858,.803,.66,-1.15
188,100,.591,.592,.459,-.646
188,200,.218,.226,.173,-.85
188,300,.15,.157,.12,-.647
188,400,.082,.086,.066,-.302
188,500,.118,.122,.093,-.193
188,600,.196,.201,.153,-.062
188,700,.357,.364,.279,.205
188,800,.864,.879,.662,.49
188,900,1.512,1.532,1.147,1.333
188,1000,1.999,2.015,1.505,2.412
188,1100,2.483,2.49,1.846,3.08
188,1200,2.955,2.958,2.169,3.734
188,1300,4.267,4.255,3.023,6.449
188,1400,5.093,5.017,3.47,6.653
188,1500,5.391,5.29,3.607,6.988
188,1600,5.439,5.374,3.652,8.61
188,1700,4.012,3.991,2.732,6.588
188,1800,5.313,5.214,3.535,8.86
188,1900,5.178,5.057,3.402,9.17
188,2000,3.821,3.711,2.504,6.265
188,2100,2.448,2.424,1.646,4.371
188,2200,1.686,1.677,1.136,2.665
188,2300,.974,.977,.664,1.185
189,0,.578,.582,.4,.681
189,100,.305,.31,.217,-.195
189,200,.168,.173,.124,-.983
189,300,.116,.121,.087,-1.434
189,400,.115,.119,.085,-1.315
189,500,.148,.154,.11,-1.641
189,600,.362,.37,.26,-.622
189,700,.863,.881,.617,.146
189,800,1.158,1.181,.834,.279
189,900,1.563,1.579,1.112,1.051
189,1000,2.309,2.32,1.642,1.437
189,1100,3.673,3.652,2.592,2.332
189,1200,4.682,4.625,3.256,2.759
189,1300,5.393,5.316,3.682,7.63
189,1400,5.748,5.549,3.816,7.22
189,1500,6.662,6.382,4.333,10.22
189,1600,6.737,6.446,4.329,10.05
189,1700,6.577,6.262,4.199,10.58
189,1800,5.959,5.648,3.817,10.45
189,1900,6.289,5.954,4.029,12.02
189,2000,3.461,3.286,2.26,4.95
189,2100,2.56,2.469,1.707,4.072
189,2200,2.09,2.02,1.408,3.397
189,2300,1.498,1.436,1.016,1.509
190,0,.788,.767,.546,.286
190,100,.407,.409,.288,-.81
190,200,.267,.275,.197,-1.515
190,300,.131,.168,.13,-3.361
190,400,.129,.166,.128,-3.02
190,500,.177,.185,.133,-1.329
190,600,.357,.369,.267,-1.38
190,700,.873,.894,.631,-1.524
190,800,1.464,1.487,1.075,.267
190,900,2.232,2.266,1.636,1.489
190,1000,3.084,3.12,2.228,2.275
190,1100,3.889,3.872,2.769,4.1
190,1200,4.894,4.82,3.368,6.658
190,1300,5.692,5.533,3.841,8.68
190,1400,6.286,6.047,4.137,10.16
190,1500,6.648,6.373,4.279,10.89
190,1600,6.752,6.486,4.279,11.29
190,1700,6.596,6.317,4.13,11.54
190,1800,6.198,5.926,3.861,11.22
190,1900,5.59,5.324,3.491,10.08
190,2000,4.863,4.638,3.088,7.72
190,2100,3.958,3.761,2.55,4.686
190,2200,3.014,2.85,1.978,2.24
190,2300,2.159,2.025,1.431,.944
191,0,1.429,.718,.94,-.045
191,100,.842,.77,.546,-2.148
191,200,.386,.37,.288,-3.481
191,300,.12,.208,.17,-4.133
191,400,.118,.171,.139,-4.045
191,500,.221,.228,.183,-4.043
191,600,.428,.447,.337,-3.433
191,700,.816,.84,.586,-2.136
191,800,1.464,1.494,1.056,-.227
191,900,2.234,2.276,1.596,1.296
191,1000,3.091,3.131,2.161,2.409
191,1100,3.988,3.975,2.722,4.647
191,1200,4.901,4.822,3.214,7.42
191,1300,5.674,5.5,3.619,10.22
191,1400,6.269,6.009,3.87,11.89
191,1500,6.637,6.327,3.989,12.5
191,1600,6.765,6.459,3.966,13.23
191,1700,6.654,6.336,3.794,14.3
191,1800,6.192,5.889,3.442,14.44
191,1900,5.498,5.206,3.005,13.07
191,2000,4.706,4.459,2.579,10.44
191,2100,3.9,3.679,2.164,7.09
191,2200,3.065,2.878,1.725,4.202
191,2300,2.165,2.017,1.225,2.011
192,0,1.371,.764,.778,.151
192,100,.694,.658,.405,-.818
192,200,.31,.318,.191,-.903
192,300,.137,.175,.117,-1.267
192,400,.071,.081,.054,.081
192,500,.066,.067,.043,-1.005
192,600,.15,.151,.093,-.091
192,700,.548,.548,.314,1.824
192,800,.676,.667,.385,2.411
192,900,1.113,1.092,.615,4.023
192,1000,2.34,2.317,1.268,6.12
192,1100,3.289,3.219,1.764,7.17
192,1200,4.936,4.813,2.497,13.12
192,1300,5.463,5.266,2.627,14.97
192,1400,5.808,5.558,2.608,16.72
192,1500,5.815,5.551,2.462,17.58
192,1600,6.02,5.753,2.426,19.78
192,1700,5.399,5.174,2.122,18.76
192,1800,4.075,3.937,1.625,14.71
192,1900,3.092,3.017,1.267,11.68
192,2000,2.445,2.403,1.017,10.1
192,2100,1.99,1.947,.806,8.55
192,2200,1.181,1.158,.478,5.356
192,2300,.913,.898,.359,4.575
193,0,.449,.445,.18,1.641
193,100,.376,.368,.146,.978
193,200,.126,.126,.054,-.764
193,300,.096,.1,.04,-.005
193,400,.054,.055,.024,.353
193,500,.122,.123,.048,.302
193,600,.124,.125,.054,-.764
193,700,.593,.595,.226,.885
193,800,.773,.768,.29,3.064
193,900,.498,.491,.206,3.127
193,1000,.569,.549,.237,3.064
193,1100,1.367,1.312,.506,6.058
193,1200,2.2,2.093,.73,9.12
193,1300,3.393,3.219,1.104,13.57
193,1400,3.667,3.551,1.254,14.87
193,1500,3.174,3.075,1.175,13.05
193,1600,3.211,3.117,1.212,13.18
193,1700,5.161,4.92,1.814,19.72
193,1800,5.256,5.002,1.874,19.96
193,1900,5.534,5.249,2.002,22.06
193,2000,3.506,3.339,1.353,13.07
193,2100,2.392,2.302,.962,9.48
193,2200,1.351,1.307,.579,5.186
193,2300,1.199,1.133,.532,4.37
194,0,.537,.526,.253,2.497
194,100,.46,.451,.219,2.031
194,200,.148,.148,.074,.982
194,300,.065,.066,.035,.616
194,400,.041,.042,.023,.464
194,500,.079,.08,.044,.512
194,600,.257,.258,.143,.947
194,700,.643,.644,.343,.736
194,800,1.451,1.444,.796,2.189
194,900,1.917,1.911,1.062,3.129
194,1000,3.001,2.989,1.661,3.729
194,1100,3.86,3.797,2.115,5.058
194,1200,4.761,4.637,2.516,7.57
194,1300,5.528,5.317,2.874,10.75
194,1400,6.125,5.839,3.107,13.31
194,1500,6.482,6.151,3.174,15.49
194,1600,6.595,6.278,3.1,17.25
194,1700,6.459,6.133,2.938,18.71
194,1800,6.078,5.762,2.733,18.72
194,1900,5.483,5.181,2.502,16.6
194,2000,4.692,4.44,2.263,13.18
194,2100,3.825,3.603,1.855,9.58
194,2200,2.908,2.724,1.46,5.91
194,2300,2.052,1.905,1.052,3.163
195,0,1.524,.84,.778,2.604
195,100,.62,.573,.334,-.48
195,200,.155,.159,.094,-2.069
195,300,.103,.108,.062,-1.385
195,400,.073,.077,.044,-.545
195,500,.079,.079,.048,-.135
195,600,.165,.164,.096,-.258
195,700,.268,.269,.155,-1.08
195,800,.525,.524,.306,-1.228
195,900,1.951,1.943,1.144,2.757
195,1000,2.933,2.909,1.703,3.972
195,1100,3.036,2.979,1.769,3.564
195,1200,4.607,4.465,2.58,7.86
195,1300,5.433,5.209,2.993,10.36
195,1400,6.031,5.736,3.243,12.5
195,1500,6.388,6.048,3.34,14.53
195,1600,6.512,6.184,3.314,15.7
195,1700,6.377,6.041,3.184,16.28
195,1800,5.633,5.327,2.825,14.66
195,1900,5.439,5.119,2.756,14.94
195,2000,4.538,4.277,2.451,11.22
195,2100,3.728,3.497,1.951,8.57
195,2200,2.691,2.508,1.442,4.835
195,2300,1.048,.963,.589,-.084
196,0,.266,.24,.167,-2.774
196,100,.171,.163,.11,-3.237
196,200,.287,.263,.19,-3.25
196,300,.089,.132,.099,-3.515
196,400,.078,.108,.081,-3.369
196,500,.158,.162,.122,-3.438
196,600,.345,.353,.253,-3.01
196,700,.783,.794,.512,-1.338
196,800,1.381,1.384,.904,.414
196,900,2.11,2.116,1.377,1.961
196,1000,3.019,3.017,1.92,3.167
196,1100,3.777,3.735,2.342,4.752
196,1200,4.566,4.455,2.732,6.753
196,1300,5.407,5.202,3.16,8.9
196,1400,5.664,5.403,3.242,11.06
196,1500,6.096,5.798,3.426,13.47
