day_of_year,hour,r1,r2,r3,NR
141,800,1.24,1.276,1.076,-.712
141,900,2.014,2.061,1.728,-.063
141,1000,2.972,2.999,2.485,-.314
141,1100,3.887,3.833,3.176,-.599
141,1200,4.743,4.596,3.768,-.896
141,1300,5.61,5.32,4.372,-1.199
141,1400,6.222,5.807,4.684,-1.365
141,1500,6.19,5.778,4.812,1.761
141,1600,5.502,5.22,4.38,4.516
141,1700,5.32,5.07,4.265,5.135
141,1800,5.395,5.087,4.214,4.902
141,1900,4.201,4.007,3.371,4.576
141,2000,3.369,3.19,2.704,3.24
141,2100,2.527,2.406,2.063,2.437
141,2200,1.717,1.636,1.422,1.464
141,2300,.928,.897,.795,.592
142,0,.494,.479,.44,.051
142,100,.22,.214,.213,-.202
142,200,.099,.097,.1,-.386
142,300,.055,.054,.052,-.343
142,400,.054,.054,.051,-.133
142,500,.086,.083,.078,.11
142,600,.165,.16,.15,.308
142,700,.441,.431,.391,.532
142,800,.923,.918,.814,-.311
142,900,1.799,1.817,1.58,.3
142,1000,2.872,2.908,2.481,-.849
142,1100,3.774,3.749,3.187,-1.938
142,1200,4.87,4.774,3.989,-2.578
142,1300,5.663,5.441,4.546,-2.498
142,1400,6.209,5.87,4.881,-1.707
142,1500,3.885,3.868,4.791,-6999
142,1600,9.03,8.81,2.533,-6999
142,1700,2.945,1.974,2.341
142,1800,2.536,1.801,.443
142,1900,1.677,1.248,-1.899
142,2000,.96,.721,-3.115
143,0,.383,.335,-4.212
143,100,.139,.158,-4.636
143,200,.079,.08,-3.957
143,300,.076,.067,-3.259
143,400,.106,.089,-.554
143,500,.377,.334,-.699
143,600,.591,.513,-2.964
143,700,.974,.812,-.32
143,800,1.546,1.246,.901
143,900,2.137,1.71,1.678
143,1000,2.935,2.329,1.931
143,1100,4.55,3.62,-16.18
143,1200,5.6,4.39,-18.97
143,1300,6.095,4.695,-8.97
143,1400,5.801,4.45,3.478
143,1500,5.473,4.189,5.879
143,1600,5.321,4.065,6.305
143,1800,4.757,3.661,5.1
143,1900,4.041,3.117,4.135
143,2000,3.529,2.684,4.064
143,2100,2.505,1.908,2.106
143,2200,1.643,1.292,1.214
143,2300,1.03,.808,-1.933
144,0,.567,.447,-.36
144,100,.257,.205,-.332
144,200,.117,.095,-.036
144,300,.051,.043,-.15
144,400,.04,.034,-.138
144,500,.081,.066,-.099
144,600,.197,.157,.062
144,700,.408,.325,.391
144,800,.781,.618,.439
144,900,1.295,1.019,.854
144,1000,2.238,1.753,.848
144,1100,3.626,2.842,-.765
144,1200,4.947,3.851,1.171
144,1300,5.029,3.914,1.741
144,1400,5.853,4.545,3.994
144,1500,6.142,4.76,4.235
144,1600,6.3,4.858,5.036
144,1700,6.133,4.706,5.25
144,1800,4.974,3.843,4.735
144,1900,5.399,4.143,5.547
144,2000,3.732,2.886,2.584
144,2100,3.231,2.504,1.762
144,2200,2.183,1.703,-.641
144,2300,1.434,1.129,-1.473
145,0,1.447,1.105,-1.185
145,100,.517,.401,-3.232
145,200,.168,.136,-3.037
145,300,.081,.066,-1.609
145,400,.055,.047,.05
145,500,.085,.071,-.015
145,600,.195,.16,-.508
145,700,.395,.322,.249
145,800,.978,.791,-3.45
145,900,2.153,1.749,-2.823
145,1000,2.151,1.722,1.369
145,1100,2.893,2.307,2.609
145,1200,3.589,2.859,3.612
145,1300,4.265,3.395,3.935
145,1400,5.485,4.313,5.243
145,1500,6.186,4.817,5.57
145,1600,5.776,4.53,5.87
145,1700,5.851,4.572,5.922
145,1800,5.306,4.128,5.449
145,1900,3.987,3.133,3.563
145,2000,3.669,2.864,3.173
145,2100,2.768,2.157,1.602
145,2200,1.708,1.333,-.962
145,2300,1.067,.841,-1.942
146,0,.753,.593,-1.649
146,100,.307,.247,-4.375
146,200,.159,.13,-3.419
146,300,.081,.068,-1.386
146,400,.081,.067,-1.909
146,500,.11,.091,-1.281
146,600,.251,.204,-2.086
146,700,.596,.478,-2.639
146,800,1.472,1.186,-3.587
146,900,2.255,1.853,-2.771
146,1000,3.182,2.579,-1.405
146,1100,4.033,3.239,.081
146,1200,4.89,3.882,1.452
146,1300,5.633,4.429,2.791
146,1400,6.174,4.819,4.562
146,1500,6.485,5.019,6.263
146,1600,6.563,5.005,7.59
146,1700,6.392,4.833,8.06
146,1800,5.967,4.489,7.65
146,1900,5.325,4.007,6.257
146,2000,4.531,3.428,4.047
146,2100,3.637,2.791,1.31
146,2200,2.732,2.134,-1.371
146,2300,1.894,1.503,-3.357
147,0,1.183,.929,-4.683
147,100,.614,.51,-5.637
147,200,.255,.236,-5.899
147,300,.105,.098,-5.641
147,400,.109,.1,-6.067
147,500,.172,.159,-6.032
147,600,.393,.352,-5.644
147,700,.913,.732,-4.712
147,800,1.57,1.275,-4.03
147,900,2.331,1.919,-3.121
147,1000,3.229,2.602,-1.66
147,1100,4.148,3.286,.197
147,1200,5.012,3.909,1.681
147,1300,5.686,4.387,2.983
147,1400,6.213,4.763,4.477
147,1500,6.545,4.995,5.953
147,1600,6.602,4.988,7.28
147,1700,6.416,4.831,7.98
147,1800,5.997,4.509,7.69
147,1900,5.359,4.047,6.295
147,2000,4.576,3.488,3.991
147,2100,3.676,2.853,1.075
147,2200,2.708,2.143,-1.748
147,2300,1.06,.843,-.013
148,0,.287,.238,-.065
148,100,.136,.114,-.21
148,200,.138,.113,-3.439
148,300,.093,.076,-2.523
148,400,.082,.066,-.869
148,500,.143,.114,-.426
148,600,.189,.153,-.124
148,700,.295,.242,-1.546
148,800,.906,.724,-.175
148,900,1.336,1.082,.914
148,1000,2.126,1.744,1.374
148,1100,2.609,2.146,1.237
148,1200,4.224,3.407,1.197
148,1300,5.81,4.659,2.059
148,1400,6.069,4.839,1.574
148,1500,6.626,5.269,2.532
148,1600,6.455,5.134,3.329
148,1700,6.652,5.309,4.145
148,1800,5.637,4.567,2.724
148,1900,4.503,3.666,2.424
148,2000,3.018,2.466,1.072
148,2100,2.078,1.706,.641
148,2200,2.461,2.005,1.242
148,2300,1.26,1.035,.308
149,0,.437,.366,-.115
149,100,.282,.238,-.06
149,200,.157,.136,-.13
149,300,.107,.093,-.29
149,400,.086,.075,-.343
149,500,.146,.127,-.324
149,600,.233,.204,-.336
149,700,.466,.404,-.043
149,800,.614,.539,.001
149,900,1.165,1.052,.278
149,1000,2.631,2.284,1.75
149,1100,3.262,2.743,2.037
149,1200,4.802,4.023,3.977
149,1300,5.338,4.501,3.106
149,1400,5.529,4.718,.735
149,1500,5.529,4.719,.311
149,1600,6.2,5.282,.837
149,1700,6.835,5.828,.05
149,1800,6.033,5.143,-2.992
149,1900,5.137,4.393,-7
149,2000,3.872,3.309,-2.709
149,2100,3.29,2.843,-6.13
149,2200,2.465,2.166,-5.826
149,2300,1.497,1.299,-1.561
150,0,.793,.69,-1.173
150,100,.493,.43,-.955
150,200,.247,.217,-.828
150,300,.162,.142,-.371
150,400,.117,.105,-.693
150,500,.124,.112,-.457
150,600,.247,.221,-.375
150,700,.451,.401,-.398
150,800,.907,.797,-.599
150,900,1.508,1.317,-.414
150,1000,2.318,2.019,-.044
150,1100,3.453,2.966,-.473
150,1200,4.475,3.829,-.2
150,1300,5.434,4.629,.308
150,1400,6.3,5.308,-1.33
150,1500,6.644,5.617,-.983
150,1600,6.708,5.667,.656
150,1700,6.53,5.54,1.847
150,1800,6.111,5.223,1.983
150,1900,5.472,4.733,.911
150,2000,4.671,4.102,-.622
150,2100,3.772,3.385,-2.401
150,2200,2.834,2.537,-3.517
150,2300,1.94,1.74,-4.819
151,0,1.262,1.12,-4.965
151,100,.752,.682,-5.663
151,200,.437,.419,-4.131
151,300,.135,.119,-2.245
151,400,.119,.104,-2.31
151,500,.121,.107,-4.049
151,600,.328,.285,-2.65
151,700,.77,.666,-3.24
151,800,1.097,.962,-2.663
151,900,2.397,2.127,-3.012
151,1000,3.4,2.944,-1.826
151,1100,4.11,3.518,-.763
151,1200,4.489,3.879,1.431
151,1300,4.786,4.149,.981
151,1400,4.834,4.2,.881
151,1500,5.044,4.379,.66
151,1600,5.845,5.124,.197
151,1700,5.274,4.614,.657
151,1800,5.162,4.506,.407
151,1900,4.138,3.593,.808
151,2000,3.373,2.914,.623
151,2100,2.517,2.169,.797
151,2200,1.684,1.46,.489
151,2300,1.101,.958,.199
152,0,.587,.513,-.006
152,100,.318,.279,-.05
152,200,.146,.129,-.077
152,300,.072,.064,-.256
152,400,.061,.055,-.222
152,500,.099,.088,-.126
152,600,.194,.171,-.101
152,700,.497,.431,-.001
152,800,.888,.768,.081
152,900,1.406,1.216,-.018
152,1000,2.029,1.76,-.124
152,1100,2.792,2.434,-.405
152,1200,3.412,2.994,-.679
152,1300,4.079,3.575,-.848
152,1400,4.684,4.105,-1.071
152,1500,5.405,4.732,-.859
152,1600,5.481,4.808,-.774
152,1700,5.441,4.774,-.407
152,1800,5.086,4.463,-.11
152,1900,4.751,4.162,.369
152,2000,3.551,3.109,.234
152,2100,2.975,2.59,.045
152,2200,1.899,1.653,-.854
152,2300,1.401,1.216,-2.889
153,0,.875,.761,-2.104
153,100,.349,.307,-1.473
153,200,.169,.15,-2.171
153,300,.16,.14,-.473
153,400,.151,.132,-.436
153,500,.149,.131,-.369
153,600,.188,.165,-.552
153,700,.617,.527,-1.632
153,800,1.635,1.391,-4.164
153,900,1.442,1.247,-3.591
153,1000,3.313,2.861,-3.929
153,1100,4.197,3.614,-3.64
153,1200,5.047,4.325,-3.232
153,1300,5.764,4.951,-2.946
153,1400,6.276,5.409,-2.404
153,1500,6.567,5.649,-1.302
153,1600,6.243,5.313,.487
153,1700,6.084,5.086,3.677
153,1800,6.268,5.079,5.801
153,1900,5.536,4.439,5.65
153,2000,4.656,3.724,3.697
153,2100,3.78,3.04,1.56
153,2200,2.889,2.336,-.998
153,2300,2.065,1.657,-3.286
154,0,1.352,1.047,-4.557
154,100,.774,.587,-5.068
154,200,.356,.288,-5.099
154,300,.141,.12,-4.502
154,400,.089,.076,-3.895
154,500,.133,.112,.159
154,600,.244,.203,.512
154,700,.432,.359,.657
154,800,.79,.65,.754
154,900,1.362,1.103,1.145
154,1000,2.653,2.113,.914
154,1100,3.351,2.651,2.154
154,1200,3.987,3.151,2.087
154,1300,5.302,4.187,2.301
154,1400,6.155,4.781,2.265
154,1500,6.597,5.148,3.677
154,1600,6.627,5.121,6.259
154,1700,6.414,4.922,7.33
154,1800,6.032,4.629,7.07
154,1900,5.431,4.189,5.915
154,2000,4.695,3.651,4.254
154,2100,3.71,2.917,1.7
154,2200,2.728,2.158,-.653
154,2300,1.875,1.48,-2.146
155,0,1.351,1.044,-3.262
155,100,.682,.52,-4.279
155,200,.367,.288,-4.732
155,300,.177,.16,-4.728
155,400,.206,.176,-4.602
155,500,.291,.249,-4.702
155,600,.511,.417,-4.276
155,700,1.06,.811,-3.544
155,800,1.692,1.337,-3.033
155,900,2.441,1.954,-2.095
155,1000,3.346,2.641,-.873
155,1100,4.253,3.321,.728
155,1200,5.103,3.939,2.054
155,1300,5.869,4.491,3.476
155,1400,6.434,4.914,5.34
155,1500,6.417,4.891,5.837
155,1600,6.752,5.096,7.52
155,1700,7.24,5.405,9.95
155,1800,5.917,4.419,7.8
155,1900,5.608,4.18,7.91
155,2000,4.789,3.585,5.919
155,2100,3.903,2.953,3.081
155,2200,3.004,2.292,.327
155,2300,2.137,1.636,-2.003
156,0,1.424,1.068,-3.458
156,100,.835,.618,-4.588
156,200,.405,.324,-5.094
156,300,.19,.187,-5.116
156,400,.188,.161,-4.62
156,500,.273,.232,-4.629
156,600,.552,.436,-4
156,700,1.078,.794,-3.016
156,800,1.702,1.293,-2.536
156,900,2.45,1.886,-1.463
156,1000,3.329,2.52,-.099
156,1100,4.255,3.185,1.522
156,1200,5.069,3.765,2.937
156,1300,5.793,4.269,4.565
156,1400,6.325,4.639,6.436
156,1500,6.649,4.845,8.44
156,1600,6.738,4.861,10.09
156,1700,6.57,4.728,10.8
156,1800,6.159,4.447,10.35
156,1900,5.561,4.049,8.88
156,2000,4.803,3.542,6.464
156,2100,3.923,2.945,3.429
156,2200,3.01,2.29,.563
156,2300,2.156,1.648,-1.723
157,0,1.443,1.083,-3.402
157,100,.858,.634,-4.674
157,200,.423,.341,-5.257
157,300,.197,.197,-5.56
157,400,.197,.171,-5.129
157,500,.29,.248,-5.085
157,600,.575,.454,-4.397
157,700,1.107,.822,-3.435
157,800,1.726,1.331,-2.792
157,900,2.482,1.943,-1.628
157,1000,3.378,2.604,-.134
157,1100,4.279,3.252,1.53
157,1200,5.126,3.841,3.094
157,1300,5.848,4.327,4.795
157,1400,6.382,4.674,6.806
157,1500,6.7,4.842,8.79
157,1600,6.78,4.821,10.51
157,1700,6.597,4.647,11.42
157,1800,6.198,4.363,11.11
157,1900,5.562,3.944,9.49
157,2000,4.777,3.429,6.992
157,2100,3.839,2.795,3.878
157,2200,2.735,2.017,.727
157,2300,2.087,1.548,-.951
158,0,1.487,1.092,-2.923
158,100,.825,.597,-4.376
158,200,.281,.214,-4.504
158,300,.187,.143,-4.103
158,400,.209,.157,-3.899
158,500,.354,.267,-3.333
158,600,.602,.452,-3.166
158,700,.948,.697,-.981
158,800,1.608,1.18,-.017
158,900,1.603,1.189,1.765
158,1000,1.923,1.446,2.035
158,1100,2.627,1.972,2.25
158,1200,2.869,2.181,1.417
158,1300,3.169,2.368,1.813
158,1400,3.925,2.84,2.603
158,1500,4.332,3.12,2.835
158,1600,4.329,2.999,2.325
158,1700,3.45,2.44,1.028
158,1800,4.066,2.873,2.485
158,1900,3.292,2.361,2.22
158,2000,3.484,2.454,3.708
158,2100,2.348,1.697,2.151
158,2200,1.494,1.098,1.041
158,2300,1.076,.789,.426
159,0,.748,.545,-.171
159,100,.441,.323,-.571
159,200,.252,.184,-.901
159,300,.174,.127,-1.456
159,400,.146,.108,-.735
159,500,.205,.15,-.432
159,600,.219,.164,-.459
159,700,.545,.4,-.425
159,800,.707,.525,.282
159,900,1.552,1.14,1.334
159,1000,2.616,1.898,2.289
159,1100,4.39,3.167,.971
159,1200,5.206,3.741,-1.634
159,1300,5.399,3.846,-1.04
159,1400,5.923,4.212,1.892
159,1500,6.621,4.669,5.576
159,1600,5.448,3.835,5.978
159,1700,6.011,4.205,9.76
159,1800,6.058,4.227,11.37
159,1900,5.643,3.967,10.76
159,2000,4.718,3.383,7.69
159,2100,3.865,2.838,4.719
159,2200,2.963,2.214,1.555
159,2300,2.118,1.598,-.613
160,0,1.516,1.129,-1.681
160,100,.773,.57,-3.398
160,200,.467,.366,-4.223
160,300,.21,.203,-4.995
160,400,.156,.132,-4.475
160,500,.146,.12,-4.526
160,600,.378,.297,-3.942
160,700,.783,.587,-2.759
160,800,.825,.63,.665
160,900,1.164,.892,.973
160,1000,1.815,1.38,1.769
160,1100,2.559,1.929,2.558
160,1200,4.508,3.337,1.624
160,1300,5.765,4.201,-1.7
160,1400,6.306,4.557,1.842
160,1500,6.607,4.739,5.491
160,1600,6.685,4.732,8.77
160,1700,6.52,4.58,10.96
160,1800,6.13,4.288,11.66
160,1900,5.533,3.878,10.59
160,2000,4.782,3.376,8.09
160,2100,3.905,2.793,4.936
160,2200,3.031,2.197,1.713
160,2300,2.194,1.609,-.929
161,0,1.477,1.072,-2.768
161,100,.914,.649,-4.355
161,200,.476,.367,-5.289
161,300,.232,.227,-5.826
161,400,.241,.204,-5.276
161,500,.332,.28,-5.466
161,600,.633,.496,-4.567
161,700,1.154,.868,-3.185
161,800,1.771,1.386,-2.552
161,900,2.52,2.002,-2.688
161,1000,3.413,2.656,-3.578
161,1100,4.309,3.289,-4.011
161,1200,5.163,3.862,-3.036
161,1300,5.885,4.322,-.418
161,1400,6.417,4.656,3.095
161,1500,6.745,4.813,6.934
161,1600,6.843,4.803,10.29
161,1700,6.647,4.617,12.55
161,1800,6.217,4.294,13.01
161,1900,5.571,3.853,11.44
161,2000,4.789,3.335,8.97
161,2100,3.915,2.77,5.867
161,2200,3.048,2.199,2.631
161,2300,2.284,1.67,.119
162,0,.739,.55,-3.526
162,100,.318,.24,-4.481
162,200,.202,.157,-4.526
162,300,.186,.151,-4.435
162,400,.207,.171,-4.276
162,500,.337,.275,-4.361
162,600,.502,.387,-3.67
162,700,1.141,.831,-2.038
162,800,1.849,1.38,-1.378
162,900,2.586,1.936,-1.961
162,1000,3.373,2.47,-3.135
162,1100,4.253,3.056,-3.487
162,1200,5.067,3.573,-2.128
162,1300,5.806,4.018,1.129
162,1400,6.324,4.319,5.342
162,1500,6.673,4.492,8.96
162,1600,6.749,4.504,11.23
162,1700,6.565,4.377,13.04
162,1800,6.163,4.121,13.21
162,1900,5.593,3.774,11.83
162,2000,4.54,3.117,8.13
162,2100,3.846,2.695,5.527
162,2200,2.92,2.083,2.111
162,2300,2.204,1.596,-.304
163,0,1.59,1.138,-1.91
163,100,.993,.687,-3.565
163,200,.627,.46,-3.886
163,300,.266,.239,-4.846
163,400,.2,.151,-3.469
163,500,.211,.156,-3.88
163,600,.439,.317,-1.521
163,700,.576,.414,-.461
163,800,.786,.574,.576
163,900,1.488,1.066,1.375
163,1000,2.708,1.939,-.382
163,1100,3.326,2.348,-.902
163,1200,4.665,3.235,-.195
163,1300,5.159,3.522,3.173
163,1400,6.389,4.311,6.201
163,1500,6.636,4.42,8.94
163,1600,6.101,4.069,9.32
163,1700,6.562,4.375,12.37
163,1800,5.969,4.002,12.37
163,1900,5.422,3.674,11.14
163,2000,4.722,3.242,8.81
163,2100,3.817,2.666,5.727
163,2200,2.891,2.048,2.732
163,2300,2.003,1.434,.216
164,0,1.384,.982,-1.148
164,100,.942,.656,-2.095
164,200,.461,.34,-3.527
164,300,.248,.213,-4.403
164,400,.24,.191,-4.2
164,500,.287,.225,-4.328
164,600,.479,.356,-3.604
164,700,.845,.611,-2.583
164,800,1.416,1.041,-1.831
164,900,2.088,1.542,-1.823
164,1000,3.268,2.362,-2.033
164,1100,4.183,2.968,-2.008
164,1200,5.039,3.52,-.521
164,1300,5.726,3.939,2.198
164,1400,6.247,4.27,5.305
164,1500,6.606,4.469,8.57
164,1600,6.673,4.473,11.21
164,1700,6.486,4.346,12.58
164,1800,6.11,4.117,12.48
164,1900,5.445,3.706,10.87
164,2000,4.697,3.241,8.46
164,2100,3.831,2.687,5.573
164,2200,2.888,2.056,2.528
164,2300,2.061,1.485,.056
165,0,1.304,.936,-1.823
165,100,.778,.552,-3.259
165,200,.39,.294,-4.13
165,300,.238,.206,-4.609
165,400,.235,.187,-4.269
165,500,.321,.254,-4.326
165,600,.576,.434,-3.655
165,700,1.023,.745,-2.498
165,800,1.634,1.213,-1.878
165,900,2.39,1.781,-1.945
165,1000,3.281,2.399,-2.512
165,1100,4.172,2.993,-2.505
165,1200,4.997,3.522,-1.033
165,1300,5.747,3.989,1.783
165,1400,6.274,4.319,5.242
165,1500,6.574,4.474,8.74
165,1600,6.665,4.5,11.57
165,1700,6.482,4.375,12.86
165,1800,6.124,4.151,12.71
165,1900,5.437,3.718,10.67
165,2000,4.705,3.253,8.5
165,2100,3.722,2.62,5.189
165,2200,2.827,2.022,2.291
165,2300,2.005,1.45,-.203
166,0,1.363,.98,-1.93
166,100,.829,.586,-3.488
166,200,.499,.377,-4.307
166,300,.305,.279,-5.009
166,400,.285,.24,-4.53
166,500,.406,.347,-4.856
166,600,.721,.567,-3.948
166,700,1.212,.902,-2.648
166,800,1.796,1.366,-2.485
166,900,2.546,1.936,-3.233
166,1000,3.434,2.541,-4.359
166,1100,4.317,3.118,-3.764
166,1200,5.137,3.646,-1.58
166,1300,5.858,4.1,1.485
166,1400,6.401,4.44,5.12
166,1500,6.748,4.634,8.74
166,1600,6.829,4.641,11.57
166,1700,6.663,4.504,13.15
166,1800,6.269,4.217,13.14
166,1900,5.669,3.808,11.74
166,2000,4.909,3.307,9.48
166,2100,4.035,2.752,6.447
166,2200,3.144,2.172,3.209
166,2300,2.3,1.605,.333
167,0,1.575,1.091,-1.846
167,100,1.009,.677,-3.571
167,200,.544,.4,-4.638
167,300,.259,.257,-5.569
167,400,.265,.225,-4.685
167,500,.36,.303,-4.999
167,600,.659,.508,-4.107
167,700,1.185,.853,-2.651
167,800,1.777,1.313,-2.591
167,900,2.517,1.88,-3.682
167,1000,3.409,2.476,-4.525
167,1100,4.296,3.068,-3.576
167,1200,5.129,3.623,-1.354
167,1300,5.806,4.055,1.541
167,1400,6.336,4.36,5.044
167,1500,6.676,4.539,8.28
167,1600,6.759,4.543,10.81
167,1700,6.599,4.391,12.65
167,1800,6.031,3.99,12.51
167,1900,4.524,3.023,8.3
167,2000,4.713,3.183,9.09
167,2100,2.442,1.689,1.602
167,2200,2.982,2.061,3.759
167,2300,2.181,1.52,2.633
168,0,.829,.587,-.068
168,100,.596,.421,-.693
168,200,.572,.402,-1.157
168,300,.522,.418,-3.001
168,400,.314,.252,-4.171
168,500,.367,.302,-5.033
168,600,.668,.502,-4.067
168,700,1.175,.837,-2.669
168,800,1.773,1.293,-2.486
168,900,2.52,1.844,-3.178
168,1000,3.404,2.433,-3.873
168,1100,4.303,3.022,-3.111
168,1200,5.14,3.562,-.97
168,1300,5.848,3.998,1.99
168,1400,6.393,4.34,5.249
168,1500,6.514,4.39,7.95
168,1600,6.687,4.483,10.21
168,1700,6.555,4.387,11.99
168,1800,5.381,3.612,9.76
168,1900,5.513,3.717,11.03
168,2000,4.344,2.97,7.12
168,2100,4.058,2.819,5.829
168,2200,3.142,2.222,2.721
168,2300,2.207,1.583,.141
169,0,1.536,1.098,-2.096
169,100,.966,.671,-3.617
169,200,.516,.389,-4.618
169,300,.253,.252,-5.332
169,400,.262,.223,-4.459
169,500,.36,.302,-4.678
169,600,.658,.501,-3.652
169,700,1.259,.902,-1.895
169,800,1.765,1.305,-1.966
169,900,2.48,1.845,-2.499
169,1000,3.586,2.589,-2.045
169,1100,4.263,3.039,-3.258
169,1200,5.098,3.575,-1.633
169,1300,5.808,4.016,1.177
169,1400,6.333,4.348,4.805
169,1500,6.662,4.531,8.71
169,1600,6.756,4.553,12.11
169,1700,6.561,4.414,13.62
169,1800,6.308,4.263,13.44
169,1900,5.545,3.802,11.06
169,2000,4.818,3.359,8.59
169,2100,3.993,2.853,5.721
169,2200,3.098,2.261,2.544
169,2300,2.249,1.665,-.119
170,0,1.53,1.125,-2.057
170,100,.973,.694,-3.563
170,200,.54,.413,-4.284
170,300,.224,.219,-5.061
170,400,.255,.213,-4.627
170,500,.403,.33,-4.277
170,600,.659,.509,-3.97
170,700,1.175,.862,-2.512
170,800,1.781,1.336,-2.149
170,900,2.499,1.886,-2.85
170,1000,3.387,2.488,-4
170,1100,4.312,3.089,-3.577
170,1200,5.073,3.556,-1.178
170,1300,5.892,4.054,1.787
170,1400,6.453,4.405,4.864
170,1500,5.756,3.971,6.3
170,1600,5.824,4.086,8.4
170,1700,4.395,3.187,5.598
170,1800,3.929,2.9,4.574
170,1900,3.539,2.596,4.642
170,2000,2.628,1.937,3.23
170,2100,2.038,1.505,2.668
170,2200,1.472,1.094,1.815
170,2300,.988,.735,1.21
171,0,.649,.482,.771
171,100,.434,.318,.465
171,200,.267,.195,-.645
171,300,.189,.138,-1.633
171,400,.204,.148,-1.514
171,500,.231,.167,-1.047
171,600,.264,.196,-1.996
171,700,.759,.55,-.246
171,800,1.235,.918,-1.904
171,900,2.508,1.854,-1.098
171,1000,3.377,2.442,-1.79
171,1100,4.259,3.022,-2.227
171,1200,5.072,3.557,-1.677
171,1300,5.768,3.969,.488
171,1400,6.331,4.319,3.628
171,1500,6.662,4.521,7.17
171,1600,6.765,4.557,10.64
171,1700,6.621,4.445,13.14
