day_of_year,hour,r1,r2,r3,NR
172,2100,4.315,4.135,3.446,-.848
172,2200,4.354,4.175,3.486,-.803
172,2300,4.105,3.94,3.302,-1.205
173,0,3.89,3.733,3.135,-1.488
173,100,3.762,3.607,3.032,-1.539
172,2100,3.594,3.439,2.902,-1.8
172,2200,3.325,3.181,2.702,-2.113
172,2300,2.787,2.661,2.278,-2.619
173,0,2.099,1.993,1.736,-3.038
173,100,2.339,2.225,1.957,-2.259
173,200,2.217,2.123,1.872,-2.011
172,2200,1.959,1.886,1.676,-1.951
172,2300,1.688,1.628,1.454,-2.174
173,0,1.975,1.893,1.688,-1.65
173,100,2.143,2.049,1.831,-1.64
173,200,1.708,1.614,1.458,-2.591
173,300,1.722,1.618,1.465,-2.752
172,2300,1.735,1.558,1.47,-2.959
173,0,1.534,.822,1.303,-2.932
173,100,1.158,.804,1.01,-2.839
173,200,.822,.774,.731,-2.737
173,300,.805,.793,.722,-1.498
173,400,.616,.605,.556,-2.108
173,0,.541,.519,.488,-3.253
173,100,.598,.587,.546,-2.729
173,200,.528,.525,.488,-3.187
173,300,.45,.456,.421,-3.562
173,400,.414,.424,.387,-3.47
173,500,.414,.419,.382,-3.024
173,100,.346,.362,.326,-2.654
173,200,.303,.31,.279,-1.931
173,300,.273,.28,.255,-2.561
173,400,.306,.318,.287,-2.728
173,500,.268,.283,.255,-3.015
173,600,.261,.275,.245,-1.86
173,200,.245,.258,.231,-2.205
173,300,.221,.234,.208,-3.002
173,400,.216,.222,.197,-1.676
173,500,.176,.18,.16,-1.329
173,600,.169,.173,.155,-1.293
173,700,.195,.199,.176,-1.681
173,300,.184,.188,.166,-1.438
173,400,.149,.151,.135,-.597
173,500,.133,.135,.121,-.267
173,600,.128,.129,.117,-.24
173,700,.136,.137,.123,-.255
173,800,.138,.14,.126,-.155
173,400,.151,.153,.137,-.047
173,500,.155,.156,.14,-.062
173,600,.174,.176,.158,-.043
173,700,.179,.181,.163,-.072
173,800,.201,.203,.182,-.062
173,900,.207,.21,.188,-.051
173,500,.196,.198,.178,-.084
173,600,.246,.249,.221,-.233
173,700,.24,.244,.218,-.359
173,800,.224,.227,.204,-.393
173,900,.257,.26,.233,-.352
173,1000,.308,.311,.278,-.431
173,600,.378,.383,.339,-.608
173,700,.448,.453,.4,-.221
173,800,.383,.387,.346,-.241
173,900,.394,.397,.355,-.247
173,1000,.522,.526,.467,-.15
173,1100,.592,.598,.528,-.387
173,700,.674,.681,.603,-1.282
173,800,.945,.956,.857,-2.099
173,900,.844,.854,.762,-3.06
173,1000,1.529,1.521,1.365,-2.016
173,1100,1.148,1.159,1.032,-2.497
173,1200,1.11,1.121,1.014,-3.382
173,800,1.942,1.942,1.772,-2.51
173,900,2.176,2.175,1.976,-2.388
173,1000,2.289,2.287,2.067,-2.326
173,1100,2.371,2.37,2.136,-2.316
173,1200,2.651,2.654,2.376,-1.963
173,1300,2.822,2.825,2.517,-1.771
173,900,3.009,3.012,2.677,-1.62
173,1000,3.193,3.193,2.831,-1.913
173,1100,3.356,3.35,2.965,-1.779
173,1200,3.523,3.515,3.098,-1.101
173,1300,3.686,3.672,3.226,-.945
173,1400,3.857,3.832,3.36,-.755
173,1000,4,3.966,3.468,-.521
173,1100,4.155,4.118,3.589,-.297
173,1200,4.097,4.278,3.714,-.086
173,1300,4.49,4.222,3.836,.165
173,1400,4.67,4.605,3.97,.424
173,1500,4.838,4.766,4.095,.622
173,1100,4.974,4.899,4.199,.75
173,1200,5.129,5.035,4.304,.933
173,1300,5.328,5.226,4.451,1.193
173,1400,5.488,5.371,4.559,1.422
173,1500,5.568,5.443,4.609,1.602
173,1600,5.666,5.535,4.678,1.874
173,1200,5.75,5.613,4.742,2.087
173,1300,5.858,5.715,4.821,2.339
173,1400,5.984,5.836,4.909,2.615
173,1500,6.066,5.919,4.964,2.803
173,1600,6.24,6.077,5.088,3.018
173,1700,6.335,6.157,5.146,3.154
173,1300,6.448,6.256,5.219,3.303
173,1400,6.543,6.337,5.268,3.534
173,1500,6.649,6.425,5.331,3.747
173,1600,6.736,6.501,5.371,3.981
173,1700,6.81,6.567,5.401,4.184
173,1800,6.923,6.679,5.466,4.498
173,1400,6.954,6.718,5.455,4.739
173,1500,6.959,6.735,5.421,4.993
173,1600,7.03,6.809,5.435,5.292
173,1700,7.14,6.919,5.483,5.589
173,1800,7.16,6.935,5.449,5.796
173,1900,7.16,6.942,5.424,6.013
173,1500,7.16,6.938,5.394,6.192
173,1600,7.18,6.959,5.387,6.384
173,1700,7.2,6.97,5.374,6.569
173,1800,7.22,6.993,5.372,6.799
173,1900,7.19,6.963,5.33,6.909
173,2000,7.16,6.923,5.28,6.983
173,1600,7.12,6.886,5.236,7.07
173,1700,7.08,6.847,5.191,7.17
173,1800,7.04,6.801,5.143,7.22
173,1900,6.971,6.74,5.081,7.24
173,2000,6.898,6.675,5.019,7.28
173,2100,6.822,6.607,4.958,7.27
173,1700,6.718,6.508,4.873,7.21
173,1800,6.641,6.437,4.809,7.18
173,1900,6.561,6.355,4.741,7.05
173,2000,6.469,6.265,4.667,6.909
173,2100,6.367,6.162,4.588,6.718
173,2200,6.282,6.077,4.522,6.602
173,1800,6.29,6.078,4.526,6.68
173,1900,6.178,5.982,4.463,6.728
173,2000,5.501,5.341,4.015,5.605
173,2100,5.366,5.215,3.939,5.51
173,2200,5.524,5.364,4.046,5.8
173,2300,5.705,5.549,4.183,6.42
173,1900,5.642,5.512,4.198,6.822
173,2000,6.123,6.019,4.61,8
173,2100,4.983,4.941,3.875,5.613
173,2200,3.788,3.782,3.038,3.474
173,2300,4.644,4.603,3.605,5.479
174,0,3.677,3.647,2.872,3.907
173,2000,3.139,3.112,2.452,2.631
173,2100,2.137,2.107,1.704,-.08
173,2200,2.375,2.323,1.858,.17
173,2300,2.352,2.312,1.861,-.203
174,0,4.033,3.901,3.001,3.131
174,100,3.898,3.789,2.912,2.629
173,2100,2.359,2.295,1.821,.33
173,2200,2.318,2.231,1.815,1.386
173,2300,2.69,2.604,2.093,2.345
174,0,2.854,2.766,2.216,2.544
174,100,1.699,1.643,1.353,-.899
174,200,1.147,1.112,.922,-2.557
173,2200,2.091,2.008,1.614,-.77
173,2300,2.026,1.938,1.564,-.77
174,0,1.766,1.694,1.379,-1.168
174,100,1.353,1.308,1.088,-1.222
174,200,1.212,1.169,.978,-1.826
174,300,1.282,1.22,1.027,-2.223
173,2300,1.186,1.053,.951,-2.321
174,0,.745,.661,.622,-3.098
174,100,.62,.593,.523,-2.801
174,200,.547,.54,.471,-2.697
174,300,.462,.458,.397,-2.971
174,400,.56,.555,.474,-1.877
174,0,.542,.554,.46,-.718
174,100,.486,.496,.407,-.219
174,200,.467,.478,.391,.073
174,300,.405,.414,.341,.233
174,400,.358,.367,.301,.232
174,500,.331,.338,.278,.254
174,100,.315,.323,.265,.259
174,200,.29,.298,.245,.044
174,300,.245,.252,.208,-.164
174,400,.216,.223,.186,.219
174,500,.212,.218,.18,.226
174,600,.224,.232,.19,.223
174,200,.212,.219,.18,-.175
174,300,.196,.207,.171,-2.139
174,400,.223,.242,.197,-2.36
174,500,.253,.275,.223,-1.617
174,600,.243,.266,.216,-.796
174,700,.215,.233,.19,-.613
174,300,.196,.21,.172,-.727
174,400,.187,.224,.193,-2.762
174,500,.346,.369,.309,-2.972
174,600,.425,.44,.371,-3.342
174,600,1.065,1.077,.914,-2.912
174,700,1.416,1.434,1.209,-2.081
174,800,2.258,2.285,1.892,-.628
174,900,3.194,3.219,2.594,1.416
174,1000,4.521,4.519,3.618,3.987
174,1100,4.168,4.132,3.253,3.149
174,1200,4.785,4.73,3.726,4.599
174,1300,3.913,3.929,3.166,3.489
174,1400,4.68,4.693,3.791,4.302
174,1500,6.408,6.31,4.829,8.24
174,1600,7.09,6.887,5.071,9.59
174,1700,6.129,5.962,4.371,7.77
174,1800,4.687,4.601,3.529,6.078
174,1900,5.461,5.307,3.912,7
174,2000,2.346,2.265,1.736,.251
174,2100,1.689,1.664,1.339,.95
174,2200,1.074,1.034,.861,-.562
174,2300,.741,.75,.61,.728
175,0,.411,.423,.343,-.293
175,100,.181,.201,.17,-3.59
175,200,.157,.199,.172,-3.822
175,300,.177,.237,.224,-3.84
175,400,.342,.353,.339,-3.934
175,500,.604,.611,.545,-3.594
175,600,1.12,1.128,.959,-2.89
175,700,1.752,1.769,1.493,-2.044
175,800,2.535,2.568,2.104,-.621
175,900,3.433,3.471,2.768,.992
175,1000,4.369,4.342,3.436,3.064
175,1100,5.322,5.257,4.038,4.961
175,1200,6.112,5.984,4.559,6.798
175,1300,6.729,6.523,4.911,8.1
175,1400,7.08,6.873,5.066,8.82
175,1500,7.17,6.957,5.055,9.18
175,1600,6.988,6.773,4.898,9.06
175,1700,6.577,6.378,4.608,8.12
175,1800,5.935,5.741,4.165,6.472
175,1900,5.099,4.934,3.602,4.668
175,2000,4.14,4.014,2.978,2.78
175,2100,3.185,3.077,2.339,.779
175,2200,2.452,2.345,1.846,-.344
175,2300,1.218,.779,.954,-2.594
176,0,.928,.892,.735,-3.483
176,100,.461,.487,.429,-4.433
176,200,.192,.315,.29,-4.911
176,300,.202,.271,.248,-4.735
176,400,.344,.361,.339,-4.858
176,500,.611,.623,.567,-4.481
176,600,1.102,1.112,.973,-3.712
176,700,1.739,1.754,1.515,-2.785
176,800,2.55,2.58,2.144,-1.216
176,900,3.459,3.491,2.828,.377
176,1000,4.389,4.353,3.496,2.308
176,1100,5.313,5.24,4.095,4.063
176,1200,6.09,5.961,4.605,5.979
176,1300,6.688,6.483,4.917,7.53
176,1400,7.04,6.831,5.051,8.57
176,1500,7.07,6.867,5.019,8.74
176,1600,5.707,5.579,4.152,6.043
176,1700,4.501,4.455,3.44,3.842
176,1800,5.091,5.012,3.784,5.088
176,1900,3.985,3.952,3.041,3.386
176,2000,2.704,2.665,2.061,.969
176,2100,2.108,2.048,1.6,-1.069
176,2200,2.22,2.115,1.684,-1.76
176,2300,1.465,.85,1.142,-3.294
177,0,.916,.879,.732,-4.424
177,100,.467,.496,.438,-5.137
177,200,.19,.306,.278,-5.259
177,300,.196,.268,.247,-4.931
177,400,.34,.36,.334,-4.804
177,500,.583,.594,.531,-4.286
177,600,1.042,1.051,.894,-3.036
177,700,1.423,1.44,1.161,.865
177,800,1.433,1.45,1.162,1.425
177,900,1.998,2.015,1.637,1.969
177,1000,2.383,2.397,1.978,1.913
177,1100,3.831,3.842,3.192,2.701
177,1200,4.727,4.72,3.971,3.285
177,1300,6.181,6.128,5.041,5.021
177,1400,5.935,5.888,4.741,5.162
177,1500,5.796,5.711,4.535,5.168
177,1600,5.787,5.716,4.566,5.35
177,1700,6.001,5.869,4.668,5.269
177,1800,5.609,5.463,4.327,4.186
177,1900,4.476,4.33,3.447,2.187
177,2000,3.801,3.69,2.98,1.349
177,2100,3.12,3.007,2.463,-1.019
177,2200,2.152,2.052,1.747,-2.319
177,2300,1.441,.812,1.201,-3.276
178,0,.894,.86,.764,-3.96
178,100,.451,.483,.456,-4.396
178,200,.199,.32,.309,-4.501
178,300,.197,.273,.266,-4.226
178,400,.34,.356,.347,-4.125
178,500,.611,.62,.573,-3.785
178,600,1.102,1.099,.973,-3.111
178,700,1.732,1.721,1.519,-2.489
178,800,2.546,2.54,2.178,-1.369
178,900,3.458,3.444,2.87,.072
178,1000,4.509,4.481,3.676,2.096
178,1100,5.479,5.378,4.329,3.189
178,1200,6.111,5.96,4.757,4.491
178,1300,6.684,6.481,5.117,5.577
178,1400,6.932,6.76,5.22,6.173
178,1500,6.842,6.671,5.102,6.17
178,1600,5.341,5.242,4.091,3.773
178,1700,4.568,4.545,3.641,2.765
178,1800,4.886,4.865,3.889,3.477
178,1900,4.143,4.12,3.291,2.198
178,2000,3.211,3.175,2.555,.585
178,2100,2.594,2.527,2.062,-1.025
178,2200,2.026,1.948,1.639,-2.184
178,2300,1.128,1.104,.94,-.681
179,0,.561,.571,.474,-1.307
179,100,.34,.352,.291,-1.799
179,200,.2,.217,.182,-3.055
179,300,.159,.169,.14,-3.102
179,400,.268,.281,.231,-2.032
179,500,.413,.425,.359,-2.858
179,600,.741,.75,.636,-3.097
179,700,1.48,1.497,1.261,-1.917
179,800,2.363,2.375,1.997,-1.49
179,900,3.309,3.31,2.727,-.275
179,1000,4.355,4.289,3.509,1.682
179,1100,5.299,5.196,4.139,3.236
179,1200,6.063,5.905,4.67,4.784
179,1300,6.667,6.441,5.032,5.947
179,1400,7.02,6.794,5.201,6.629
179,1500,7.1,6.888,5.203,6.961
179,1600,6.938,6.727,5.059,6.96
179,1700,6.526,6.343,4.763,6.114
179,1800,5.91,5.736,4.338,4.536
179,1900,5.065,4.92,3.768,2.689
179,2000,4.149,4.042,3.164,.652
179,2100,3.141,3.05,2.46,-1.39
179,2200,2.284,2.194,1.833,-2.841
179,2300,1.485,.827,1.22,-3.866
180,0,.893,.86,.756,-4.684
180,100,.456,.488,.462,-5.087
180,200,.19,.307,.298,-5.117
180,300,.195,.263,.247,-4.523
180,400,.238,.245,.209,-.991
180,500,.257,.26,.218,.162
180,600,.273,.277,.236,.174
180,700,.556,.559,.473,.424
180,800,1.144,1.147,.967,.747
180,900,1.897,1.903,1.612,1.013
180,1000,3.397,3.393,2.93,1.876
180,1100,3.313,3.319,2.9,1.144
180,1200,3.776,3.782,3.346,.901
180,1300,4.174,4.181,3.718,.826
180,1400,4.727,4.731,4.215,.754
180,1500,4.45,4.453,3.968,.75
180,1600,4.003,4.004,3.577,.638
180,1700,3.912,3.902,3.494,.547
180,1800,3.727,3.715,3.354,.398
180,1900,3.253,3.248,2.947,.247
180,2000,2.487,2.484,2.261,.164
180,2100,1.495,1.496,1.371,.157
180,2200,1.092,1.092,1.008,.121
180,2300,.872,.875,.807,.094
181,0,.458,.462,.428,.056
181,100,.312,.316,.292,.034
181,200,.203,.206,.191,-.055
181,300,.151,.153,.143,-.029
181,400,.172,.175,.163,-.034
181,500,.298,.302,.28,-.072
181,600,.567,.572,.529,-.089
181,700,.976,.98,.905,.076
181,800,1.632,1.638,1.513,.01
181,900,2.478,2.485,2.296,.388
181,1000,3.093,3.093,2.839,1.016
181,1100,4.958,4.912,4.471,2.288
181,1200,5.567,5.465,4.927,2.623
181,1300,6.591,6.468,5.813,3.258
181,1400,6.921,6.751,5.959,3.123
181,1500,6.56,6.413,5.63,1.778
181,1600,7.46,7.28,6.302,2.154
181,1700,6.756,6.573,5.624,1.23
181,1800,5.689,5.51,4.703,-.265
181,1900,5.086,4.924,4.225,-.716
181,2000,4.112,3.988,3.473,-1.747
181,2100,3.143,3.033,2.698,-2.778
181,2200,2.252,2.146,1.959,-3.549
181,2300,1.487,.828,1.313,-3.987
182,0,.894,.849,.807,-4.254
182,100,.435,.449,.46,-4.37
182,200,.183,.263,.27,-4.102
182,300,.187,.24,.247,-3.804
182,400,.328,.336,.346,-3.872
182,500,.598,.591,.582,-3.887
182,600,1.094,1.062,.991,-3.432
182,700,1.729,1.688,1.567,-2.884
182,800,2.542,2.521,2.282,-2.053
182,900,3.441,3.437,3.039,-1.257
182,1000,4.363,4.312,3.796,.04
182,1100,5.25,5.156,4.45,1.014
182,1200,6.058,5.909,5.083,2.092
182,1300,6.653,6.434,5.497,2.76
182,1400,7.03,6.815,5.742,3.026
182,1500,7.08,6.868,5.729,3.099
182,1600,6.86,6.649,5.524,3.05
182,1700,6.535,6.337,5.256,2.629
182,1800,5.901,5.712,4.749,1.443
182,1900,5.023,4.867,4.067,.202
182,2000,4.096,3.974,3.365,-1.096
182,2100,3.141,3.035,2.622,-2.366
182,2200,2.241,2.141,1.899,-3.308
182,2300,1.463,.826,1.263,-3.984
183,0,.869,.832,.767,-4.446
183,100,.425,.451,.449,-4.743
183,200,.183,.284,.29,-4.745
183,300,.182,.246,.25,-4.516
183,400,.282,.3,.3,-4.516
183,500,.454,.465,.44,-4.209
183,600,1.001,.996,.904,-3.625
183,700,1.684,1.667,1.512,-2.984
183,800,2.471,2.45,2.176,-2.027
183,900,3.375,3.351,2.917,-.981
183,1000,4.364,4.3,3.72,.431
183,1100,5.306,5.203,4.429,1.483
183,1200,6.052,5.915,5.02,2.475
183,1300,6.956,6.774,5.677,3.93
183,1400,6.425,6.279,5.13,3.894
183,1500,6.869,6.77,5.435,6.13
183,1600,6.179,6.078,4.854,5.532
183,1700,5.94,5.891,4.728,5.474
183,1800,6.328,6.221,4.894,6.521
183,1900,5.064,4.925,3.82,2.822
183,2000,2.844,2.761,2.226,-.077
183,2100,2.246,2.222,1.818,1.361
183,2200,1.759,1.723,1.444,-.769
183,2300,.877,.774,.737,-2.877
184,0,.647,.645,.552,-2.679
184,100,.351,.378,.329,-2.739
184,200,.178,.211,.182,-3.591
184,300,.166,.203,.184,-4.283
184,400,.276,.297,.279,-4.257
184,500,.531,.545,.499,-3.955
184,600,.995,1.005,.875,-3.25
184,700,1.628,1.638,1.425,-2.395
184,800,2.469,2.491,2.119,-1.128
184,900,3.333,3.36,2.799,.044
184,1000,4.245,4.217,3.507,1.659
184,1100,5.171,5.108,4.15,2.967
184,1200,5.822,5.716,4.611,4.172
184,1300,6.541,6.378,5.088,5.42
184,1400,7,6.822,5.333,6.146
184,1500,7.05,6.869,5.282,6.39
184,1600,6.955,6.777,5.17,6.422
184,1700,6.154,6.008,4.557,5.141
184,1800,5.8,5.646,4.306,4.205
184,1900,4.813,4.685,3.595,2.019
184,2000,3.183,3.109,2.441,-.356
184,2100,2.981,2.907,2.339,-.386
184,2200,1.943,1.88,1.561,-1.405
184,2300,1.385,1.323,1.128,.089
185,0,.832,.834,.694,-1.069
185,100,.448,.48,.404,-1.674
185,200,.196,.261,.233,-2.904
185,300,.19,.229,.203,-2.671
185,400,.288,.311,.265,-3.407
185,500,.517,.534,.482,-4.114
185,600,.956,.97,.83,-3.39
185,700,1.368,1.394,1.162,-1.074
185,800,2.134,2.17,1.82,-1.542
185,900,3.324,3.369,2.784,-.32
185,1000,4.254,4.268,3.49,1.426
185,1100,4.768,4.732,3.798,2.302
185,1200,4.974,4.919,3.921,3.191
185,1300,5.781,5.686,4.489,5.014
185,1400,3.887,3.918,3.219,2.573
185,1500,3.177,3.223,2.696,1.444
185,1600,3.4,3.443,2.853,1.834
185,1700,2.932,2.966,2.483,1.198
185,1800,2.698,2.731,2.332,1.029
185,1900,2.839,2.872,2.504,.743
185,2000,2.336,2.358,2.093,.484
185,2100,1.65,1.671,1.487,.376
185,2200,1.153,1.169,1.016,.44
185,2300,.809,.822,.711,.389
186,0,.308,.314,.283,-.286
186,100,.217,.223,.2,-.134
186,200,.157,.167,.151,-.853
186,300,.137,.144,.13,-.43
186,400,.158,.166,.151,-.805
186,500,.387,.401,.361,-.041
186,600,.598,.617,.555,.056
186,700,1.075,1.091,.964,.419
186,800,1.999,2.024,1.785,.697
186,900,2.001,2.021,1.789,.719
186,1000,2.888,2.908,2.575,1.03
186,1100,3.159,3.171,2.803,.912
186,1200,4.192,4.199,3.713,1.362
186,1300,4.828,4.84,4.273,1.245
186,1400,4.38,4.393,3.903,.559
186,1500,4.842,4.86,4.353,.363
186,1600,5.042,5.058,4.539,.489
186,1700,5.033,5.046,4.513,.749
186,1800,4.711,4.699,4.185,1.008
186,1900,3.795,3.773,3.367,.711
186,2000,2.476,2.458,2.213,-.012
186,2100,1.845,1.8,1.644,-.959
186,2200,1.363,1.292,1.207,-1.838
186,2300,.956,.912,.87,-1.166
187,0,.464,.469,.439,-1.999
187,100,.303,.326,.303,-2.7
187,200,.179,.263,.26,-3.852
187,300,.172,.225,.222,-3.506
187,400,.29,.302,.302,-3.315
187,500,.538,.54,.522,-3.105
187,600,1.045,1.025,.954,-2.797
187,700,1.68,1.647,1.548,-2.535
187,800,2.456,2.421,2.242,-1.949
187,900,3.387,3.369,3.061,-1.299
187,1000,4.288,4.238,3.826,-.267
187,1100,5.228,5.133,4.534,.56
187,1200,5.993,5.848,5.136,1.41
187,1300,6.583,6.373,5.539,2.141
187,1400,6.928,6.707,5.727,2.475
187,1500,7.01,6.807,5.723,2.605
187,1600,6.829,6.625,5.531,2.706
187,1700,6.426,6.234,5.191,2.195
187,1800,5.79,5.607,4.675,.979
187,1900,4.985,4.839,4.042,-.211
187,2000,4.057,3.947,3.327,-1.354
187,2100,3.098,3.005,2.579,-2.611
187,2200,2.196,2.107,1.854,-3.216
187,2300,1.428,.813,1.22,-3.723
188,0,.834,.8,.724,-4.238
188,100,.402,.426,.414,-4.456
188,200,.165,.253,.253,-4.239
188,300,.16,.213,.213,-4.018
188,400,.261,.273,.273,-3.926
188,500,.486,.488,.472,-3.761
188,600,.952,.939,.865,-3.433
188,700,1.59,1.568,1.45,-2.989
188,800,2.405,2.382,2.171,-2.177
188,900,3.319,3.295,2.939,-1.129
188,1000,4.248,4.177,3.693,.203
188,1100,5.179,5.07,4.351,1.395
188,1200,5.95,5.787,4.902,2.722
188,1300,6.541,6.314,5.312,3.429
188,1400,6.897,6.661,5.506,3.843
188,1500,7,6.784,5.545,3.811
188,1600,6.84,6.623,5.376,3.96
188,1700,6.434,6.229,5.056,3.292
188,1800,5.809,5.612,4.574,1.988
188,1900,4.991,4.833,3.964,.709
188,2000,4.049,3.938,3.273,-.627
188,2100,3.085,2.995,2.539,-1.958
188,2200,2.18,2.097,1.819,-2.952
188,2300,1.405,.82,1.186,-3.675
189,0,.807,.786,.698,-4.331
189,100,.379,.413,.388,-4.731
189,200,.159,.249,.238,-4.741
189,300,.153,.211,.203,-4.564
189,400,.255,.281,.272,-4.583
189,500,.483,.508,.477,-4.336
189,600,.93,.957,.85,-3.809
189,700,1.527,1.559,1.379,-3.138
189,800,2.309,2.356,2.048,-2.104
189,900,3.216,3.269,2.799,-.989
189,1000,4.159,4.163,3.547,.531
189,1100,5.109,5.067,4.239,1.687
189,1200,5.917,5.812,4.854,2.845
189,1300,6.539,6.365,5.267,3.821
189,1400,6.906,6.711,5.438,4.551
189,1500,7.02,6.836,5.356,5.683
189,1600,6.879,6.691,5.118,6.656
189,1700,6.465,6.284,4.737,6.376
189,1800,5.817,5.641,4.227,5.036
189,1900,5.025,4.882,3.658,3.506
189,2000,4.1,3.999,3.028,1.569
189,2100,3.159,3.08,2.361,-.314
189,2200,2.249,2.174,1.687,-1.986
189,2300,1.468,.814,1.102,-3.312
190,0,.83,.809,.653,-4.598
190,100,.378,.402,.354,-5.142
190,200,.143,.201,.175,-4.829
190,300,.131,.17,.148,-4.66
190,400,.203,.224,.199,-4.662
190,500,.38,.402,.349,-4.376
190,600,.773,.798,.665,-3.733
190,700,1.488,1.518,1.265,-2.657
190,800,2.322,2.368,1.945,-1.29
190,900,3.276,3.331,2.692,.305
190,1000,4.192,4.205,3.39,2.117
190,1100,5.155,5.112,4.033,3.69
190,1200,5.959,5.855,4.563,5.396
190,1300,6.574,6.402,4.91,6.821
190,1400,6.958,6.762,5.075,7.74
190,1500,7.07,6.891,5.065,8.2
190,1600,6.922,6.734,4.897,8.43
190,1700,6.512,6.331,4.581,7.72
190,1800,5.793,5.621,4.069,5.935
190,1900,5.045,4.907,3.574,4.278
190,2000,4.161,4.064,3.001,2.302
190,2100,3.251,3.17,2.382,.376
190,2200,2.204,2.133,1.644,-1.903
190,2300,1.026,.852,.79,-3.272
191,0,.396,.411,.331,-2.796
191,100,.236,.247,.194,-1.811
191,200,.138,.149,.118,-2.512
191,300,.116,.124,.098,-2.499
191,400,.148,.157,.124,-2.434
191,500,.253,.267,.208,-2.572
191,600,.53,.551,.427,-1.463
191,700,.998,1.028,.796,-.413
191,800,1.765,1.806,1.401,.628
191,900,2.561,2.606,2.014,1.571
