day_of_year,hour,VW1,TA1,TA2,RH1,VW2,TA1_max,TA2_max,RH1_max,VW1_min,TA1_min,TA2_min,RH1_min,DW1,unkw
163,600,5.33,404.8,-4.538,89.7,6.518,405.2,-4.231,90.9,4.649,404.5,-4.929,88.9,131.3,
163,900,6.704,404.1,-5.254,87.7,7.34,404.5,-4.924,88.9,6.276,403.7,-5.537,86.9,125.8,
163,1200,6.179,405.6,-4.025,86.3,7.38,406.8,-2.915,87.3,5.046,404.3,-5.079,85.8,150.9,
163,1500,4.665,408,-1.879,88.4,5.2,409.9,-.988,89.1,3.883,406.8,-2.776,87.4,179.2,
163,1800,2.881,411.2,-.44,88.9,4.025,412.2,-.042,89.8,2.056,409.8,-.969,87.9,190.7,
163,2100,2.726,411.3,-.48,88.5,2.972,411.8,-.065,89.6,2.088,411,-.75,87.1,180.4,
164,0,3.143,411,-.78,88.6,3.626,411.5,-.512,89.3,2.548,410.3,-1.317,88,178.9,
164,300,4.094,408.2,-1.975,88.2,4.899,410.2,-1.298,89.1,2.553,406.9,-2.517,87.3,143.3,
164,600,5.516,406.4,-2.997,84.1,6.249,407.1,-2.455,87.6,4.369,405.6,-3.651,78.8,137.3,
164,900,6.131,404.8,-4.099,75.8,6.497,405.5,-3.641,78,5.723,404.4,-4.37,72.9,127.4,
164,1200,6.978,404.4,-4.559,73.6,7.64,405,-3.926,75.6,6.241,403.8,-5.039,71.2,113.2,
164,1500,7.26,405.7,-3.687,75.4,7.91,408.5,-1.752,76.4,6.558,404.3,-4.768,74.6,165.8,
164,1800,6.898,409.4,-.775,75.3,7.68,410.2,-.083,77.6,6.17,408.1,-1.695,73.6,209.6,
164,2100,6.612,408.9,-.917,74,7.12,409.2,-.455,76.2,5.948,408.5,-1.543,72.6,197,
165,0,6.942,407.3,-2.462,75.9,7.56,408.4,-1.648,76.7,6.267,406,-3.478,74.5,141,
165,300,8.06,404,-4.913,75.8,8.73,405.8,-3.555,76.5,7.39,402.3,-6.194,75.1,132.8,
165,600,8.79,401.2,-6.971,74.7,9.51,402.2,-6.273,75.1,8.27,400.5,-7.55,74.5,126.4,
165,900,8.63,401.1,-7.16,75.4,9.14,402.2,-6.466,76.1,8.08,400.3,-7.71,74.5,133.1,
165,1200,8.19,404.2,-4.976,77.2,9.19,406.1,-3.656,77.9,7.5,402.5,-6.23,76.1,141.3,
165,1500,7.27,407.4,-2.4,77.5,7.82,408.4,-1.393,78.1,6.43,406.2,-3.56,76.9,367.2,
165,2100,2.94,10.47,.158,72.2,3.798,10.91,.253,74.9,1.403,10.04,.09,70,411.6,
166,0,2.064,8.78,-.827,80.6,3.383,10.7,.176,84.5,1.176,6.701,-2.695,75.5,384.2,
166,300,4.819,4.486,-4.279,79.4,6.004,6.425,-2.877,82.3,3.641,2.664,-5.454,76.9,136.7,
166,600,6.567,1.842,-6.254,75,6.961,2.733,-5.611,76.8,5.967,1.454,-6.544,73.2,138,
166,900,7.2,1.877,-6.457,72.6,7.6,2.666,-6.033,73.1,6.527,1.35,-6.727,72.2,132.8,
166,1200,7.31,4.228,-4.969,73,7.47,5.847,-3.728,73.4,7.08,2.804,-5.964,72.5,134.1,
166,1500,6.578,7.39,-2.254,73.9,7.21,8.67,-1.002,74.5,5.544,6.088,-3.555,73.1,365,
166,1800,5.165,9.48,-.38,74.9,5.493,10.05,-.046,75.4,4.756,8.64,-.869,74.1,399.4,
166,2100,4.457,10.29,.142,76.4,5.329,10.66,.386,78.7,3.467,9.97,-.099,74.6,420.1,
167,0,3.913,8.84,-.955,79.8,4.759,10.01,-.132,80.5,3.081,7.08,-2.35,78.9,379.5,
167,300,5.644,4.904,-4.085,78.8,6.556,6.67,-2.661,79.7,4.707,3.459,-5.274,77.7,137,
167,600,7.41,2.592,-5.958,76.6,8.08,3.253,-5.372,78,6.444,2.215,-6.274,74.8,137.1,
167,900,8,2.833,-5.988,73.1,8.21,3.669,-5.465,74.7,7.73,2.389,-6.303,71.7,129.9,
167,1200,8.25,5.442,-4.142,72.4,8.82,7.23,-2.79,73.3,7.64,3.6,-5.489,71.8,142.1,
167,1500,7.33,8.98,-1.072,74.2,8.07,10.71,.376,75.2,6.538,7.33,-2.68,73.6,309.5,
167,1800,5.7,11.4,1.231,73.5,6.585,11.98,1.655,74.3,4.72,10.54,.504,72.1,334.1,
167,2100,5.442,11.93,2.047,75.8,5.633,12.11,2.208,76.6,5.041,11.7,1.919,74.1,353.3,80.6
168,0,6.289,11.28,1.616,76.3,7.32,11.53,1.809,77.6,4.994,10.74,1.12,74.6,345.7,78.6
168,300,8.76,9.51,-.032,74.5,9.54,10.81,1.162,75.1,7.2,8.43,-.939,73.3,164.3,76.5
168,600,9.72,8.43,-.882,73.4,10.41,8.99,-.308,74.1,8.82,8.06,-1.298,72.6,162.5,74.9
168,900,9.37,9.43,.181,79.6,10.8,10.1,1.227,94.6,7.24,8.99,-.39,69.62,250.8,72.4
168,1200,8.37,9.48,-.22,99.8,9.64,9.75,.388,101.1,7.21,9.23,-.711,95.2,431.2,74.7
168,1500,7.86,10.22,-.08,99.5,8.98,11.23,.534,100.6,5.918,9.58,-.501,98.3,428.1,76.8
168,1800,5.759,11.33,1.354,95.2,6.24,11.77,1.904,98,4.829,10.85,.692,92.1,470.4,76.6
168,2100,4.129,11.62,1.975,89.6,5.137,11.98,2.256,91.7,3.59,11.36,1.742,87.7,409.1,75.9
169,0,3.747,11.85,2.562,86,6.833,12.61,3.342,88.6,1.912,11.29,1.891,82,390.5,74.4
169,300,1.317,11.8,2.343,91,7.29,12.3,2.871,92,0,11.44,1.901,88.7,444.2,73.5
169,600,.009,11.26,1.704,92.8,.16,11.75,2.174,94.4,0,10.71,1.12,91.4,495.1,74.7
169,900,0,9.74,-.135,98.6,0,10.99,1.277,101.6,0,8.88,-1.15,93,478.3,77.4
169,1200,0,9.49,-.356,100.6,0,9.75,-.062,101.8,0,9.23,-.696,100,473.7,79.8
169,1500,0,10.38,-.107,99,0,12.2,2.099,101.2,0,9.13,-.811,93.5,412.3,79.9
169,1800,0,11.25,1.656,93,0,12.28,2.193,94.8,0,10.64,1.197,91.5,459.3,78.5
169,2100,0,12.5,1.764,93.8,0,12.76,2.258,94.5,0,12.14,1.399,92.7,486.5,78.4
170,0,0,11.45,.658,96.3,.01,12.32,1.495,98.5,0,10.88,.189,94,467.3,78.4
170,300,0,11.14,.538,97.8,0,11.26,.705,99.4,0,10.98,.198,96.3,470.5,77.3
170,600,0,10.45,-.017,98.3,0,11.26,.729,100.6,0,8.26,-2.077,96.3,-6999,77.1
170,900,0,6.234,-3.845,99.1,0,8.33,-2.053,100.6,0,5.013,-4.796,96.9,386.7,79.6
170,1200,.05,7.59,-2.502,96.3,.899,10.02,-.196,96.8,0,6.396,-3.69,95.5,297.3,80.1
170,1500,1.847,12.19,1.881,90.3,3.229,13.55,3.505,96.2,0,9.95,-.06,86.5,330.5,79.6
170,1800,0,13.82,3.356,87.1,.005,14.52,4.251,90,0,13.06,2.578,83.3,347.4,79.4
170,2100,0,13.97,3.076,88.6,0,14.38,3.394,89.5,0,13.7,2.664,87.7,298,78.5
171,0,0,13.86,2.968,88.7,0,14.23,3.529,89.9,0,13.53,2.62,86.7,317.5,77.4
171,300,0,13.6,2.861,88.9,0,13.99,3.333,90.4,0,13.2,2.416,87.1,300.2,77.9
171,600,0,13.48,2.897,87.5,0,13.72,3.162,88.1,0,13.23,2.657,86.4,153.7,78.4
171,900,0,13.61,3.339,85,0,14.27,4.002,86.4,0,13.26,3.033,83.3,164.1,78
171,1200,.001,13.01,3.013,84.9,.012,13.72,3.718,86.5,0,12.61,2.51,82.6,174.7,79.1
171,1500,0,12.74,2.538,86.5,0,12.95,2.783,87.7,0,12.37,2.234,85.4,161,80.3
171,1800,0,12.44,2.16,87.4,0,13.22,3.173,94.7,0,11.43,.817,83.8,185.3,82.7
171,2100,0,10.4,-.302,101.2,0,11.22,.622,102,0,9.88,-.931,96.9,179.8,88.3
172,0,0,9.29,-1.384,101.8,0,9.88,-.892,101.9,0,8.71,-1.876,101.7,191,92.3
172,300,.004,8.82,-1.692,101.9,.073,9.16,-1.326,102.2,0,8.64,-1.89,101.8,191.2,93.7
172,600,.003,8.79,-1.557,101.6,.021,9.09,-1.326,102.2,0,7.64,-2.115,101.1,189.7,94.5
172,900,.003,6.97,-2.621,92.8,.034,8.47,-1.646,101,0,5.532,-3.69,84.1,123.1,93.2
172,1200,0,9.51,-.777,82.4,0,10.47,.115,83.8,0,8.51,-1.588,81.1,113.1,91.5
172,1500,.008,11.64,1.435,79.1,.094,12.26,2.304,81.1,0,10.75,.257,76.9,113,89
172,1800,0,12.79,2.935,76.4,0,13.2,3.375,78.2,0,12.15,2.232,75.2,88.6,86.4
172,2100,2.901,13.22,3.442,75.6,6.582,13.44,3.637,76,0,13,3.331,74.8,99,84.2
173,0,5.561,12.25,2.249,80.2,6.451,13.28,3.391,85.8,4.578,10.98,.793,76,151.2,84.1
173,300,5.245,10.6,.38,87.5,6.367,11.26,.899,89.1,4.195,9.74,-.358,86.4,164.2,84.6
173,600,4.026,10.51,.133,91.6,4.657,10.89,.348,94.1,3.131,9.78,-.377,88.5,140.3,85.2
173,900,4.017,10.83,.301,99,4.895,10.96,.395,101,2.894,10.71,.162,94.9,171.5,86.6
173,1200,3.418,11.06,.535,101.1,4.396,11.33,.785,101.4,2.618,10.88,.352,100.8,164.3,87.8
173,1500,3.428,10.99,.443,100.5,4.312,11.4,.846,101,2.697,10.53,.007,99.5,170.3,88.5
173,1800,3.82,11.33,.801,96.7,4.696,11.76,1.172,99.8,3.155,10.98,.463,93.6,155.9,88.8
173,2100,3.633,11.44,.865,95.3,4.024,11.66,1.023,96.2,3.307,11.25,.708,94,143.7,88.4
174,0,3.155,10.8,.394,94.1,3.577,11.35,.738,95.2,2.304,10.12,-.202,92.6,132.7,87.7
174,300,3.868,8.9,-1.066,93.2,4.979,10.12,-.25,94.1,3.02,8.47,-1.541,91.4,110.3,85.7
174,600,5.797,7.68,-2.297,88.9,6.599,8.37,-1.599,91.3,4.473,6.985,-2.872,87.2,105.8,84
174,900,7.14,7.7,-2.354,85.8,7.88,8.16,-1.957,87.3,6.636,6.951,-2.944,84.4,113.1,82.4
174,1200,7.08,9.4,-.922,83.7,7.51,10.81,.352,85.2,6.782,7.99,-2.139,81.7,116.7,80.6
174,1500,6.147,11.57,1.331,81.4,7.27,12.18,2.188,81.9,5.124,10.85,.428,81,109.3,78.7
174,1800,5.056,12.42,2.534,80.5,5.968,12.65,2.709,81.7,4.043,12.22,2.191,78.5,104.4,77.2
174,2100,4.335,12.11,2.176,79.7,5.859,12.51,2.587,80.5,3.486,11.68,1.871,79,93.4,75.1
175,0,5.076,11.62,1.758,78.1,6.253,12.41,2.487,79.3,4.237,10.63,.682,76.4,78.2,73.3
175,300,5.825,10.1,.129,78.1,6.884,10.91,.678,80,5.29,8.95,-.973,76.9,108.5,70.8
175,600,4.273,6.529,-3.174,90,6.821,8.61,-1.36,98.3,2.652,5.497,-4.215,79.3,129.8,70.7
175,900,5.466,8.92,-1.096,84.1,6.902,10.34,.11,86.5,3.991,6.744,-2.68,82.1,148.2,70.3
175,1200,3.911,8.37,-2.048,91.7,5.448,10.3,.054,99.4,2.121,6.844,-3.482,83.2,176.1,71.7
175,1500,4.581,8.71,-1.83,97.5,5.526,10.26,-.236,99.4,3.525,7.53,-2.844,94.3,147,72.3
175,1800,4.629,11.96,1.623,91.7,6.017,12.59,2.29,94.4,2.442,10.26,-.188,90.1,158.3,73.2
175,2100,3.071,12.51,2.114,92.3,4.036,12.69,2.284,93.3,2.183,12.17,1.797,91.7,140.4,74
176,0,3.793,11.85,1.477,93.2,4.96,12.04,1.731,94.1,3.079,11.43,1.055,92.2,147.6,74.4
176,300,4.417,11.03,.903,92.2,5.075,11.6,1.352,92.7,3.285,10.33,.356,91.3,124.6,74.1
176,600,5.621,10.45,.436,88.2,7.38,10.71,.762,91.1,3.299,10.23,.091,84.2,128.5,73.5
176,900,6.909,10.2,.116,82,7.58,10.82,.611,84.1,6.011,9.61,-.429,80.2,113.2,72.6
176,1200,5.768,11.64,1.529,82.6,6.769,12.19,2.172,83.8,4.265,10.82,.644,81.6,94.3,70.9
176,1500,5.015,12.64,2.774,82.4,5.478,13.08,3.7,83.4,4.309,12.19,2.283,80.5,85.3,68.4
176,1800,4.439,13.07,3.654,80.5,5.696,13.76,4.281,84,3.368,12.71,3.045,76.5,84.3,65.95
176,2100,4.465,13.1,3.431,83.8,4.885,13.44,3.726,84.7,4.005,12.85,3.241,83,95.9,63.81
177,0,4.598,13.01,3.27,84.6,4.905,13.51,3.783,86,4.048,12.56,2.668,83.7,110.8,63.12
177,300,4.552,12.05,1.914,90.1,5.344,13.05,3.056,94.9,3.583,10.78,.408,85.1,154.9,64.38
177,600,6.255,11.48,1.055,97.4,8.89,12.09,1.764,99.5,2.984,10.26,-.131,94.9,147.9,65.81
177,900,7.82,12.02,1.656,95.1,8.76,12.51,2.185,97.8,5.267,11.54,1.11,90.6,150.4,67.13
177,1200,7.63,12.7,2.386,83.2,8.54,12.99,2.731,90.2,5.91,12.26,2.063,80.7,145.2,67.8
177,1500,7.63,12.74,2.526,80.9,8.55,12.88,2.659,81.9,6.337,12.5,2.377,79.7,149.7,69.02
177,1800,5.042,11.91,1.654,88,6.399,12.7,2.527,100.6,3.514,10.49,-.148,81.7,169.6,70.6
177,2100,4.27,10.57,-.007,101.9,5.042,10.84,.269,102.5,3.669,9.95,-.76,100.9,190.9,72.7
178,0,2.244,8.6,-2.034,102.2,5.02,9.71,-.998,102.4,0,7.74,-2.776,102,180.7,74.9
178,300,0,7.34,-3.064,101.6,0,7.64,-2.848,102,0,6.777,-3.497,101.2,194.8,76.2
178,600,0,7.2,-3.106,100.3,0,7.75,-2.522,101.3,0,6.777,-3.473,98.1,155.5,77.3
178,900,0,8.52,-1.99,96.4,0,9.37,-1.46,98.2,0,7.99,-2.388,94.4,167.9,77.7
178,1200,2.488,10.08,-.744,94.5,3.163,11.09,-.177,96.9,0,9.44,-1.331,92.7,181.6,78.1
178,1500,2.557,10.73,-.11,94.7,2.973,12.09,.277,95.9,1.853,10.15,-.528,93.8,145.9,77.8
178,1800,2.284,11.47,1.077,93.4,2.788,12.14,1.535,94,1.387,10.94,.535,92,154.6,77
178,2100,2.975,11.47,.877,86.6,3.856,12,1.393,91.5,1.937,11.1,.573,83.7,128.8,76.1
179,0,4.771,10.45,.011,91.9,5.559,11,.488,92.9,3.859,9.88,-.536,88.8,144.3,75.8
179,300,5.775,9.04,-1.106,91.3,6.401,9.5,-.765,92.7,5.118,8.71,-1.308,89.3,138,75.2
179,600,5.943,9.51,-.639,89.9,6.347,9.99,-.237,91.4,5.416,8.99,-1.049,89.1,141.8,74.9
179,900,5.818,10.59,.159,91.4,7.18,11.02,.53,92,5.199,9.65,-.543,91.1,148.8,74.6
179,1200,5.639,11.02,.557,90.6,6.519,11.26,.781,91,4.51,10.54,.242,90.1,171.5,75.2
179,1500,3.983,11.78,1.245,87.9,5.011,12.36,1.742,90.9,2.843,10.85,.352,85,148.2,75.2
179,1800,4.178,12.37,2.027,86.5,5.115,12.63,2.304,87.5,2.84,12.17,1.741,85.6,149.8,75.3
179,2100,3.146,11.96,1.523,88.2,3.808,12.59,2.079,89.1,2.302,11.11,.97,87.3,132.4,75.9
180,0,2.821,11.32,1.041,87.6,3.933,11.7,1.327,89.3,1.637,10.97,.854,85.5,141.9,76
180,300,3.644,10.43,.135,94.1,5.655,11.12,.927,96.9,2.25,9.33,-.74,89.4,139.7,76.8
180,600,4.941,10.63,.293,93.2,5.916,11.48,1.031,94.3,3.38,9.64,-.673,91.8,145.6,77.7
180,900,4.346,10.95,.557,91.4,5.051,11.54,1.034,94.2,3.01,9.95,-.053,87.5,131.3,78.7
180,1200,4.547,11.79,1.4,86.7,5.274,12.47,2.153,88.1,4.004,11.16,.876,85.1,134.6,79.3
180,1500,3.249,12.9,2.569,86.8,4.016,13.57,3.057,87.5,2.283,12.23,1.881,86.2,134.3,79.4
180,1800,5.114,12.93,2.818,86.6,6.317,13.17,3.047,87.6,3.249,12.69,2.418,86,127.2,79.6
180,2100,6.447,13.21,3.126,84.9,7.11,13.52,3.394,86.1,5.908,12.97,2.887,83.5,123.7,79.5
181,0,8.43,13.27,3.205,81.9,9.19,13.52,3.367,83.6,7.29,13.02,2.944,79.9,131.9,79.8
181,300,8.39,12.77,2.687,78.9,8.8,13.22,3.182,80,7.85,12.02,1.944,78,112.8,80.1
181,600,9.07,11.22,1.052,76.2,10.58,12.26,2.082,78,7.83,10.54,.357,74.5,126.7,79.8
181,900,9.89,10.37,.113,75,11.06,10.75,.353,75.5,8.86,9.92,-.324,74.5,120.3,79.9
181,1200,9.74,10.98,.598,74.6,10.82,11.88,1.439,75.1,8.62,10.16,-.111,73.2,125.3,79.8
181,1500,8.52,12.01,1.69,75,9.27,12.19,1.981,76.1,7.83,11.71,1.271,73.8,110.9,79.5
181,1800,7.04,12.3,2.152,76.8,8.01,12.39,2.284,79.4,5.654,12.18,1.969,75.5,97.5,79.6
181,2100,6.076,12.54,2.334,79.5,6.827,12.75,2.449,80.4,5.256,12.24,2.054,78.3,122.3,79.8
182,0,5.034,12.06,1.874,80.5,5.413,12.55,2.349,81.8,4.507,11.22,.988,79.5,128.8,80.4
182,300,5.067,10.35,.321,81.6,5.59,11.05,.897,81.9,4.685,9.57,-.349,81.4,122.2,80.8
182,600,5.453,9.07,-.895,81.2,5.948,9.71,-.324,81.6,4.577,8.4,-1.613,80.7,119.4,81.5
182,900,6.233,8.75,-1.32,80.3,6.7,9.3,-.91,80.9,5.554,8.33,-1.651,79.6,124,81.6
182,1200,6.113,10.24,-.139,79.3,6.581,11.3,.752,79.8,5.738,9.3,-.863,78.7,120.4,81.5
182,1500,5.17,11.89,1.61,80.4,5.866,12.42,2.2,80.8,4.779,11.19,.799,79.7,125.1,80.4
182,1800,5.363,12.55,2.407,81,6.206,12.79,2.601,81.5,5.011,12.31,2.213,80.5,116.9,79.6
182,2100,4.982,12.64,2.623,80.9,5.392,12.75,2.679,82,4.316,12.54,2.543,79.8,113,79.1
183,0,5.399,12.35,2.229,80.5,5.581,12.75,2.586,81.5,5.136,11.91,1.673,79.3,123.3,79.4
183,300,6.616,11.57,1.425,79.2,7.81,11.98,1.649,81.2,5.293,10.88,.857,77,135.2,79.9
183,600,8.38,10.49,.409,76.6,9.57,11.2,.977,77.9,7.33,9.71,-.228,74.4,126.7,80.6
183,900,8.85,9.34,-.768,75.1,9.57,9.61,-.525,75.9,8.26,9.13,-.954,74.1,130.7,81.1
183,1200,8.92,10.22,-.106,75.1,9.59,11.09,.628,76,8.1,9.37,-.829,74.6,123.4,81.6
183,1500,7.87,11.95,1.609,76.5,9.13,12.5,2.208,77.8,6.835,11.33,.791,75.5,124.8,81.4
183,1800,6.538,12.71,2.591,77.2,7.86,12.87,2.781,78.3,5.561,12.39,2.279,76.2,127.2,81.4
183,2100,6.121,12.92,2.757,78.8,6.789,13.03,2.878,80.1,5.064,12.72,2.57,78.1,121.2,81.6
184,0,4.465,12.36,2.205,80.9,5.011,12.72,2.572,81.9,3.835,11.53,1.411,80.1,124.8,81.6
184,300,5.395,10.61,.545,81.2,6.333,11.5,1.293,81.8,4.544,9.74,-.311,80.8,123.1,81.7
184,600,5.986,8.75,-1.236,80.1,6.604,9.71,-.306,80.8,5.486,8.02,-1.904,79,124.6,81.9
184,900,6.535,8.24,-1.774,78.8,7.07,9.13,-1.082,79.8,5.55,7.61,-2.277,77.8,118.6,82.3
184,1200,6.631,10.31,-.065,78.3,7.2,11.44,.882,78.8,5.944,9.27,-.968,77.5,134.6,82.4
184,1500,5.318,11.93,1.517,79.4,6.153,12.25,2.027,80.1,4.506,11.37,.904,78.7,129.8,82.6
184,1800,3.519,12.64,2.398,80.9,4.426,13.03,2.581,81.9,2.991,12.32,2.087,80.2,136.9,82.5
184,2100,2.416,12.83,2.408,83.4,2.966,12.95,2.58,84.4,1.946,12.4,2.153,81.5,127.9,82.5
185,0,2.16,10.42,1.163,84.5,2.741,11.71,2.017,86.6,1.776,9.18,-.219,83.4,97.3,82.4
185,300,2.985,7.57,-1.567,88.4,3.322,8.87,-.623,89.4,2.733,6.463,-2.518,87.1,95.3,82.4
185,600,3.861,5.925,-3.448,88.4,4.487,6.498,-2.508,88.6,3.196,5.465,-3.873,87.8,104.7,82.4
185,900,5.48,6.539,-3.207,86.8,6.302,6.882,-2.92,88.5,4.577,6.088,-3.434,84.8,98.1,82.4
185,1200,6.065,8.23,-1.968,84.4,6.285,9.57,-.806,85.3,5.779,6.849,-3.093,83.6,105.3,82.3
185,1500,5.563,10.64,.176,83.7,5.931,11.63,1.207,84.4,4.444,9.64,-.696,83.3,129.8,82.1
185,1800,3.663,12.18,1.811,85.3,4.442,12.89,2.271,86.4,2.302,11.6,1.302,83.9,142.7,82.2
185,2100,2.057,12.55,1.961,87.6,2.472,13.03,2.299,88.4,1.774,11.96,1.594,86.6,132.4,82.7
186,0,2.212,10.77,.777,88.9,2.43,12.17,1.699,91.7,2.015,8.22,-.766,87.5,119.8,83.2
186,300,2.854,8.95,-.707,90.9,3.442,10.02,-.194,91.5,2.377,7.33,-1.996,90.4,103.5,83.4
186,600,4.386,8.27,-1.759,90.3,5.856,9.2,-1.187,92.1,2.949,6.672,-2.983,89.5,126.4,83.5
186,900,5.878,9.83,-.644,89.8,6.33,10.26,-.229,90.3,5.485,9.3,-1.12,89,131.2,83.5
186,1200,6.371,10.85,.287,89.4,6.782,11.44,.833,90.3,5.945,10.37,-.11,88.4,134.4,83.5
186,1500,4.922,11.95,1.467,92.2,6.045,12.19,1.76,93.9,4.121,11.57,1,90.6,162.5,83.1
186,1800,4.196,11.86,1.375,95.9,4.656,12.15,1.784,98.2,3.841,11.6,1.026,94.1,153.5,82.9
186,2100,4.033,11.33,.798,99.5,5.051,11.57,1.017,100.6,3.414,11.09,.584,98.4,152.7,82.3
187,0,3.944,10.87,.309,101.9,4.678,11.36,.866,103.3,2.897,10.68,.119,99.6,152.2,81.8
187,300,.886,9.98,-.638,103.6,3.824,10.92,.219,103.9,0,9.57,-1.117,103.4,160.6,81.8
187,600,0,9.66,-.764,103.9,0,9.96,-.577,104.1,0,9.19,-1.049,103.8,128.5,81.4
187,900,0,8.22,-1.013,102.8,0,9.96,-.533,103.8,0,6.706,-1.981,101.4,92.2,80.9
187,1200,4.816,11.83,1.46,96.7,6.916,12.4,2.044,101,0,8.92,-.791,93.1,135.9,81
187,1500,5.389,12.4,2.111,92.5,6.156,12.63,2.332,93.1,4.769,12.15,1.937,91.8,144,81.6
187,1800,5.181,12.69,2.453,90.9,6.255,13.21,2.909,92,3.37,12.42,2.2,89.4,130.6,81.9
187,2100,3.6,12.46,2.396,89.2,5.231,12.76,2.628,91,2.589,11.9,1.962,88,102.6,81.7
188,0,2.626,11.74,1.899,89.8,3.684,12.01,2.432,91.6,2.016,11.43,1.528,87,103,81.6
188,300,1.593,11.63,1.986,86,2.181,12.4,2.694,88.8,.365,10.05,1.248,81.3,81.6,81
188,600,3.181,9,-1.048,87.9,3.684,9.3,-.382,90,2.77,8.71,-1.46,85.8,101.6,80.3
188,900,3.024,9.82,-.443,89.2,4.024,10.4,.162,90.6,2.08,8.92,-1.432,87.2,96.5,79.8
188,1200,4.102,10.92,.771,84.4,4.597,11.64,1.438,87.1,3.013,10.2,-.019,81.5,118.2,79.1
188,1500,3.998,11.62,1.286,81.8,4.8,11.98,1.783,84.3,3.166,11.25,.968,80.2,140.6,78.5
188,1800,1.209,12.24,2.583,85.1,3.09,12.76,4.108,90.2,.214,11.28,.937,82,6.734,77.5
188,2100,2.717,11.03,.709,92.8,3.63,11.47,2.177,95.8,1.023,9.97,-.305,85.3,79.4,76.8
189,0,2.141,9.21,-.395,89.2,3.012,11.71,3.203,100.4,1.448,6.318,-4.079,77.8,196.9,77
189,300,1.247,5.277,-4.316,99.4,3.258,6.327,-3.497,100.3,0,4.389,-4.961,96.3,139.8,76.6
189,600,4.694,4.584,-4.924,96.6,5.604,6.367,-3.3,100.8,3.278,3.805,-5.757,85.5,111.4,76
189,900,5.657,6.473,-3.354,83,7,7.13,-2.819,84.8,4.671,5.673,-4.008,81.2,119.6,75.8
189,1200,6.63,8.12,-2.15,82,7.22,9.26,-1.217,83.2,5.705,7.13,-2.925,81,125.8,75.4
189,1500,5.247,9.87,-.632,84.6,6.85,10.4,-.007,89.1,3.423,9.47,-1.079,82,158.2,75.4
