day_of_year,hour,VW1,TA1,TA2,RH1,VW2,TA1_max,TA2_max,RH1_max,VW1_min,TA1_min,TA2_min,RH1_min,DW1,unkw
152,900,5.107,5.513,-4.388,93.8,6.633,6.367,-3.618,93.9,3.62,5.26,-4.681,93.6,181.2,84.4
152,1200,6.052,7.07,-3.282,93.4,6.667,7.4,-3.17,93.6,5.57,6.505,-3.565,93.1,201.2,86.6
152,1500,4.739,7.27,-3.2,92.6,5.541,7.54,-3.011,93.1,4.212,7.02,-3.305,92,180.9,88.7
152,1800,3.745,7.52,-2.46,90.8,4.325,8.09,-1.967,91.9,3.18,7.12,-2.853,89.7,170.3,90.5
152,2100,4.221,8.73,-1.914,92.5,5.042,9.16,-1.666,93.4,2.942,8.36,-2.178,90.5,175.3,92.8
153,0,4.301,7.21,-2.519,93.2,5.024,8.36,-1.761,93.4,3.565,5.843,-3.55,92.9,156.7,94.5
153,300,6.148,7.26,-2.512,92.7,7.03,7.71,-2.129,93.2,5.07,6.882,-2.69,92.4,155.5,95.9
153,600,7.26,6.949,-2.88,91.8,7.97,7.33,-2.44,92.3,6.638,6.331,-3.516,91.4,146.4,96.4
153,900,6.234,5.884,-3.687,91.9,6.939,7.2,-2.613,92.4,5.654,5.052,-4.308,91.5,159.2,96.5
153,1200,6.309,8.55,-1.468,90.8,7.22,9.37,-.838,91.5,5.816,7.54,-2.339,90.4,155.8,96.3
153,1500,5.979,10.56,.203,90,6.625,11.31,.893,90.5,5.436,9.65,-.643,89.6,151.9,95.8
153,1800,5.218,12,1.73,88.9,6.195,12.41,2.246,89.7,4.214,11.37,1.084,87.9,148.8,95
153,2100,2.465,13.13,2.806,87.3,3.823,13.7,3.1,88.1,1.377,12.22,2.061,85.8,151.8,94.4
154,0,1.358,11.99,1.818,85.1,1.832,13.36,2.75,88.2,.544,9.39,.14,81,44.5,95.5
154,300,2.969,5.469,-1.599,86.3,4.335,8.84,.161,91.3,1.897,2.179,-4.646,81.9,87.5,96.6
154,600,3.674,3.143,-4.995,91.3,4.269,5.744,-3.463,91.9,3.044,1.072,-6.597,90.4,106.5,98.4
154,900,2.136,7.47,-1.572,82.8,2.639,8.96,-.389,90.3,1.72,5.882,-3.103,79.1,105.6,100.9
154,1200,1.772,11.63,1.182,78.2,2.152,14.41,2.637,80.2,1.329,9.23,-.266,75.5,177.3,102.8
154,1500,1.717,13.53,2.928,77,2.31,14.71,4.108,79,1.136,12.33,2.068,74.6,137.6,103.6
154,1800,2.204,12.87,2.978,78.4,2.431,13.34,3.432,79.4,1.87,12.42,2.685,77.3,126.3,104
154,2100,2.776,12.12,2.318,79.8,3.31,12.72,3.068,81,2.086,11.69,1.758,79.1,118.2,104.1
155,0,3.843,10.94,1.034,80.7,4.372,11.62,1.701,82.3,3.236,9.84,-.079,80,108.9,104.4
155,300,6.561,8.09,-1.749,79.6,7.93,9.77,-.192,82.2,4.949,6.293,-3.218,77.8,108.7,104
155,600,8.73,4.977,-4.412,77.4,9.47,5.878,-3.579,78,7.81,4.186,-4.967,76.3,109.9,103.4
155,900,9.46,5.248,-4.168,76.3,9.92,6.159,-3.526,76.7,9.11,4.706,-4.56,75.7,98.1,103
155,1200,9.55,7.68,-2.189,72.8,10.24,9.2,-.848,76.1,8.88,6.021,-3.608,70.2,117.1,102.2
155,1500,7.69,11.29,1.217,67.43,8.89,12.5,2.57,70.2,6.646,9.41,-.643,64.72,125.6,101.1
155,1800,6.475,12.68,2.859,66.78,6.658,12.98,3.075,67.93,6.057,12.44,2.641,65.98,130.1,100.4
155,2100,5.968,12.55,2.875,69.83,6.851,12.91,3.118,75,4.779,11.83,2.329,67.53,124.3,99.4
156,0,5.321,11.25,1.768,73.5,6.066,12.49,2.831,76.1,4.396,10.16,.417,70.7,108.6,98.8
156,300,6.064,8.07,-1.365,74,6.772,9.67,.08,75.3,5.291,6.501,-2.939,73.2,106.4,97.2
156,600,7.09,5.952,-3.39,72.5,7.33,6.329,-3.136,73.3,6.699,5.639,-3.622,71.7,111.7,95.4
156,900,6.671,7.31,-2.215,73,7.26,9.69,-.045,73.7,5.895,6.021,-3.382,70.5,136.4,94.1
156,1200,5.895,10.87,.921,70.6,6.839,12.13,1.831,73.2,5.028,9.48,-.26,67.11,213.9,93.1
156,1500,4.986,12.64,2.507,74.1,5.569,13.12,3.002,75.6,4.296,12.02,1.836,72.6,221.1,91.8
156,1800,3.29,13.02,3.205,75.7,4.518,13.52,3.335,76.9,2.623,12.67,3.095,74.1,258.5,91.1
156,2100,2.377,12.7,3.01,75.5,2.772,13.3,3.41,77.6,2.044,11.27,2.413,73.1,280.1,90.8
157,0,2.416,10.04,1.701,75,2.761,12,2.638,77.4,2.249,8.11,.154,73.6,235.4,90.4
157,300,3.983,7,-2.008,82.1,5.13,7.94,-.265,83.8,2.784,6.327,-3.074,78.1,100.2,89.8
157,600,6.031,4.929,-4.341,80.3,7.19,6.293,-3.208,82.2,5.119,4.117,-4.938,78.6,104.2,89.3
157,900,7.05,5.557,-3.887,76.7,7.57,6.746,-2.968,78.2,6.616,4.706,-4.627,75.4,107.8,89.3
157,1200,7.16,8.55,-1.404,75.6,7.55,10.23,.044,76.2,6.727,6.815,-2.886,75,178.8,89
157,1500,6.652,11.49,1.276,76.5,7.07,12.22,2.171,77.2,6.03,10.41,.197,75.7,191.6,88.1
157,1800,5.568,12.58,2.758,77.6,6.185,12.93,3.122,78.2,4.748,12.19,2.208,76.9,193,87.8
157,2100,4.659,12.67,2.96,78.4,5.053,12.93,3.256,79.4,4.311,12.38,2.649,76.9,177.4,87.8
158,0,4.429,11.64,1.862,80.4,4.832,12.48,2.764,83.1,4.03,10.7,.636,78.3,117.4,87.6
158,300,4.741,9.69,-.15,81.5,5.763,10.77,.593,82.9,4.21,8.61,-1.036,80.3,143.7,88.4
158,600,5.196,8.92,-1.084,82.2,5.73,9.51,-.515,83.2,4.5,8.3,-1.617,80.8,142.7,89.4
158,900,4.691,9.38,-1.044,88.9,5.161,10.03,-.533,94.7,4.074,8.27,-1.862,83.7,162.7,90.4
158,1200,5.021,9.24,-1.671,94,5.587,9.54,-1.011,94.6,3.9,8.81,-2.388,93.6,205.1,91.2
158,1500,2.575,9.88,-1.335,92.7,3.745,10.74,.204,93.6,1.042,9.16,-2.269,91.2,326.6,90.7
158,1800,2.866,9.81,-.825,92.4,3.957,10.36,-.007,92.9,1.439,9.46,-1.199,91.5,103.3,89.4
158,2100,4.254,11.12,.604,92.1,5.037,11.4,.927,92.5,3.119,10.67,.098,91.8,179.1,88.2
159,0,4.884,10.24,-.306,92.1,5.711,10.71,.07,92.2,3.821,9.85,-.568,91.9,163.9,86.6
159,300,4.342,9.9,-.572,91.5,5.178,10.23,-.305,91.7,3.729,9.37,-1.011,91.3,158.2,84.8
159,600,4.763,9.57,-.932,92.1,5.814,9.78,-.767,92.4,3.9,9.41,-1.025,91.6,170.7,83.3
159,900,3.333,9.52,-.906,90.9,3.848,10.65,.063,92.1,2.636,8.71,-1.532,89.4,154.8,81.8
159,1200,4.702,10.09,-.132,84.6,6.734,10.68,.443,89.5,2.381,9.47,-.826,79.8,141.9,80.1
159,1500,6.309,10.46,.04,80.9,7.19,11.36,.804,82.2,5.5,9.54,-.759,79.7,166.5,79.1
159,1800,4.241,11.67,1.382,84.1,5.397,12.25,1.937,86.3,2.53,10.81,.593,82.7,214,78.1
159,2100,1.972,12.25,1.636,85.5,2.304,12.76,2.102,87.1,1.609,11.48,1.282,83.6,163.4,77.6
160,0,2.169,9.75,.391,87.5,2.631,11.44,1.315,89.1,1.568,8.66,-.319,84.1,132.1,77.1
160,300,4.367,8.3,-1.44,85.5,7.1,9.77,.101,89.1,2.144,6.949,-2.906,82.1,157.9,76.8
160,600,7.48,5.379,-4.274,81.6,7.73,6.811,-3.083,82.3,6.89,4.601,-4.914,81.2,132.8,77.2
160,900,6.96,6.47,-3.587,85.9,7.68,7.68,-2.603,87.8,6.271,4.498,-5.031,82.5,133.4,78.2
160,1200,7.71,7.52,-2.731,83.6,8.94,7.99,-2.359,87.5,6.634,6.951,-3.252,79.6,129.1,78.2
160,1500,8.49,8.39,-1.946,76.6,8.86,9.37,-.95,79.5,7.84,7.33,-2.935,74.8,187.9,77.9
160,1800,7.84,10.14,-.095,78.5,8.39,10.74,.545,80.3,7.06,9.54,-.787,76.3,195.9,77.6
160,2100,6.497,11.05,.871,78.6,7.35,11.18,1.101,79.3,5.856,10.84,.597,77.3,185.6,77.6
161,0,6.49,10.46,.403,79.2,7.65,11.25,1.121,80,5.855,9.47,-.564,78,178,77.4
161,300,8.01,7.51,-2.249,77.2,8.37,9.33,-.639,78.3,7.66,5.811,-3.709,76.3,144.1,77
161,600,8.56,4.137,-5.028,75.9,9.3,5.258,-4.172,76.9,8.03,3.219,-5.826,75.1,119.2,77
161,900,9.57,3.521,-5.629,74.7,10.22,4.361,-5.099,75.1,8.79,2.977,-5.969,74.2,123.2,77.1
161,1200,8.48,6.309,-3.559,74.7,9.44,8.47,-1.789,75.3,7.06,4.223,-5.206,73.9,120.2,77.1
161,1500,6.574,10.61,.167,72.3,7.5,11.88,1.399,73.7,5.498,8.75,-1.493,71.1,200,76.7
161,1800,5.146,12.07,2.075,75.7,5.875,12.42,2.757,76.8,4.208,11.74,1.528,73.1,230.4,75.8
161,2100,4.3,12.44,2.816,77.9,5.127,12.86,3.052,79.5,3.68,11.79,2.402,75.2,253,75.1
162,0,4.368,12.13,2.471,80.3,4.95,12.8,3.029,81.7,3.493,10.98,1.426,78.3,270.9,74.9
162,300,4.906,10.23,.699,80.6,5.431,10.95,1.312,81.6,4.456,9.68,.215,79.2,280.5,75.2
162,600,5.07,8.47,-.937,79.2,5.61,9.92,.305,81,4.18,6.882,-2.464,77.9,119.8,75.6
162,900,5.238,7.52,-2.1,80,6.178,8.89,-1.063,81.1,4.634,6.744,-2.685,78.8,141.6,75.8
162,1200,5.649,10.99,.784,78,6.633,12.27,2.046,79.5,4.478,9.03,-.91,76.8,188.6,76.4
162,1500,6.069,12.59,2.358,77.8,6.943,12.74,2.55,80.2,4.111,12.3,2.083,76.8,170.2,76.7
162,1800,6.215,12.05,1.907,79.2,6.799,12.33,2.104,80.5,5.227,11.94,1.838,78.3,156.2,77.1
162,2100,6.144,12.03,1.891,80,6.827,12.15,2.058,80.5,5.591,11.76,1.686,79.1,182.8,77.8
163,0,7.19,12.06,1.984,79,8.77,12.22,2.179,79.4,6.101,11.64,1.395,78.5,143.4,77.4
163,300,9.17,10.67,.53,78.9,9.89,11.47,1.257,79.4,8.5,9.82,-.224,78.3,126.4,78.1
163,600,8.78,9.72,-.437,80,9.36,10.65,.43,81.1,8.16,9.16,-.958,78.9,138.3,79.4
163,900,8.11,11.51,1.203,81.9,9.18,11.82,1.498,82.8,7.38,11,.716,80.9,131.5,81.5
163,1200,6.976,11.7,1.363,80.5,8.42,12.2,1.802,80.9,5.989,11.13,.871,79.6,138.2,83.2
163,1500,5.444,12.68,2.347,81.1,6.351,13.12,2.728,81.8,4.239,12.2,1.829,79.9,136.4,84.7
163,1800,4.093,12.9,2.769,82.5,4.446,13.05,2.885,83.1,3.901,12.7,2.678,81.7,130,85.3
163,2100,4.042,12.96,3.131,82.1,4.766,13.17,3.313,82.6,3.618,12.79,2.956,81.6,120.5,85.3
164,0,4.865,12.37,2.713,83.1,5.794,12.8,3.138,84.6,3.949,11.74,1.993,81.4,99.3,84.8
164,300,5.959,11.86,1.909,82.9,6.509,12.29,2.391,84.4,5.407,11.4,1.458,81.2,118,84.2
164,600,7.24,10.52,.491,81.6,8.66,11.65,1.726,82.7,5.883,9.44,-.582,80.5,106.8,83.7
164,900,8.24,9.95,-.101,78.1,9.04,10.75,.553,79.6,7.73,9.3,-.658,76.9,114.9,84.3
164,1200,7.48,11.89,1.681,76.7,8.45,12.68,2.345,77.5,6.63,10.96,.83,76,123.4,84.9
164,1500,6.833,12.84,2.594,78.3,7.26,13.02,2.701,80.6,6.032,12.61,2.418,76.7,137.4,85.8
164,1800,4.909,12.84,2.733,82.6,6.074,12.98,2.884,85.2,4.151,12.63,2.436,80.5,144.7,86.2
164,2100,4.242,12.57,2.344,86.7,4.817,12.76,2.452,87.1,3.945,12.34,2.26,85.5,133,86.3
165,0,4.051,12.01,1.957,87.2,4.502,12.45,2.346,87.4,3.622,11.29,1.326,86.9,112.2,86.2
165,300,4.353,11.05,1.148,85.6,5.372,11.92,1.981,87.4,3.732,10.16,.233,83.3,112.8,85.8
165,600,5.361,9.01,-.805,84.3,5.786,10.3,.457,84.9,5.105,8.37,-1.431,83.6,105,85.6
165,900,6.49,8.88,-1.127,82.4,7.09,9.27,-.877,83.8,5.309,8.44,-1.398,81.6,105,85.4
165,1200,6.362,10.55,.326,82,7.31,11.82,1.596,82.4,5.267,9.34,-.806,81.5,116.5,85.4
